target,term,SS,df,MS,F,p_parametric,eta2,omega2,perm_p
compaction_density,precursor,0.9035228395068771,2.0,0.45176141975343853,133.53620180425523,2.4430981277102972e-20,0.6743189236383077,0.6675836633856381,0.0001999600079984003
compaction_density,T_C,0.10200246913541378,2.0,0.05100123456770689,15.075459863784943,8.305608476264211e-06,0.076126681239604,0.07089796547497998,0.046390721855628876
compaction_density,beta,0.02285617283951069,2.0,0.011428086419755346,3.3780291712776407,0.04240503593224896,0.017058063386689477,0.011978111672040317,0.508498300339932
compaction_density,t_hold,0.013550617283954125,2.0,0.0067753086419770625,2.0027141374643183,0.1460903210729488,0.010113123057893707,0.005050662144412743,0.6630673865226955
compaction_density,precursor:T_C,0.018217901234720557,4.0,0.004554475308680139,1.3462577974550018,0.26660252629412423,0.013596419497541942,0.0034881948592770193,0.9042191561687662
compaction_density,precursor:beta,0.0020308641971951147,4.0,0.0005077160492987787,0.15007583616906423,0.9620729901306033,0.0015156785192675388,0.0,0.998000399920016
compaction_density,precursor:t_hold,0.022591975308614565,4.0,0.005647993827153641,1.6694910422045526,0.17251105658918647,0.016860886971360557,0.006744440786357807,0.8600279944011198
compaction_density,T_C:beta,0.042623456790011005,4.0,0.010655864197502751,3.1497679298357903,0.02228534019487432,0.03181082120743155,0.021656723679894366,0.6454709058188363
compaction_density,T_C:t_hold,0.0438567901234137,4.0,0.010964197530853426,3.2409082096936097,0.019663810625666807,0.03273128494061316,0.02257486922927923,0.6224755048990201
compaction_density,beta:t_hold,0.006264197531208993,4.0,0.0015660493828022481,0.4629086886867094,0.7625603565255116,0.004675108090248161,0.0,0.9864027194561088
compaction_density,Residual,0.16238703703697865,48.0,0.003383063271603722,,,0.12119300945104222,,
D_sec,precursor,603.4827852009639,2.0,301.74139260048196,697.7081969061583,3.344956634454271e-36,0.8877591579410109,0.885923143464554,0.0001999600079984003
D_sec,T_C,37.95041029755794,2.0,18.97520514877897,43.87583704105261,1.458495324590801e-11,0.0558273162308294,0.054520237452006855,0.10317936412717456
D_sec,beta,1.2733661482743628,2.0,0.6366830741371814,1.4721844949031802,0.23959690359628202,0.0018731975248742043,0.0006004223488075206,0.9346130773845231
D_sec,t_hold,0.2639566798843589,2.0,0.13197833994217945,0.3051698303575038,0.7384174660331576,0.00038829601376120436,0.0,0.9832033593281344
D_sec,precursor:T_C,2.4896198047581493,4.0,0.6224049511895373,1.4391695898841819,0.23555504385069356,0.0036623791691578287,0.0011168822336581137,0.9914017196560688
D_sec,precursor:beta,0.8144588193772506,4.0,0.20361470484431266,0.47081259669469055,0.756860806407415,0.0011981174830483351,0.0,0.9992001599680064
D_sec,precursor:t_hold,1.0042337669492554,4.0,0.25105844173731384,0.580515424791379,0.6781816575775835,0.001477287745707475,0.0,0.9988002399520096
D_sec,T_C:beta,4.788690556533766,4.0,1.1971726391334414,2.7681888660901146,0.03773551162382694,0.007044449320443841,0.004496802091440224,0.9664067186562687
D_sec,T_C:t_hold,3.7187341271355763,4.0,0.9296835317838941,2.1496812719795666,0.0890279954660198,0.005470479619750893,0.0029238331082579567,0.9842031593681264
D_sec,beta:t_hold,3.2370424243645175,4.0,0.8092606060911294,1.8712307033414441,0.1308308870596015,0.004761882405504253,0.0022156864145264207,0.9868026394721056
D_sec,Residual,20.75880276173848,48.0,0.43247505753621834,,,0.03053743654591168,,
circularity,precursor,1.0497891969135935,2.0,0.5248945984567968,326.2460706389633,1.1484478534440384e-28,0.771065644387915,0.7677948746673952,0.0001999600079984003
circularity,T_C,0.16440424772945406,2.0,0.08220212386472703,51.09239071594657,1.290528062764459e-12,0.12075421197733649,0.11825102383552957,0.0061987602479504095
