sample_id,compaction_density
C01-L,3.41
C01-S,3.11
C01-M,3.42
C04-L,3.4
C04-S,3.11
C04-M,3.455
C07-L,3.4
C07-S,3.14
C07-M,3.395
C14-L,3.37
C14-S,3.055
C14-M,3.285
C21-L,3.325
C21-S,3.24
C21-M,3.355
C03-S,3.2
C03-M,3.48
C03-L,3.46
C09-S,3.14
C09-M,3.4
C09-L,3.34
C19-S,3.16
C19-M,3.34
C19-L,3.37
C10-S,3.17
C10-M,3.42
C10-L,3.38
C11-S,3.17
C11-M,3.42
C11-L,3.4
C13-S,3.12
C13-M,3.34
C13-L,3.33
C17-S,3.06
C17-M,3.29
C17-L,3.3
C25-S,3.13
C25-M,3.38
C25-L,3.41
C24-S,3.1
C24-M,3.37
C24-L,3.4
C26-S,3.28
C26-M,3.44
C26-L,3.43
C27-S,3.14
C27-M,3.38
C27-L,3.38
C12-S,3.1
C12-M,3.36
C12-L,3.33
C15-S,3.08
C15-M,3.36
C15-L,3.33
C18-S,3.04
C18-M,3.3
C18-L,3.32
C16-S,3.13
C16-M,3.4
C16-L,3.37
C20-S,3.26
C20-M,3.34
C20-L,3.45
C22-S,3.37
C22-M,3.5
C22-L,3.51
C23-S,3.33
C23-M,3.43
C23-L,3.56
C05-S,3.35
C05-M,3.45
C05-L,3.36
C06-S,3.2
C06-M,3.51
C06-L,3.47
C08-S,3.29
C08-M,3.26
C08-L,3.49
C02-S,3.07
C02-M,3.43
C02-L,3.38
