sample_id,condition_id,precursor,Theta,T_C,D_XRD,D_XRD_003,D_XRD_104,ratio_104_003
C01-S,C01,S,4.174725607225732,850.0,46.93374761102706,43.797821402893966,50.06967381916016,1.1432001002646168
C01-M,C01,M,4.174725607225732,850.0,42.86950230591994,40.12887982408729,45.6101247877526,1.136591028398834
C01-L,C01,L,4.174725607225732,850.0,42.42732360509935,39.95663392437353,44.898013285825165,1.1236685595389304
C03-S,C03,S,8.188518536743857,850.0,55.82958825986819,51.21793905023089,60.441237469505495,1.1800794524400728
C03-M,C03,M,8.188518536743857,850.0,47.37712878670997,43.00895406403072,51.74530350938922,1.2031286190394685
C03-L,C03,L,8.188518536743857,850.0,48.656997723471896,46.10310376567544,51.21089168126836,1.1107905433342158
C04-S,C04,S,4.078166000601167,850.0,54.74795312869979,50.83004256330493,58.66586369409466,1.1541572805301277
C04-M,C04,M,4.078166000601167,850.0,48.76822425576293,45.19514672287914,52.34130178864671,1.1581177534301481
C04-L,C04,L,4.078166000601167,850.0,46.06812125681388,42.44797420302768,49.68826831060009,1.170568660660748
C07-S,C07,S,4.054026098945026,850.0,51.258439299854565,46.1537741734512,56.36310442625793,1.2212025004594185
C07-M,C07,M,4.054026098945026,850.0,44.62646785790687,40.43006913391375,48.82286658189999,1.2075880063471411
C07-L,C07,L,4.054026098945026,850.0,46.19371591044056,42.61238012861341,49.77505169226772,1.1680889812311779
C09-S,C09,S,8.06781902846315,850.0,55.50452587369766,49.97695912503052,61.03209262236481,1.221204604899569
C09-M,C09,M,8.06781902846315,850.0,50.93858789595886,46.1771478987292,55.70002789318852,1.206224949521436
C09-L,C09,L,8.06781902846315,850.0,47.56547522436375,43.51806637110421,51.61288407762329,1.1860105096924527
C12-S,C12,S,20.43596685712156,900.0,63.62196732812889,57.54754883910535,69.69638581715243,1.2111095472026703
C12-M,C12,M,20.43596685712156,900.0,55.09086566414818,49.23184553665662,60.94988579163975,1.2380174890307172
C12-L,C12,L,20.43596685712156,900.0,54.969167356526086,49.8805303874842,60.05780432556797,1.2040329936154288
C14-S,C14,S,15.174386742848624,900.0,65.35184172332542,58.08641394546365,72.6172695011872,1.2501592811249516
C14-M,C14,M,15.174386742848624,900.0,58.39167015024934,52.243365491605736,64.53997480889295,1.2353716917273063
C14-L,C14,L,15.174386742848624,900.0,61.14925233381459,55.29442794943003,67.00407671819914,1.2117690552740372
C15-S,C15,S,20.174386742848625,900.0,69.51335331914211,63.11888717923822,75.907819459046,1.2026165677397185
C15-M,C15,M,20.174386742848625,900.0,60.91744638730755,54.400900094092286,67.43399268052282,1.239574943868362
C15-L,C15,L,20.174386742848625,900.0,58.93161584589137,52.22930903526538,65.63392265651736,1.2566492620494203
C16-S,C16,S,10.108991714280393,900.0,61.33196148001568,52.99219598237514,69.6717269776562,1.3147544782033296
C16-M,C16,M,10.108991714280393,900.0,53.7190570639476,45.76470023982183,61.67341388807336,1.347619749826498
C16-L,C16,L,10.108991714280393,900.0,56.17777960810484,49.68230532790251,62.67325388830717,1.2614803897416713
C17-S,C17,S,15.10899171428039,900.0,71.74829598452918,61.94783428461686,81.5487576844415,1.3164101477667318
C17-M,C17,M,15.10899171428039,900.0,73.33313393096773,64.14515436228423,82.52111349965124,1.2864746264944935
C17-L,C17,L,15.10899171428039,900.0,74.97308575012147,63.80920105632072,86.13697044392224,1.349914573728859
C18-S,C18,S,20.10899171428039,900.0,81.0888618858873,71.27931407946151,90.8984096923131,1.275242486073595
C18-M,C18,M,20.10899171428039,900.0,76.23265690898472,64.68049554713151,87.78481827083792,1.357206952857538
C18-L,C18,L,20.10899171428039,900.0,79.22248543008467,67.86671847039621,90.57825238977316,1.3346490655693604
C19-S,C19,S,24.21446407057823,950.0,86.12093455068668,73.94039146827258,98.3014776331008,1.3294692614020232
C19-M,C19,M,24.21446407057823,950.0,86.16270960671758,73.11850387151665,99.20691534191852,1.3567962976409398
C19-L,C19,L,24.21446407057823,950.0,88.89151542137708,77.47686940272547,100.30616144002867,1.2946594540189322
C21-S,C21,S,47.33688099936123,950.0,86.15213448994812,73.63929061038466,98.6649783695116,1.339841510580736
C21-M,C21,M,47.33688099936123,950.0,89.77657726288247,77.5995490512265,101.95360547453843,1.3138427570917308
C21-L,C21,L,47.33688099936123,950.0,96.1417883771721,83.88802784535,108.3955489089942,1.2921456338063464
C24-S,C24,S,46.68165271428408,950.0,76.31454779911329,65.26159397548842,87.36750162273815,1.3387276696850596
C24-M,C24,M,46.68165271428408,950.0,74.24289184572605,64.38934955927935,84.09643413217275,1.3060612462741261
C24-L,C24,L,46.68165271428408,950.0,78.398811865349,69.22490409451505,87.57271963618295,1.265046456642497
C25-S,C25,S,23.39542871423181,950.0,66.52566013864217,57.12885110048158,75.92246917680275,1.3289689485137002
C25-M,C25,M,23.39542871423181,950.0,63.618150662800616,56.96897354497637,70.26732778062485,1.2334315226015014
C25-L,C25,L,23.39542871423181,950.0,64.66440026483657,58.37585843262831,70.95294209704484,1.2154500850541112
C26-S,C26,S,34.956637178623296,950.0,88.73256152812583,75.47422478339914,101.99089827285252,1.3513341616366734
C26-M,C26,M,34.956637178623296,950.0,94.8174700032029,83.44843680411421,106.1865032022916,1.2724804354520438
C26-L,C26,L,34.956637178623296,950.0,92.21019730274314,79.72216159654988,104.6982330089364,1.3132889388873195
C27-S,C27,S,46.5178456430148,950.0,67.17278938574142,57.919953998223626,76.42562477325922,1.3195042381353264
C27-M,C27,M,46.5178456430148,950.0,62.79365392084625,54.368269355265376,71.21903848642714,1.309937567095463
C27-L,C27,L,46.5178456430148,950.0,67.33347971423304,59.91447041518736,74.75248901327872,1.2476533380879247
