target,term,SS,df,eta2_pct,p_parametric
D_XRD_003,precursor,89.03892290859528,2,1.1803913405457143,0.4127768762219841
D_XRD_003,T_C,3937.5516272238665,2,52.200225383432425,1.9040516454118063e-10
D_XRD_003,beta,142.41097477609623,2,1.8879460345330692,0.24711306621221582
D_XRD_003,t_hold,513.417281562615,2,6.806386391995862,0.00951406997932238
D_XRD_003,Residual,2068.9439108107895,42,27.428043788253063,
D_XRD_104,precursor,179.54478694211988,2,1.0604699484291864,0.4207817634726909
D_XRD_104,T_C,9334.664571157697,2,55.13460694111131,2.6694385100188738e-11
D_XRD_104,beta,282.16096307036923,2,1.6665659140102187,0.2605870556097162
D_XRD_104,t_hold,903.5567384600469,2,5.336800829235239,0.01770549615499075
D_XRD_104,Residual,4266.50761914807,42,25.19985788453582,
D_XRD,precursor,126.99555057804322,2,1.0845092152016742,0.4221916194526278
D_XRD,T_C,6345.498600599851,2,54.18891981708279,4.9873654943748056e-11
D_XRD,beta,198.31687877539423,2,1.6935749448149076,0.2640868014147626
D_XRD,t_hold,694.769721190318,2,5.93315404866059,0.01309356128478767
D_XRD,Residual,3029.733883524989,42,25.873145171904135,
