target,term,SS,df,MS,F,p_parametric,eta2,omega2
D_XRD_003,precursor,89.03892290859581,2,44.519461454297904,0.7310691795973265,0.4897734871722004,0.011803913405457212,0.0
D_XRD_003,T_C,3937.551627223872,2,1968.775813611936,32.329935534954366,3.268362294978461e-08,0.522002253834325,0.5018050610635977
D_XRD_003,beta,142.41097477609821,2,71.20548738804911,1.1692894645872531,0.32434323745810567,0.018879460345330955,0.0027114741433110308
D_XRD_003,t_hold,513.4172815626165,2,256.70864078130825,4.2154996776902385,0.02435530942303062,0.06806386391995882,0.05150198953691141
D_XRD_003,precursor:T_C,168.78531820492384,4,42.19632955123096,0.6929202425034892,0.6027013513465913,0.022375913983693558,0.0
D_XRD_003,precursor:beta,16.778926853263314,4,4.194731713315829,0.06888311251098114,0.9908688320151441,0.0022243867416920477,0.0
D_XRD_003,precursor:t_hold,49.72574774464156,4,12.43143693616039,0.20414084324592163,0.9341059363202122,0.006592155444219702,0.0
D_XRD_003,Residual,1826.8911901943093,30,60.89637300647698,,,0.2421914451097258,
D_XRD_104,precursor,179.5447869421204,2,89.7723934710602,0.6594145329735915,0.5244886247113171,0.010604699484291892,0.0
D_XRD_104,T_C,9334.66457115771,2,4667.332285578855,34.283443053344705,1.781776680136711e-08,0.5513460694111139,0.5309943534775616
D_XRD_104,beta,282.1609630703671,2,141.08048153518354,1.0362931882082724,0.3671208661626801,0.016665659140102058,0.0005790109508022924
D_XRD_104,t_hold,903.55673846005,2,451.778369230025,3.3184948159973513,0.049890987136584686,0.053368008292352574,0.03698859081040524
D_XRD_104,precursor:T_C,110.77513597297822,4,27.693783993244555,0.20342204247972823,0.9345021559577418,0.006542863467841618,0.0
D_XRD_104,precursor:beta,22.19649904280242,4,5.549124760700605,0.040760565369900546,0.9966661475062609,0.0013110222020992106,0.0
D_XRD_104,precursor:t_hold,37.247220426892014,4,9.311805106723003,0.06839897409631066,0.9909902768119561,0.0021999835583068326,0.0
D_XRD_104,Residual,4084.186303852152,30,136.13954346173838,,,0.24122988546682347,
