condition_id,sample_id,y_true,y_pred
C01,C01-S,46.93374761102706,49.014076464182175
C01,C01-M,42.86950230591994,45.352727454152884
C01,C01-L,42.42732360509935,46.57279787657785
C03,C03-S,55.82958825986819,58.59591492560908
C03,C03-M,47.37712878670997,55.20116480505521
C03,C03-L,48.656997723471896,56.31993830762238
C04,C04-S,54.74795312869979,46.90897651575941
C04,C04-M,48.76822425576293,43.367612603278076
C04,C04-L,46.06812125681388,44.72050210206355
C07,C07-S,51.258439299854565,47.53593643599581
C07,C07-M,44.62646785790687,44.029382871615404
C07,C07-L,46.19371591044056,45.13125172031365
C09,C09-S,55.50452587369766,58.3570484753113
C09,C09-M,50.93858789595886,54.72993387137444
C09,C09-L,47.56547522436375,56.12241217443321
C12,C12-S,63.62196732812889,72.03795728287162
C12,C12-M,55.09086566414818,68.64970454404204
C12,C12-L,54.969167356526086,69.8509231786318
C14,C14-S,65.35184172332542,67.26194836657808
C14,C14-M,58.39167015024934,63.774059715230706
C14,C14-L,61.14925233381459,64.80590890916238
C15,C15-S,69.51335331914211,71.42817990356909
C15,C15-M,60.91744638730755,68.04613268802203
C15,C15-L,58.93161584589137,69.35700615989379
C16,C16-S,61.33196148001568,61.3022628199319
C16,C16-M,53.7190570639476,57.854696178947066
C16,C16-L,56.17777960810484,58.90412535166745
C17,C17-S,71.74829598452918,66.7881169070977
C17,C17-M,73.33313393096773,62.778406100731324
C17,C17-L,74.97308575012147,63.87599825727545
C18,C18-S,81.0888618858873,70.54516218646992
C18,C18-M,76.23265690898472,66.92818044659629
C18,C18-L,79.22248543008467,67.9463680912612
C19,C19-S,86.12093455068668,72.8504937169663
C19,C19-M,86.16270960671758,68.93394900113448
C19,C19-L,88.89151542137708,69.96749092264886
C21,C21-S,86.15213448994812,82.20538757448386
C21,C21-M,89.77657726288247,78.06513042304374
C21,C21-L,96.1417883771721,78.88476615046224
C24,C24-S,76.31454779911329,84.53078520347104
C24,C24-M,74.24289184572605,80.74192100057482
C24,C24-L,78.398811865349,81.69151502767957
C25,C25-S,66.52566013864217,73.95371236963925
C25,C25-M,63.618150662800616,70.21975596993961
C25,C25-L,64.66440026483657,71.35227178631419
C26,C26-S,88.73256152812583,77.62277733417409
C26,C26-M,94.8174700032029,73.34265071455326
C26,C26-L,92.21019730274314,74.69007960754524
C27,C27-S,67.17278938574142,86.43147585786713
C27,C27-M,62.79365392084625,82.78342503950049
C27,C27-L,67.33347971423304,83.7104363740309
