sample_id,condition_id,precursor,Theta,n_sec,n_particles,section,count_metric,rho,p,n,combo_id,percentile,slope,n_conditions,n_samples_done,combo,sec_hmaxima_rel,bin_method,n_samples_total,n_samples_with_data,metric,D_sec_S,D_sec_L,M_D_agg
C01-S,C01,S,4.174725607225732,2980.0,673.0,s1_counts_per_sample,,,,,,,,,,,,,,,,,,
C01-M,C01,M,4.174725607225732,488.0,397.0,s1_counts_per_sample,,,,,,,,,,,,,,,,,,
C01-L,C01,L,4.174725607225732,501.0,423.0,s1_counts_per_sample,,,,,,,,,,,,,,,,,,
C02-S,C02,S,6.181622071984794,2609.0,792.0,s1_counts_per_sample,,,,,,,,,,,,,,,,,,
C02-M,C02,M,6.181622071984794,414.0,363.0,s1_counts_per_sample,,,,,,,,,,,,,,,,,,
C02-L,C02,L,6.181622071984794,468.0,413.0,s1_counts_per_sample,,,,,,,,,,,,,,,,,,
C03-S,C03,S,8.188518536743857,2809.0,738.0,s1_counts_per_sample,,,,,,,,,,,,,,,,,,
C03-M,C03,M,8.188518536743857,386.0,349.0,s1_counts_per_sample,,,,,,,,,,,,,,,,,,
C03-L,C03,L,8.188518536743857,492.0,422.0,s1_counts_per_sample,,,,,,,,,,,,,,,,,,
C04-S,C04,S,4.078166000601167,2559.0,747.0,s1_counts_per_sample,,,,,,,,,,,,,,,,,,
C04-M,C04,M,4.078166000601167,459.0,384.0,s1_counts_per_sample,,,,,,,,,,,,,,,,,,
C04-L,C04,L,4.078166000601167,447.0,390.0,s1_counts_per_sample,,,,,,,,,,,,,,,,,,
C05-S,C05,S,6.085062465360228,3162.0,662.0,s1_counts_per_sample,,,,,,,,,,,,,,,,,,
C05-M,C05,M,6.085062465360228,431.0,374.0,s1_counts_per_sample,,,,,,,,,,,,,,,,,,
C05-L,C05,L,6.085062465360228,539.0,454.0,s1_counts_per_sample,,,,,,,,,,,,,,,,,,
C06-S,C06,S,8.091958930119292,1923.0,808.0,s1_counts_per_sample,,,,,,,,,,,,,,,,,,
C06-M,C06,M,8.091958930119292,412.0,366.0,s1_counts_per_sample,,,,,,,,,,,,,,,,,,
C06-L,C06,L,8.091958930119292,469.0,415.0,s1_counts_per_sample,,,,,,,,,,,,,,,,,,
C07-S,C07,S,4.054026098945026,2909.0,696.0,s1_counts_per_sample,,,,,,,,,,,,,,,,,,
C07-M,C07,M,4.054026098945026,425.0,376.0,s1_counts_per_sample,,,,,,,,,,,,,,,,,,
C07-L,C07,L,4.054026098945026,494.0,421.0,s1_counts_per_sample,,,,,,,,,,,,,,,,,,
C08-S,C08,S,6.060922563704088,2905.0,728.0,s1_counts_per_sample,,,,,,,,,,,,,,,,,,
C08-M,C08,M,6.060922563704088,580.0,469.0,s1_counts_per_sample,,,,,,,,,,,,,,,,,,
C08-L,C08,L,6.060922563704088,491.0,406.0,s1_counts_per_sample,,,,,,,,,,,,,,,,,,
C09-S,C09,S,8.06781902846315,2600.0,708.0,s1_counts_per_sample,,,,,,,,,,,,,,,,,,
C09-M,C09,M,8.06781902846315,389.0,355.0,s1_counts_per_sample,,,,,,,,,,,,,,,,,,
C09-L,C09,L,8.06781902846315,496.0,434.0,s1_counts_per_sample,,,,,,,,,,,,,,,,,,
C10-S,C10,S,10.435966857121558,2859.0,757.0,s1_counts_per_sample,,,,,,,,,,,,,,,,,,
C10-M,C10,M,10.435966857121558,373.0,333.0,s1_counts_per_sample,,,,,,,,,,,,,,,,,,
C10-L,C10,L,10.435966857121558,506.0,450.0,s1_counts_per_sample,,,,,,,,,,,,,,,,,,
C11-S,C11,S,15.435966857121558,2861.0,759.0,s1_counts_per_sample,,,,,,,,,,,,,,,,,,
C11-M,C11,M,15.435966857121558,476.0,391.0,s1_counts_per_sample,,,,,,,,,,,,,,,,,,
C11-L,C11,L,15.435966857121558,443.0,395.0,s1_counts_per_sample,,,,,,,,,,,,,,,,,,
C12-S,C12,S,20.43596685712156,2223.0,833.0,s1_counts_per_sample,,,,,,,,,,,,,,,,,,
C12-M,C12,M,20.43596685712156,533.0,446.0,s1_counts_per_sample,,,,,,,,,,,,,,,,,,
C12-L,C12,L,20.43596685712156,464.0,406.0,s1_counts_per_sample,,,,,,,,,,,,,,,,,,
C13-S,C13,S,10.174386742848624,2756.0,767.0,s1_counts_per_sample,,,,,,,,,,,,,,,,,,
C13-M,C13,M,10.174386742848624,343.0,321.0,s1_counts_per_sample,,,,,,,,,,,,,,,,,,
C13-L,C13,L,10.174386742848624,425.0,392.0,s1_counts_per_sample,,,,,,,,,,,,,,,,,,
C14-S,C14,S,15.174386742848624,3001.0,695.0,s1_counts_per_sample,,,,,,,,,,,,,,,,,,
C14-M,C14,M,15.174386742848624,479.0,415.0,s1_counts_per_sample,,,,,,,,,,,,,,,,,,
C14-L,C14,L,15.174386742848624,526.0,447.0,s1_counts_per_sample,,,,,,,,,,,,,,,,,,
C15-S,C15,S,20.174386742848625,2412.0,740.0,s1_counts_per_sample,,,,,,,,,,,,,,,,,,
C15-M,C15,M,20.174386742848625,346.0,320.0,s1_counts_per_sample,,,,,,,,,,,,,,,,,,
C15-L,C15,L,20.174386742848625,482.0,425.0,s1_counts_per_sample,,,,,,,,,,,,,,,,,,
C16-S,C16,S,10.108991714280393,2144.0,763.0,s1_counts_per_sample,,,,,,,,,,,,,,,,,,
C16-M,C16,M,10.108991714280393,369.0,344.0,s1_counts_per_sample,,,,,,,,,,,,,,,,,,
C16-L,C16,L,10.108991714280393,439.0,400.0,s1_counts_per_sample,,,,,,,,,,,,,,,,,,
C17-S,C17,S,15.10899171428039,2074.0,816.0,s1_counts_per_sample,,,,,,,,,,,,,,,,,,
