sample_id,n_sec,D_sec,n_images,combo_id,percentile,slope
C01-L,501,9.213178512111671,3,default,90.0,0.082
C01-M,488,8.849368497770836,3,default,90.0,0.082
C01-S,2980,3.870791546133164,3,default,90.0,0.082
C02-L,468,9.77164328274587,3,default,90.0,0.082
C02-M,414,9.647374794205136,3,default,90.0,0.082
C02-S,2609,4.208679785659095,3,default,90.0,0.082
C03-L,492,9.4697353194502,3,default,90.0,0.082
C03-M,386,10.295226328041476,3,default,90.0,0.082
C03-S,2809,4.08621916744697,3,default,90.0,0.082
C04-L,447,10.238051716608435,3,default,90.0,0.082
C04-M,459,9.387252839225006,3,default,90.0,0.082
C04-S,2559,4.140241406965356,3,default,90.0,0.082
C05-L,539,9.074313316252915,3,default,90.0,0.082
C05-M,431,9.846078657768498,3,default,90.0,0.082
C05-S,3162,3.8912374721731418,3,default,90.0,0.082
C06-L,469,9.732584744931176,3,default,90.0,0.082
C06-M,412,10.186763881077844,3,default,90.0,0.082
C06-S,1923,4.879321291024226,3,default,90.0,0.082
C07-L,494,9.422688717681089,3,default,90.0,0.082
C07-M,425,9.887901758142648,3,default,90.0,0.082
C07-S,2909,4.0156942680121945,3,default,90.0,0.082
C08-L,491,9.65398923433004,3,default,90.0,0.082
C08-M,580,8.195652056556362,3,default,90.0,0.082
C08-S,2905,3.935851422566431,3,default,90.0,0.082
C09-L,496,9.594620100662157,3,default,90.0,0.082
C09-M,389,10.040816527558595,3,default,90.0,0.082
C09-S,2600,3.9998532032338936,3,default,90.0,0.082
C10-L,506,9.831558786066882,3,default,90.0,0.082
C10-M,373,10.769934351879687,3,default,90.0,0.082
C10-S,2859,3.967981355043056,3,default,90.0,0.082
C11-L,443,10.128950776573635,3,default,90.0,0.082
C11-M,476,9.197559665162274,3,default,90.0,0.082
C11-S,2861,4.0550261985540725,3,default,90.0,0.082
C12-L,464,9.634226087709996,3,default,90.0,0.082
C12-M,533,8.603854503709423,3,default,90.0,0.082
C12-S,2223,4.646043170628641,3,default,90.0,0.082
C13-L,425,10.47710458162205,3,default,90.0,0.082
C13-M,343,11.077957875901715,3,default,90.0,0.082
C13-S,2756,4.117175815757948,3,default,90.0,0.082
C14-L,526,9.27838873842304,3,default,90.0,0.082
C14-M,479,9.27841144592807,3,default,90.0,0.082
C14-S,3001,3.919687693400157,3,default,90.0,0.082
C15-L,482,9.758642039901568,3,default,90.0,0.082
C15-M,346,10.21321710946393,3,default,90.0,0.082
C15-S,2412,4.227492158576884,3,default,90.0,0.082
C16-L,439,10.122680920957952,3,default,90.0,0.082
C16-M,369,10.624528374427824,3,default,90.0,0.082
C16-S,2144,4.411221620440145,3,default,90.0,0.082
C17-L,414,10.525241426110606,3,default,90.0,0.082
C17-M,323,11.839771392430563,3,default,90.0,0.082
C17-S,2074,4.611754560525867,3,default,90.0,0.082
C18-L,363,11.273942590428806,3,default,90.0,0.082
C18-M,348,11.127970279117552,3,default,90.0,0.082
C18-S,1866,4.991872966174892,3,default,90.0,0.082
C19-L,316,11.819581827800263,3,default,90.0,0.082
C19-M,308,11.765807984953714,3,default,90.0,0.082
C19-S,1662,5.3062844292839735,3,default,90.0,0.082
C20-L,362,11.327312601950805,3,default,90.0,0.082
C20-M,338,11.568542485201585,3,default,90.0,0.082
C20-S,1609,5.303293287167072,3,default,90.0,0.082
C21-L,300,11.826358256378134,3,default,90.0,0.082
C21-M,465,9.157885118422907,3,default,90.0,0.082
C21-S,1497,5.548999065682753,3,default,90.0,0.082
C22-L,265,12.522535138943129,3,default,90.0,0.082
C22-M,233,12.992805914875769,3,default,90.0,0.082
C22-S,1472,5.56328149565903,3,default,90.0,0.082
C23-L,264,12.429594538251637,3,default,90.0,0.082
C23-M,448,9.907145179054211,3,default,90.0,0.082
C23-S,962,6.886587711776878,3,default,90.0,0.082
C24-L,373,11.072225426422966,3,default,90.0,0.082
C24-M,364,10.88717943418724,3,default,90.0,0.082
C24-S,2188,4.531904977172929,3,default,90.0,0.082
C25-L,364,11.271113901373727,3,default,90.0,0.082
C25-M,409,10.07238157407282,3,default,90.0,0.082
C25-S,1813,5.05820358973422,3,default,90.0,0.082
C26-L,359,11.543832104568835,3,default,90.0,0.082
