condition_id,variable,diff_M_minus_L
C01,compaction_density,0.009999999999999787
C02,compaction_density,0.050000000000000266
C03,compaction_density,0.020000000000000018
C04,compaction_density,0.05500000000000016
C05,compaction_density,0.0900000000000003
C06,compaction_density,0.03999999999999959
C07,compaction_density,-0.004999999999999893
C08,compaction_density,-0.23000000000000043
C09,compaction_density,0.06000000000000005
C10,compaction_density,0.040000000000000036
C11,compaction_density,0.020000000000000018
C12,compaction_density,0.029999999999999805
C13,compaction_density,0.009999999999999787
C14,compaction_density,-0.08499999999999996
C15,compaction_density,0.029999999999999805
C16,compaction_density,0.029999999999999805
C17,compaction_density,-0.009999999999999787
C18,compaction_density,-0.020000000000000018
C19,compaction_density,-0.03000000000000025
C20,compaction_density,-0.11000000000000032
C21,compaction_density,0.029999999999999805
C22,compaction_density,-0.009999999999999787
C23,compaction_density,-0.1299999999999999
C24,compaction_density,-0.029999999999999805
C25,compaction_density,-0.03000000000000025
C26,compaction_density,0.009999999999999787
C27,compaction_density,0.0
C01,D_sec,-0.36381001434083515
C02,D_sec,-0.12426848854073391
C03,D_sec,0.8254910085912766
C04,D_sec,-0.8507988773834292
C05,D_sec,0.7717653415155823
C06,D_sec,0.45417913614666894
C07,D_sec,0.46521304046155976
C08,D_sec,-1.4583371777736787
C09,D_sec,0.4461964268964387
C10,D_sec,0.9383755658128052
C11,D_sec,-0.9313911114113615
C12,D_sec,-1.030371584000573
C13,D_sec,0.6008532942796645
C14,D_sec,2.2707505030084008e-05
C15,D_sec,0.4545750695623614
C16,D_sec,0.5018474534698711
C17,D_sec,1.3145299663199577
C18,D_sec,-0.14597231131125454
C19,D_sec,-0.05377384284654951
C20,D_sec,0.24122988325077976
C21,D_sec,-2.6684731379552264
C22,D_sec,0.4702707759326401
C23,D_sec,-2.5224493591974255
C24,D_sec,-0.18504599223572527
C25,D_sec,-1.1987323273009078
C26,D_sec,0.720003289239445
C27,D_sec,-0.1255367997205088
