condition_id,T_C,beta,t_hold,Theta,compaction_density_S,compaction_density_M,compaction_density_L,compaction_density_pattern,compaction_density_full_order_match,compaction_density_is_reversal,compaction_density_prop_S_vs_M,compaction_density_prop_S_vs_L,compaction_density_ML_tie_within_delta,D_sec_S,D_sec_M,D_sec_L,D_sec_pattern,D_sec_full_order_match,D_sec_is_reversal,D_sec_prop_S_vs_M,D_sec_prop_S_vs_L,D_sec_ML_tie_within_delta,circularity_S,circularity_M,circularity_L,circularity_pattern,circularity_full_order_match,circularity_is_reversal,circularity_prop_S_vs_M,circularity_prop_S_vs_L,circularity_ML_tie_within_delta,convexity_S,convexity_M,convexity_L,convexity_pattern,convexity_full_order_match,convexity_is_reversal,convexity_prop_S_vs_M,convexity_prop_S_vs_L,convexity_ML_tie_within_delta,in_T1_sieved_conditions,in_T1_low_theta_sieved_trio
C01,850.0,2.0,10.0,4.174725607225732,3.11,3.42,3.41,S<L<M,False,True,True,True,True,3.870791546133164,8.849368497770836,9.213178512111671,S<M<L,True,False,True,True,,0.718903736468451,0.3856150652261728,0.4735943529558359,M<L<S,False,True,True,True,,0.8789200509925332,0.7706615357311535,0.8287671232876712,M<L<S,False,True,True,True,,True,True
C02,850.0,2.0,15.0,6.181622071984794,3.07,3.43,3.38,S<L<M,False,True,True,True,False,4.208679785659095,9.647374794205136,9.77164328274587,S<M<L,True,False,True,True,,0.6600504103784588,0.3462200452749027,0.4398095588506672,M<L<S,False,True,True,True,,0.8571428571428571,0.7567397010168609,0.8154944770741188,M<L<S,False,True,True,True,,False,False
C03,850.0,2.0,20.0,8.188518536743857,3.2,3.48,3.46,S<L<M,False,True,True,True,False,4.08621916744697,10.295226328041476,9.4697353194502,S<L<M,False,True,True,True,,0.6846060850013922,0.4050851886639898,0.5782163715153235,M<L<S,False,True,True,True,,0.8631578947368421,0.7950938554963686,0.8666440983976529,M<S<L,False,True,True,False,,False,False
C04,850.0,5.0,10.0,4.078166000601167,3.11,3.455,3.4,S<L<M,False,True,True,True,False,4.140241406965356,9.387252839225006,10.238051716608435,S<M<L,True,False,True,True,,0.6653953032174571,0.3752497956842075,0.5309670970352959,M<L<S,False,True,True,True,,0.8598130841121495,0.7689573459715641,0.8574332909783989,M<L<S,False,True,True,True,,True,True
C05,850.0,5.0,15.0,6.085062465360228,3.35,3.45,3.36,S<L<M,False,True,True,True,False,3.8912374721731418,9.846078657768498,9.074313316252915,S<L<M,False,True,True,True,,0.7189860447394287,0.3413827270468627,0.4796625454940836,M<L<S,False,True,True,True,,0.8751770538243626,0.7478152309612984,0.8247322297955209,M<L<S,False,True,True,True,,False,False
C06,850.0,5.0,20.0,8.091958930119292,3.2,3.51,3.47,S<L<M,False,True,True,True,False,4.879321291024226,10.186763881077844,9.732584744931176,S<L<M,False,True,True,True,,0.5858451899641998,0.3505673312117298,0.4819705492755332,M<L<S,False,True,True,True,,0.8294573643410853,0.755672514619883,0.8314720812182741,M<S<L,False,True,True,False,,False,False
C07,850.0,8.0,10.0,4.054026098945026,3.14,3.395,3.4,S<M<L,True,False,True,True,True,4.0156942680121945,9.887901758142648,9.422688717681089,S<L<M,False,True,True,True,,0.7035404000758467,0.3315885899325831,0.42299084584042,M<L<S,False,True,True,True,,0.8712871287128713,0.7470300489168413,0.8039309233650653,M<L<S,False,True,True,True,,True,True
C08,850.0,8.0,15.0,6.060922563704088,3.29,3.26,3.49,M<S<L,False,True,False,True,False,3.935851422566431,8.195652056556362,9.65398923433004,S<M<L,True,False,True,True,,0.6939689557199944,0.3716921096851193,0.4346442203478686,M<L<S,False,True,True,True,,0.8629441624365483,0.7630949480711952,0.8182828563489859,M<L<S,False,True,True,True,,False,False
C09,850.0,8.0,20.0,8.06781902846315,3.14,3.4,3.34,S<L<M,False,True,True,True,False,3.9998532032338936,10.040816527558595,9.594620100662157,S<L<M,False,True,True,True,,0.6949377015008613,0.4176427334040242,0.4860111914298262,M<L<S,False,True,True,True,,0.8689490361060815,0.8101767215112736,0.8391363214113506,M<L<S,False,True,True,True,,False,False
C10,900.0,2.0,10.0,10.435966857121558,3.17,3.42,3.38,S<L<M,False,True,True,True,False,3.967981355043056,10.769934351879687,9.831558786066882,S<L<M,False,True,True,True,,0.6829112386332447,0.3244152633804004,0.4690646534716028,M<L<S,False,True,True,True,,0.8641975308641975,0.7527472527472527,0.832893122534953,M<L<S,False,True,True,True,,False,False
