fold,learned_Q_kJmol
0,199.557861328125
1,199.557861328125
2,199.57769775390625
3,199.557861328125
4,199.60745239257812
5,199.60745239257812
6,199.5340576171875
7,199.73043823242188
8,199.73043823242188
9,199.73043823242188
10,199.5340576171875
11,199.5340576171875
12,199.60745239257812
13,199.60745239257812
14,199.5340576171875
15,199.70762634277344
16,199.5340576171875
17,199.60745239257812
18,199.73043823242188
19,199.73043823242188
20,199.73043823242188
21,199.73043823242188
22,199.73043823242188
23,199.55587768554688
24,199.55587768554688
25,199.55587768554688
26,199.55587768554688
