sample_id,D10,D50,D90,Span,D10_selfcalc,D50_selfcalc,D90_selfcalc,Span_selfcalc,D_value_source,B_bimodal,peak1_um,peak2_um,w_small,separation,bimodal_r2,note,n_modes,mode_positions_um
C01-L,1.13,2.78,5.99,1.75,0.9961801242236025,2.4443571428571427,5.276685082872929,1.7511782069808177,instrument,0.7202276175266668,0.22957874335961523,2.64940284797638,0.08461273981659466,4.256023496507864,0.9998923778740633,ok,2,"[0.276, 2.42]"
C01-M,0.351,2.32,6.65,2.713,0.30912389380530975,2.0494373401534527,5.867211895910783,2.712006799724508,instrument,0.7190208445859952,0.23487462243703486,2.3571796981138124,0.1054531713776464,3.409194978172135,0.9993583353771122,ok,2,"[0.276, 1.88]"
C01-S,0.306,1.85,3.41,1.678,0.2690066225165563,1.6296875,3.0046153846153847,1.678609403397172,instrument,0.49127548183177105,0.7574038724993647,1.8446436045444015,0.36829793925481963,0.6669538836217397,0.9990534701870661,ok,2,"[0.276, 1.88]"
C03-L,0.994,2.37,4.88,1.637,0.8750687679083096,2.0920051085568327,4.3015909090909075,1.6379128937913445,instrument,,2.42,,,,,unimodal_by_modecount,1,[2.42]
C03-M,1.05,2.68,5.8,1.773,0.9231661237785016,2.3597350069735006,5.107142857142856,1.7730705867395473,instrument,,2.75,,,,,unimodal_by_modecount,1,[2.75]
C03-S,0.824,1.76,3.63,1.594,0.7266676217765043,1.5497690531177828,3.190597014925373,1.5898687537939946,instrument,,1.65,,,,,unimodal_by_modecount,1,[1.65]
C04-L,0.475,2.95,8.08,2.575,0.41874999999999984,2.6055,7.1337106918239,2.5772253662728457,instrument,0.31477561802205345,0.8824706784768589,3.036175931282315,0.20737815251082214,0.7589411281056395,0.9992818417710178,ok,2,"[0.276, 2.42]"
C04-M,0.352,2.33,6.48,2.631,0.3105137614678899,2.055061425061425,5.72355731225296,2.6340057210811967,instrument,0.262054758568459,1.371258501474617,2.3135352914105933,0.3928683640114975,0.33351471201787813,0.9989752302484387,ok,2,"[0.276, 2.13]"
C04-S,0.286,1.55,2.6,1.496,0.25191,1.3636141304347826,2.2927914110429453,1.4966707703389805,instrument,1.8513893298598298,0.25583690476427057,1.5451515470615083,0.21489969862054822,4.307566138398493,0.9999689204296378,ok,2,"[0.276, 1.65]"
C07-L,0.385,2.74,8.48,2.95,0.3106610878661088,2.085901856763926,5.790241379310345,2.626959784169938,instrument,0.7450050489087303,0.24111634927514447,2.403888384734688,0.10990003695137604,3.3894667807907513,0.999491302076631,ok,2,"[0.276, 2.13]"
C07-M,0.348,2.34,7.74,3.162,0.3063361344537815,2.060344827586207,6.806721311475406,3.154998663324303,instrument,0.23918699950667896,1.5768296782340487,2.367960196613364,0.46586877813736083,0.25671069916189465,0.9987418437884031,ok,2,"[0.276, 1.88]"
C07-S,0.295,1.71,2.82,1.475,0.26014414414414416,1.5045922746781115,2.480299003322259,1.475585709525917,instrument,1.6127159331247,0.2468244134738955,1.6604731466270473,0.17699569562214293,4.5558055167838285,0.9999644864859165,ok,2,"[0.276, 1.65]"
C09-L,1.22,3.76,8.55,1.95,1.0781694915254236,3.3159097525473076,7.539907407407407,1.948707413076615,instrument,,4.03,,,,,unimodal_by_modecount,1,[4.03]
C09-M,1.15,3.2,6.96,1.813,1.0127482993197279,2.8230672268907564,6.135094339622642,1.81446123263048,instrument,,3.55,,,,,unimodal_by_modecount,1,[3.55]
C09-S,0.886,1.93,4.27,1.751,0.7800609756097561,1.7022208436724566,3.7599232736572903,1.750573263818477,instrument,,1.65,,,,,unimodal_by_modecount,1,[1.65]
C10-L,0.97,2.87,7.56,2.297,0.854431906614786,2.5285008517887566,6.652425068119894,2.293055648924694,instrument,,3.12,,,,,unimodal_by_modecount,1,[3.12]
C10-M,0.923,2.24,5.21,1.907,0.8143003194888179,1.9824759284731774,4.578723897911834,1.8988495771155327,instrument,,2.13,,,,,unimodal_by_modecount,1,[2.13]
C10-S,0.891,1.93,4.07,1.647,0.7850303030303031,1.6997966507177031,3.577428571428571,1.6427837219347603,instrument,,1.88,,,,,unimodal_by_modecount,1,[1.88]
C11-L,1.19,3.0,6.1,1.633,1.0533780918727915,2.64739847715736,5.376035634743875,1.6327944509179178,instrument,,3.12,,,,,unimodal_by_modecount,1,[3.12]
C11-M,0.988,2.46,5.64,1.888,0.8693561151079137,2.169078014184397,4.972823529411766,1.8918025942219563,instrument,,2.42,,,,,unimodal_by_modecount,1,[2.42]
C11-S,0.963,2.09,4.33,1.609,0.8487365269461078,1.848009592326139,3.814575163398693,1.6048827066527316,instrument,,2.13,,,,,unimodal_by_modecount,1,[2.13]
C12-L,1.36,3.81,9.12,2.036,1.20265625,3.3557482517482518,8.030000000000005,2.0345220313958734,instrument,,4.03,,,,,unimodal_by_modecount,1,[4.03]
C12-M,1.15,3.04,7.07,1.952,1.0097955974842767,2.6756069364161847,6.236384180790961,1.9534216749741973,instrument,,3.12,,,,,unimodal_by_modecount,1,[3.12]
C12-S,1.06,2.48,5.08,1.616,0.9387289719626168,2.188716049382716,4.472760617760619,1.6146597210701248,instrument,,2.42,,,,,unimodal_by_modecount,1,[2.42]
C13-L,1.22,3.04,6.25,1.654,1.0828480565371024,2.676807692307692,5.513405639913234,1.6551646934175241,instrument,,3.12,,,,,unimodal_by_modecount,1,[3.12]
C13-M,1.23,3.17,6.73,1.732,1.0897243816254416,2.795086092715232,5.928040201005026,1.7310077968580555,instrument,,3.55,,,,,unimodal_by_modecount,1,[3.55]
C13-S,1.02,2.14,4.38,1.567,0.8981689814814815,1.8907934655775962,3.855454545454546,1.564044734557869,instrument,,2.13,,,,,unimodal_by_modecount,1,[2.13]
C14-L,0.345,2.34,6.12,2.467,0.30419909502262443,2.063559950556242,5.399999999999998,2.4694222736798985,instrument,0.34024019810739975,1.0686133119588956,2.3899399044182177,0.33130795332077906,0.5134802752199135,0.9989587895028438,ok,2,"[0.276, 2.13]"
