Q_init,fold,learned_Q_kJmol
150.0,0,149.62744140625
150.0,1,149.51026916503906
150.0,2,149.662841796875
150.0,3,149.27310180664062
150.0,4,149.6116943359375
150.0,5,149.59681701660156
150.0,6,149.54190063476562
150.0,7,149.65765380859375
150.0,8,149.51318359375
150.0,9,149.60508728027344
150.0,10,149.5922088623047
150.0,11,149.59710693359375
150.0,12,149.63807678222656
150.0,13,149.5377197265625
150.0,14,149.59115600585938
150.0,15,149.65045166015625
150.0,16,149.55599975585938
150.0,17,149.61378479003906
150.0,18,149.66708374023438
150.0,19,149.60589599609375
150.0,20,149.51197814941406
150.0,21,149.65756225585938
150.0,22,149.62197875976562
150.0,23,149.55880737304688
150.0,24,149.66238403320312
150.0,25,149.42811584472656
150.0,26,149.56549072265625
200.0,0,199.5886993408203
200.0,1,199.5098114013672
200.0,2,199.5745849609375
200.0,3,199.6360626220703
200.0,4,199.66619873046875
200.0,5,199.64651489257812
200.0,6,199.61688232421875
200.0,7,199.69061279296875
200.0,8,199.6082305908203
200.0,9,199.59201049804688
200.0,10,199.5722198486328
200.0,11,199.6681671142578
200.0,12,199.6441192626953
200.0,13,199.64328002929688
200.0,14,199.58016967773438
200.0,15,199.6372528076172
200.0,16,199.67385864257812
200.0,17,199.69290161132812
200.0,18,199.64947509765625
200.0,19,199.58822631835938
200.0,20,199.60789489746094
200.0,21,199.46453857421875
200.0,22,199.5264434814453
200.0,23,199.66461181640625
200.0,24,199.63290405273438
200.0,25,199.60919189453125
200.0,26,199.6767578125
250.0,0,250.0941619873047
250.0,1,250.26976013183594
250.0,2,250.1914825439453
250.0,3,249.88613891601562
250.0,4,250.1650390625
250.0,5,250.2387237548828
250.0,6,250.07330322265625
250.0,7,250.08216857910156
250.0,8,250.1883544921875
250.0,9,250.1011199951172
250.0,10,250.18759155273438
250.0,11,250.15878295898438
250.0,12,250.13063049316406
250.0,13,249.8771209716797
250.0,14,250.3404998779297
250.0,15,250.1680145263672
250.0,16,250.0149383544922
250.0,17,250.1771240234375
250.0,18,250.2472686767578
250.0,19,250.25265502929688
250.0,20,250.0512237548828
250.0,21,250.24081420898438
250.0,22,250.1165771484375
250.0,23,250.0042724609375
250.0,24,250.03619384765625
250.0,25,250.24044799804688
250.0,26,250.25213623046875
