# section=distribution_stats
instrument,n,min,q1,median,q3,max
1,51,1.444326362128493,1.6333001249420187,1.8931446722939824,2.149946598776304,2.707553312063746
2,30,1.079350731451603,1.5975408135776372,2.147082044903793,2.5053074762735825,3.510039367728836
# section=histogram
instrument,bin_low,bin_high,count
1,1.444326362128493,1.5706490571220182,9
1,1.5706490571220182,1.6969717521155436,8
1,1.6969717521155436,1.8232944471090688,5
1,1.8232944471090688,1.949617142102594,6
1,1.949617142102594,2.0759398370961195,5
1,2.0759398370961195,2.2022625320896445,6
1,2.2022625320896445,2.32858522708317,2
1,2.32858522708317,2.4549079220766954,4
1,2.4549079220766954,2.5812306170702204,4
1,2.5812306170702204,2.707553312063746,2
2,1.079350731451603,1.3224195950793265,3
2,1.3224195950793265,1.5654884587070497,4
2,1.5654884587070497,1.808557322334773,3
2,1.808557322334773,2.0516261859624962,3
2,2.0516261859624962,2.29469504959022,5
2,2.29469504959022,2.537763913217943,5
2,2.537763913217943,2.780832776845666,1
2,2.780832776845666,3.0239016404733894,2
2,3.0239016404733894,3.266970504101113,3
2,3.266970504101113,3.510039367728836,1
# section=threshold_sweep
threshold,n_excluded_instrument1,n_excluded_instrument2,n_remaining_instrument1,n_remaining_instrument2
1.0,0,0,51,30
1.1,0,1,51,29
1.2,0,1,51,29
1.3,0,2,51,28
1.4,0,4,51,26
1.5,5,5,46,25
1.6,11,8,40,22
