condition_id,D_sec_M,D_sec_L,diff_D_sec,compaction_density_M,compaction_density_L,diff_compaction_density
C01,8.849368497770836,9.213178512111671,-0.36381001434083515,3.42,3.41,0.009999999999999787
C02,9.647374794205136,9.77164328274587,-0.12426848854073391,3.43,3.38,0.050000000000000266
C03,10.295226328041476,9.4697353194502,0.8254910085912766,3.48,3.46,0.020000000000000018
C04,9.387252839225006,10.238051716608435,-0.8507988773834292,3.455,3.4,0.05500000000000016
C05,9.846078657768498,9.074313316252915,0.7717653415155823,3.45,3.36,0.0900000000000003
C06,10.186763881077844,9.732584744931176,0.45417913614666894,3.51,3.47,0.03999999999999959
C07,9.887901758142648,9.422688717681089,0.46521304046155976,3.395,3.4,-0.004999999999999893
C08,8.195652056556362,9.65398923433004,-1.4583371777736787,3.26,3.49,-0.23000000000000043
C09,10.040816527558595,9.594620100662157,0.4461964268964387,3.4,3.34,0.06000000000000005
C10,10.769934351879687,9.831558786066882,0.9383755658128052,3.42,3.38,0.040000000000000036
C11,9.197559665162274,10.128950776573635,-0.9313911114113615,3.42,3.4,0.020000000000000018
C12,8.603854503709423,9.634226087709996,-1.030371584000573,3.36,3.33,0.029999999999999805
C13,11.077957875901715,10.47710458162205,0.6008532942796645,3.34,3.33,0.009999999999999787
C14,9.27841144592807,9.27838873842304,2.2707505030084008e-05,3.285,3.37,-0.08499999999999996
C15,10.21321710946393,9.758642039901568,0.4545750695623614,3.36,3.33,0.029999999999999805
C16,10.624528374427824,10.122680920957952,0.5018474534698711,3.4,3.37,0.029999999999999805
C17,11.839771392430563,10.525241426110606,1.3145299663199577,3.29,3.3,-0.009999999999999787
C18,11.127970279117552,11.273942590428806,-0.14597231131125454,3.3,3.32,-0.020000000000000018
C19,11.765807984953714,11.819581827800263,-0.05377384284654951,3.34,3.37,-0.03000000000000025
C20,11.568542485201585,11.327312601950805,0.24122988325077976,3.34,3.45,-0.11000000000000032
C21,9.157885118422907,11.826358256378134,-2.6684731379552264,3.355,3.325,0.029999999999999805
C22,12.992805914875769,12.522535138943129,0.4702707759326401,3.5,3.51,-0.009999999999999787
C23,9.907145179054211,12.429594538251637,-2.5224493591974255,3.43,3.56,-0.1299999999999999
C24,10.88717943418724,11.072225426422966,-0.18504599223572527,3.37,3.4,-0.029999999999999805
C25,10.07238157407282,11.271113901373727,-1.1987323273009078,3.38,3.41,-0.03000000000000025
C26,12.26383539380828,11.543832104568835,0.720003289239445,3.44,3.43,0.009999999999999787
C27,11.31609882347827,11.44163562319878,-0.1255367997205088,3.38,3.38,0.0
