sample_id,precursor,dt_scale,h
C01-L,L,2.684338280161429,0.24663647230657051
C01-M,M,2.277222114770538,0.21553221341118411
C01-S,S,1.3513749203833847,0.14153546754951943
C03-L,L,3.054421617891048,0.26
C03-M,M,2.6888880694443196,0.24928882169443423
C03-S,S,1.3582808730155926,0.1401790315872786
C04-L,L,3.0313168317841934,0.26
C04-M,M,2.4177361709613487,0.22705436601883058
C04-S,S,1.393963615083318,0.14355048310349874
C07-L,L,2.6130009699762025,0.2430660795380486
C07-M,M,2.316649295078861,0.21876524219646662
C07-S,S,1.3398,0.14
C09-L,L,2.9425741064269,0.26
C09-M,M,2.840787248677062,0.2571860210581857
C09-S,S,1.3398,0.14
C12-L,L,2.934341241093192,0.2594103867985686
C12-M,M,2.2418604988862953,0.21263256090867624
C12-S,S,1.4525257408548733,0.14790711075009963
C14-L,L,2.56825870978478,0.2393972142023519
C14-M,M,2.1367113606200996,0.20401033157084816
C14-S,S,1.3398,0.14
C15-L,L,2.76127115163416,0.25460560453510145
C15-M,M,2.4697232989595053,0.2313173105146794
C15-S,S,1.3942757596926632,0.14313061229479837
C16-L,L,2.8740568562916735,0.26
C16-M,M,2.5520803703961943,0.23807059037248793
C16-S,S,1.4001239060885153,0.14361016029925824
C17-L,L,2.88561847521307,0.25668260720136693
C17-M,M,2.5685609795188147,0.2394220003205428
C17-S,S,1.4525257408548733,0.14790711075009963
C18-L,L,2.976273564035408,0.26
C18-M,M,2.539458185438683,0.23703557120597196
C18-S,S,1.5196612920847397,0.15341222595094864
C19-L,L,2.8679136601451454,0.2594103867985686
C19-M,M,2.518991004372143,0.23535726235851565
C19-S,S,1.5196612920847397,0.15341222595094864
C21-L,L,2.636238243387479,0.24497153595777324
C21-M,M,2.12702867302053,0.20321635118768347
C21-S,S,1.5683898141298538,0.157407964758648
C24-L,L,2.8479750923466427,0.26
C24-M,M,2.548482384407786,0.23777555552143848
C24-S,S,1.4181213494270508,0.14508595065301813
C25-L,L,2.9367532234725737,0.26
C25-M,M,2.5121295350672033,0.23479462187551062
C25-S,S,1.4969531934486218,0.151550161862787
C26-L,L,2.632454202100535,0.24466124457224384
C26-M,M,2.6575303952274107,0.24671749240864763
C26-S,S,1.5683898141298538,0.15740796475864802
C27-L,L,2.8826483321004033,0.26
C27-M,M,2.540291093680528,0.2371038696818033
C27-S,S,1.4298176422187552,0.14604504666193793
