sample_id,precursor,d_um
C07-S,S,1.8686377885916985
C07-S,S,3.47312634940454
C07-S,S,3.3045171172802354
C07-S,S,3.482254161070224
C07-S,S,2.092995659821536
C07-S,S,2.3636606135239884
C07-S,S,3.1369646987543267
C07-S,S,2.077773671184859
C07-S,S,4.327676511942633
C07-S,S,4.093980274472972
C07-S,S,4.101726696299568
C07-S,S,2.949198918469352
C07-S,S,3.4455978332997264
C07-S,S,3.3141093496987777
C07-S,S,4.201130578172108
C07-S,S,4.450625781751057
C07-S,S,5.415826839329719
C07-S,S,3.3898702052826586
C07-S,S,3.454798377937929
C07-S,S,3.034085280212642
C07-S,S,4.407623557997045
C07-S,S,3.7878956110204745
C07-S,S,3.5004383795485454
C07-S,S,3.927777872685193
C07-S,S,2.167502675625957
C07-S,S,4.556356098861118
C07-S,S,4.312981472867047
C07-S,S,3.167176934009081
C07-S,S,3.737275577183397
C07-S,S,3.085953743077969
C07-S,S,1.7456790545267524
C07-S,S,4.031473088198847
C07-S,S,2.4943467139819178
C07-S,S,3.417847600281708
C07-S,S,4.542400917235657
C07-S,S,5.957302953501169
C07-S,S,3.9919090976696414
C07-S,S,2.7137683744347867
C07-S,S,3.754224759725641
C07-S,S,3.536526327127732
C07-S,S,3.085953743077969
C07-S,S,5.120575904019775
C07-S,S,1.885548882504947
C07-S,S,3.79626666125431
C07-S,S,3.47312634940454
C07-S,S,2.442911360672195
C07-S,S,4.780738981642966
C07-S,S,5.628517946851282
C07-S,S,6.849612477001458
C07-S,S,3.754224759725641
C07-S,S,2.3230215853143203
C07-S,S,2.0314234463992653
C07-S,S,1.7816762242727986
C07-S,S,3.0445296666259978
C07-S,S,4.632358183109277
C07-S,S,2.817077460835509
C07-S,S,1.763769476086996
C07-S,S,3.677338292334829
C07-S,S,1.7816762242727986
C07-S,S,3.408547317463651
C07-S,S,1.4692078526656815
C07-S,S,1.5532293223428475
C07-S,S,3.177183837092519
C07-S,S,6.344368662995729
C07-S,S,4.840129320675807
C07-S,S,6.57049726327392
C07-S,S,3.106458644685695
C07-S,S,5.48571136626395
C07-S,S,4.047190391814686
C07-S,S,4.34962598416327
C07-S,S,6.026175795934756
C07-S,S,2.817077460835509
C07-S,S,3.417847600281708
C07-S,S,3.607619393640327
C07-S,S,3.821269785482214
C07-S,S,3.482254161070224
C07-S,S,4.0235914128436026
C07-S,S,3.720249176209294
C07-S,S,3.660033074925209
C07-S,S,6.964508322140447
C07-S,S,2.949198918469352
C07-S,S,3.399221589132705
C07-S,S,3.7031444916935614
C07-S,S,1.5935796605476555
C07-S,S,2.481587823589891
C07-S,S,7.86766917699963
C07-S,S,3.572249721942558
C07-S,S,2.1820988181584404
C07-S,S,5.903777133849647
C07-S,S,2.416783215221364
C07-S,S,4.320335240309157
C07-S,S,5.983886320495039
C07-S,S,3.7878956110204745
C07-S,S,5.033038241633877
C07-S,S,8.684643642371404
C07-S,S,5.014081344739102
C07-S,S,3.2463685801555866
C07-S,S,4.312981472867047
C07-S,S,4.563317685959601
C07-S,S,4.261149769927706
C07-S,S,3.167176934009081
C07-S,S,3.6339207337885258
C07-S,S,4.48614610395171
C07-S,S,3.342720896492735
C07-S,S,4.155547342369718
C07-S,S,3.1369646987543267
C07-S,S,3.527538952173992
C07-S,S,4.807225272862896
C07-S,S,8.318730051241575
C07-S,S,3.371089616420414
C07-S,S,6.438732359393037
C07-S,S,5.560428530039174
C07-S,S,3.482254161070224
C07-S,S,3.6251748228320464
C07-S,S,4.178401120615919
C07-S,S,3.6859604338129857
C07-S,S,4.807225272862896
C07-S,S,2.9813145541504222
C07-S,S,4.253693684128203
C07-S,S,2.442911360672195
C07-S,S,4.414819682883245
C07-S,S,2.99194316024752
C07-S,S,4.774094448923046
C07-S,S,4.062846892798531
C07-S,S,1.763769476086996
C07-S,S,3.106458644685695
C07-S,S,3.927777872685193
C07-S,S,2.666568802155929
C07-S,S,6.125443280890184
C07-S,S,5.001403495513547
C07-S,S,4.147901434618866
C07-S,S,4.471971831225634
C07-S,S,5.0456366048769885
C07-S,S,9.94871156696048
C07-S,S,3.4363726552102856
C07-S,S,3.563352448545597
C07-S,S,5.756772060397294
C07-S,S,1.7816762242727986
C07-S,S,3.6859604338129857
C07-S,S,7.919946623710677
C07-S,S,3.463974485409113
C07-S,S,2.606367617934471
C07-S,S,5.237037163580257
C07-S,S,1.967925711283216
C07-S,S,6.723319953289373
C07-S,S,5.9626291083008445
C07-S,S,4.371465247739782
C07-S,S,3.3236738987336945
C07-S,S,2.077773671184859
C07-S,S,7.144499443885116
C07-S,S,4.611754560525867
C07-S,S,5.200541686453833
C07-S,S,4.88582272134439
C07-S,S,3.77950602018642
C07-S,S,3.116660506777289
C07-S,S,4.93752598892475
C07-S,S,5.456701584028908
C07-S,S,1.4474406070619008
C07-S,S,3.4363726552102856
C07-S,S,3.47312634940454
C07-S,S,3.518528620850199
C07-S,S,3.7457597551330326
C07-S,S,3.5004383795485454
C07-S,S,2.654637785700438
C07-S,S,6.020905855446263
C07-S,S,3.4363726552102856
C07-S,S,3.47312634940454
C07-S,S,5.176068413293333
C07-S,S,5.684636163524871
C07-S,S,3.226752880450537
C07-S,S,4.85976481436643
C07-S,S,6.187318015728304
C07-S,S,1.8515722458467807
C07-S,S,4.238742166217072
C07-S,S,5.723591541610411
C07-S,S,4.853228476755571
C07-S,S,4.163179208013847
C07-S,S,1.8686377885916985
C07-S,S,7.068563251928038
C07-S,S,1.7273991889689646
C07-S,S,4.253693684128203
C07-S,S,4.378720796712142
C07-S,S,4.039339384631394
C07-S,S,6.656891733175485
C07-S,S,3.116660506777289
C07-S,S,5.014081344739102
C07-S,S,2.152807572794862
C07-S,S,3.9439084451697126
C07-S,S,2.594159739964875
C07-S,S,5.767789816047085
C07-S,S,4.666495403772876
C07-S,S,5.71248854077351
