sample_id,precursor,Theta,n,numD50,volD10,volD50,volD90,volD50_sd,volD90_sd,laserD50,Span,disp_ratio
C07-L,L,4.054026098945026,492,9.467990990934263,8.62228214209062,12.671213166246924,16.578207658171994,0.2913116444278465,0.9068575443847786,2.74,0.6278740174045887,4.624530352644863
C15-L,L,20.174386742848625,482,9.758642039901567,8.70654693981252,12.874999424474446,18.46937514558125,0.27094921397237687,0.7421764719608533,3.1,0.7582779527904518,4.153225620798208
C27-L,L,46.5178456430148,355,11.44163562319878,10.312196692880509,14.681271553126331,21.35485936162646,0.47043462219338605,1.2338520914565836,2.71,0.7521598268097187,5.417443377537392
C21-L,L,47.33688099936123,302,11.733324136711033,10.849223282548534,15.989489464705027,23.51812616040094,0.559725061702094,1.423849232066762,6.45,0.792326916116838,2.47899061468295
C07-M,M,4.054026098945026,427,9.83962855641608,9.16481503626545,13.951787652852303,18.19927974793565,0.3585343694102242,0.6417915266245848,2.34,0.6475488974219868,5.962302415748848
C15-M,M,20.174386742848625,346,10.21321710946393,9.168278030923805,14.940606086217947,19.38345823378608,0.40267229080788136,0.6867224709997942,3.35,0.6837192643935195,4.459882413796402
C27-M,M,46.5178456430148,335,11.318903656542409,10.501315138645635,15.18506664501724,22.24314128908372,0.6053304903310899,1.049782987970712,1.57,0.7732482461175759,9.67201697134856
C21-M,M,47.33688099936123,473,9.049792833981646,8.876253014262797,14.40405617142489,21.004141638447283,0.542965478839202,1.3026121371348405,6.12,0.8419773208219002,2.35360394957923
C07-S,S,4.054026098945026,2944,3.9919090976696414,3.771097765009893,6.094270339197796,9.021687819420674,0.06728436602907165,0.18611845100266247,1.71,0.8615617230892204,3.563900783156606
C15-S,S,20.174386742848625,2415,4.2237377220823085,4.101726696299568,6.835695200563416,9.745622372671647,0.10450038771944258,0.284616631427074,2.71,0.8256505755123333,2.52239675297543
C27-S,S,46.5178456430148,1833,4.833566430442728,4.846683324112317,8.113965570989464,12.054985122238945,0.13253053970996384,0.7111137583790687,1.67,0.8883821030617961,4.858662018556566
C21-S,S,47.33688099936123,1501,5.548999065682753,5.380544204207179,8.398482311468427,11.5383311120694,0.1443712869740183,0.3015826434995951,3.61,0.7332023429344542,2.3264493937585673
