sample_id,precursor,condition,Theta,n,numD50,volD10,volD50,volD90,volD50_sd,laserD50,Span,disp_ratio
C07-L,L,C07,4.054026098945026,492,9.467990990934263,8.62228214209062,12.671213166246924,16.578207658171994,0.2913116444278465,2.74,0.6278740174045887,4.624530352644863
C04-L,L,C04,4.078166000601167,447,10.284454968659771,8.95812914902176,13.177179068268062,17.531187058474266,0.2376645393703516,2.95,0.6505988774256904,4.466840362124766
C01-L,L,C01,4.174725607225732,500,9.204559360843287,8.226637951479509,12.346386332608972,15.857919306137536,0.25825790566748547,2.78,0.6180983770532495,4.441146162808983
C08-L,L,C08,6.060922563704088,491,9.65398923433004,8.677330256954411,13.186811510393747,18.09256896459127,0.26385396756962476,,0.7139890260974638,
C05-L,L,C05,6.085062465360228,539,9.074313316252915,8.16077729922559,12.185936011055585,16.005363868679005,0.2229435767652917,,0.6437409947283887,
C02-L,L,C02,6.181622071984794,468,9.77164328274587,8.670010702503829,12.568080981860176,17.098523108315515,0.27461182860487465,,0.670628429111554,
C09-L,L,C09,8.06781902846315,495,9.5979280201194,8.488710315280805,12.763568350147706,15.753484050999802,0.17323269522425375,3.76,0.5691804624241249,3.3945660505711985
C06-L,L,C06,8.091958930119292,469,9.732584744931176,8.833233764191686,13.039143614728829,18.51743679785008,0.2263140619921412,,0.7427023829018387,
C03-L,L,C03,8.188518536743857,492,9.4697353194502,8.215053850988113,12.71622649865122,15.14110344535684,0.21472966375718133,2.37,0.5446623332089403,5.3654964129330045
C16-L,L,C16,10.108991714280393,440,10.117974885109597,9.070814448447408,13.849023270937083,18.36250525553967,0.24991646757174718,3.45,0.67092751779769,4.014209643749879
C13-L,L,C13,10.174386742848624,425,10.47710458162205,9.247568995669294,14.170767686913496,19.256944800305035,0.23584434605651822,3.04,0.7063397005568907,4.661436739116282
C10-L,L,C10,10.435966857121558,506,9.831558786066882,8.62228214209062,12.626039356977284,15.66659827149805,0.18768074616137065,2.87,0.5579197031026729,4.399316849121004
C17-L,L,C17,15.10899171428039,414,10.526759189875783,9.670415976232576,14.231121414957665,20.103751137721893,0.547547763784544,2.9,0.7331351379325123,4.907283246537125
