sample_id,precursor,D_sec_off,aspect_ratio_off,circularity_off,convexity_off,n_sec_off,D_sec_on,aspect_ratio_on,circularity_on,convexity_on,n_sec_on,frac_border
C01-L,L,9.178659175631722,1.5086303221939394,0.4659756095412234,0.8287671232876712,595,9.261289431991374,1.46862345822285,0.4792346811893854,0.8301886792452831,487,0.1815126050420168
C01-M,M,9.89752762574621,1.604060247679699,0.3506532746063699,0.7602799292858876,462,10.225641952390951,1.5385405651226969,0.3477805570762183,0.7599687255668491,353,0.2359307359307358
C01-S,S,4.956775675920353,1.5928104680979998,0.526110336273809,0.8056737588652482,1869,5.033038241633877,1.559140906021582,0.5279196872119974,0.8039772727272727,1629,0.1284109149277689
C03-L,L,8.836826700587649,1.463492468604901,0.5641893028391685,0.8710263396911899,637,9.014645123619324,1.4209315635897894,0.5785787353154045,0.8670384138785625,520,0.183673469387755
C03-M,M,10.02656471679488,1.5075629126795769,0.4046016890730742,0.796018288705392,476,10.322963976905164,1.466307694758327,0.4065760977612219,0.796018288705392,384,0.1932773109243697
C03-S,S,5.2762882147993135,1.6323403154155856,0.4904264355408074,0.7921677098349029,1678,5.374638001468926,1.6113728213816,0.490223722840594,0.7847688896469385,1428,0.1489868891537544
C04-L,L,9.563113458431914,1.475878409835403,0.5180903480039776,0.8622386194463035,576,10.05345443882574,1.4254222669856582,0.5193821839399458,0.8498530029399411,463,0.1961805555555555
C04-M,M,10.089655988532185,1.586744876394887,0.3537261730450184,0.7645023345249661,484,10.345994947170997,1.5673349892568051,0.3357333547511122,0.7610543110184944,376,0.2231404958677686
C04-S,S,5.345028672818396,1.6361223435200831,0.4885135432810638,0.7940121828991797,1602,5.404091556115475,1.6008348587334087,0.4873747097484762,0.7909257852077002,1362,0.149812734082397
C07-L,L,9.390633805601237,1.5273741627752435,0.422560968849426,0.8063439065108514,607,9.611148312914755,1.513971924279847,0.4129588585652866,0.7968835429196283,479,0.2108731466227347
C07-M,M,10.339863986674134,1.643408292361506,0.3045816462179009,0.7438070404172099,437,10.938098220757956,1.608870947897403,0.2923954764321864,0.7307478308037173,334,0.2356979405034325
C07-S,S,5.157637250622092,1.5942789330755411,0.5214755654545209,0.8010899182561307,1779,5.200541686453833,1.563724809279712,0.5241485268251804,0.8006430868167203,1559,0.1236649803260259
C09-L,L,9.363551892524466,1.524299212548629,0.4973318068779228,0.8430899215449609,619,9.539866722714518,1.4624294467534549,0.4936397964331689,0.8387135740076916,510,0.1760904684975767
C09-M,M,9.693366648224634,1.5318901880150275,0.4233596405355612,0.8150932050511124,509,9.884690879097722,1.513005736826081,0.4247557648058587,0.8101767215112736,399,0.2161100196463654
C09-S,S,5.3062844292839735,1.662738407889583,0.5018670325596377,0.7940894220283534,1378,5.309275571400876,1.645376720668041,0.5124154819457526,0.795275590551181,1177,0.1458635703918722
C12-L,L,9.13009629787066,1.4998612249742336,0.5026586698691,0.8396586213756365,608,9.257861229233908,1.452665832518064,0.4923994245628085,0.8290094339622642,483,0.2055921052631578
C12-M,M,9.951901790408506,1.6271656516547968,0.303205082664464,0.7321906802356721,483,10.306038318671735,1.5856127017854875,0.295909057651646,0.7300613496932515,371,0.2318840579710145
C12-S,S,5.935950544465699,1.652929996253074,0.4576835181200416,0.7785714285714287,1485,6.020905855446263,1.6332783507772664,0.459596128015283,0.7759197324414715,1263,0.1494949494949494
C14-L,L,9.23726465519751,1.5364951346360831,0.4305966451909342,0.8186318602696732,624,9.504871118812462,1.5215120139997638,0.4293786990698478,0.8106134371957157,499,0.2003205128205127
C14-M,M,10.90612115496102,1.6725385968765836,0.2897589592592365,0.7277938031451696,422,11.27675790888708,1.6170568701027574,0.276009737051086,0.7157701711491443,321,0.2393364928909952
C14-S,S,4.988693427963836,1.6133860036156369,0.5196290256510749,0.8045267489711934,1831,5.0456366048769885,1.5823401071247238,0.5214160872786577,0.8016877637130801,1597,0.127799016930639
C15-L,L,9.353287294078466,1.5090536932102032,0.4961627174546384,0.8468306163002456,612,9.66384807190231,1.4770864803414034,0.493095067960824,0.8382832272413528,494,0.1928104575163398
C15-M,M,10.591611433566612,1.62173796487802,0.3385617245048992,0.7687796671273208,398,10.907584237669164,1.5745631763890384,0.3352986111304551,0.7551020408163266,293,0.2638190954773869
C15-S,S,5.734673045773384,1.6753610615586645,0.472002185203632,0.7827260458839406,1369,5.833459368372237,1.6598426742093038,0.4761480957889238,0.7820895522388059,1159,0.1533966398831263
C16-L,L,9.578062793448122,1.525043686205046,0.4881748068928074,0.8466531187790312,586,9.907145179054211,1.4968203485430078,0.489595183557874,0.8396299151888974,455,0.2235494880546075
C16-M,M,10.594608070528247,1.5903641044796082,0.3211107825689752,0.7585393401596097,444,10.92212575090869,1.5691911660683202,0.3226551697652255,0.7596504005826656,337,0.2409909909909909
C16-S,S,5.983886320495039,1.654448534424421,0.4391242795687695,0.7764471057884231,1142,6.122851048821472,1.6054172039076438,0.4399014485634581,0.7738593002405052,942,0.1751313485113835
C17-L,L,10.3766389598595,1.536657100413166,0.4691613586529663,0.8361581920903954,545,10.370518853777206,1.4774846130703387,0.4774559590831947,0.8378378378378379,431,0.2091743119266055
C17-M,M,11.50802865024058,1.5202666704457193,0.2916926338886036,0.7444551591128253,405,12.292247683641214,1.482642245459178,0.2848702775526766,0.7402888366908194,298,0.2641975308641975
C17-S,S,6.041948900842248,1.6804976154086972,0.4498142646216003,0.7740998838559815,1302,6.258713634236912,1.660048126019218,0.4458655474007971,0.7683474553717395,1090,0.162826420890937
C18-L,L,10.663298712065515,1.557877633899904,0.4205769671186449,0.8136409736308317,499,10.94100072827248,1.5289863135162416,0.4242574256982087,0.8127882881313471,388,0.2224448897795591
C18-M,M,11.086532875240804,1.6294137194233391,0.3191550815704909,0.7495931254045629,440,11.571297839572797,1.5915178095066456,0.3298669878605298,0.749613601236476,321,0.2704545454545455
C18-S,S,6.613835567728841,1.672893356962911,0.3991391043424143,0.7504363001745201,1159,6.628218699397555,1.646950187652533,0.4015175265349687,0.7450957202799067,958,0.173425366695427
C19-L,L,11.422198295884725,1.566453750783208,0.3686783022889855,0.7934952978056427,437,11.672357860880272,1.5363947248369385,0.3775806492025328,0.7933799006235687,326,0.2540045766590388
C19-M,M,12.131108811436938,1.6148169978782323,0.2931686622944824,0.7387923147301007,363,12.37207054246222,1.575781614553919,0.2903021416531892,0.7381626871711857,269,0.2589531680440771
C19-S,S,6.789098234771531,1.7529925191364344,0.3980625734769578,0.7448680351906158,1039,6.969064755942961,1.7212243154457574,0.3911600885388941,0.7365010799136069,855,0.1770933589990375
C21-L,L,11.480410219130777,1.5773615770397524,0.3230558232207291,0.7628304699144897,400,11.875871407331548,1.5631369630994998,0.3164221207869691,0.7573588901485384,294,0.265
C21-M,M,10.519436489723423,1.668464718339173,0.2566555338012988,0.712363869314542,455,10.34753064672947,1.6111093782054895,0.2619217909114975,0.7077297190539673,338,0.2571428571428571
C21-S,S,7.041566730943534,1.7132016227274425,0.3874160349537313,0.7491926803013993,1015,7.237203035309503,1.6890812461250793,0.3862682092401047,0.7468477206595538,831,0.1812807881773399
C24-L,L,10.631994245216962,1.5338444985056647,0.4287848168353556,0.8173821223226265,514,10.743373045368878,1.4805450112576417,0.4337889989842056,0.8147831288522573,400,0.2217898832684824
C24-M,M,10.868224869945932,1.5813980679421211,0.32837707618709,0.7519140107759513,442,11.399940565641286,1.548116593752615,0.327296940642527,0.749435317572115,336,0.2398190045248869
C24-S,S,5.957302953501169,1.6923792371673263,0.4310865717782083,0.76375,1309,5.959966030901007,1.683245158896674,0.4351515240615027,0.7638358152356226,1108,0.1535523300229182
C25-L,L,10.88136054322178,1.550032622029835,0.4328770458126553,0.8249097472924188,489,11.16643453410707,1.502973320507419,0.4320196154618217,0.8216004813477739,379,0.2249488752556236
C25-M,M,10.261273860710286,1.5699916438109671,0.3584577341188018,0.7699244139691419,496,10.564603451308956,1.537054751362468,0.3540166247315065,0.7686105816398185,372,0.25
C25-S,S,6.807775294090504,1.666371424847762,0.38812358084540294,0.7505720823798627,1051,7.005409538308847,1.6404614552297214,0.3832839202808875,0.7458563535911602,867,0.1750713606089439
C26-L,L,10.959843391325391,1.583595307572504,0.355413584181643,0.7802056555269924,469,11.271126568756195,1.568016117823712,0.35111373739040785,0.7708695652173914,367,0.2174840085287847
C26-M,M,11.694079946009307,1.581478019356057,0.31150665637801866,0.7599823278264758,398,12.432731708644635,1.5195052512767777,0.2865008068850182,0.744813730878365,290,0.27135678391959794
C26-S,S,6.8472756702784805,1.6923622636852371,0.37713557724301827,0.748528507928908,1002,7.126704897091194,1.6811487853889342,0.366197524903383,0.7381635581061693,815,0.18662674650698607
C27-L,L,10.70341065164719,1.5302322137812023,0.441730933670349,0.8266972040336527,498,11.072225426422966,1.5018179820832565,0.44069175311123254,0.8193548387096775,375,0.24698795180722888
C27-M,M,11.005951232597512,1.6180704511967408,0.3273588329918735,0.7503729401065053,440,11.677751426548472,1.5767027781247709,0.32429459717228937,0.7445877947860153,318,0.2772727272727272
C27-S,S,6.916481116827303,1.7210738537615915,0.3669696880348591,0.736530279746151,930,6.978168698107828,1.6728926900337675,0.3668485545307923,0.7327433628318584,767,0.1752688172043011
