sample_id,D_sec,aspect_ratio,circularity,convexity,D_pri_sem,n_sec,n_pri,D_pri_sem_classic,n_pri_classic,primary_segmentable,acf_scale_um,edge_density
C01-L,9.213178512111671,1.469620066497575,0.47359435295583596,0.8287671232876712,,501,0,,0,False,0.201,0.1409
C01-M,8.849368497770836,1.5789289469363923,0.38561506522617284,0.7706615357311535,,488,0,,0,False,0.1786,0.1498
C01-S,3.8707915461331637,1.418786393352632,0.718903736468451,0.8789200509925332,,2980,0,,0,False,0.2754,0.1341
C02-L,9.77164328274587,1.5451075464132318,0.43980955885066725,0.8154944770741188,,468,0,,0,False,0.1563,0.1494
C02-M,9.647374794205135,1.5767243068634595,0.3462200452749027,0.7567397010168609,,414,0,,0,False,0.1414,0.1534
C02-S,4.208679785659095,1.4377275836781467,0.6600504103784588,0.8571428571428571,,2609,0,,0,False,0.2456,0.1357
C03-L,9.4697353194502,1.4274911287789949,0.5782163715153235,0.8666440983976529,,492,0,,0,False,0.1563,0.1507
C03-M,10.295226328041476,1.468115734489466,0.4050851886639898,0.7950938554963686,,386,0,,0,False,0.2307,0.1365
C03-S,4.08621916744697,1.4325807484540871,0.6846060850013922,0.8631578947368421,,2809,0,,0,False,0.2605,0.1333
C04-L,10.238051716608437,1.418106979023306,0.5309670970352959,0.8574332909783989,,447,0,,0,False,0.201,0.1389
C04-M,9.387252839225006,1.5575841827166472,0.3752497956842075,0.7689573459715641,,459,0,,0,False,0.1638,0.1461
C04-S,4.140241406965356,1.4563774520471566,0.6653953032174571,0.8598130841121495,,2559,0,,0,False,0.2977,0.1282
C05-L,9.074313316252917,1.48259197130894,0.47966254549408366,0.8247322297955209,,539,0,,0,False,0.1563,0.1469
C05-M,9.846078657768498,1.5804859506636704,0.3413827270468627,0.7478152309612984,,431,0,,0,False,0.1786,0.1449
C05-S,3.8912374721731418,1.4100155750747903,0.7189860447394287,0.8751770538243626,,3162,0,,0,False,0.2531,0.1329
C06-L,9.732584744931176,1.492506012236443,0.4819705492755332,0.8314720812182741,,469,0,,0,False,0.1489,0.1448
C06-M,10.186763881077844,1.5331691304435158,0.35056733121172984,0.755672514619883,,412,0,,0,False,0.1638,0.1446
C06-S,4.879321291024226,1.4938848894570405,0.5858451899641998,0.8294573643410853,,1923,0,,0,False,0.2828,0.1315
C07-L,9.422688717681087,1.5083897324004438,0.42299084584042,0.8039309233650653,,494,0,,0,False,0.1638,0.1438
C07-M,9.887901758142648,1.5847891733264705,0.3315885899325831,0.7470300489168413,,425,0,,0,False,0.201,0.1371
C07-S,4.0156942680121945,1.4139719276818934,0.7035404000758467,0.8712871287128713,,2909,0,,0,False,0.3052,0.1282
C08-L,9.65398923433004,1.4834717123263017,0.43464422034786865,0.8182828563489859,,491,0,,0,False,0.2159,0.1367
C08-M,8.195652056556362,1.5714107488690772,0.37169210968511934,0.7630949480711952,,580,0,,0,False,0.2307,0.1372
C08-S,3.935851422566431,1.443691507998985,0.6939689557199944,0.8629441624365483,,2905,0,,0,False,0.268,0.1329
C09-L,9.594620100662157,1.4624294467534549,0.4860111914298262,0.8391363214113506,,496,0,,0,False,0.1489,0.1482
C09-M,10.040816527558595,1.513005736826081,0.41764273340402425,0.8101767215112736,,389,0,,0,False,0.1935,0.1449
C09-S,3.9998532032338936,1.4358065010019376,0.6949377015008613,0.8689490361060815,,2600,0,,0,False,0.2903,0.1287
C10-L,9.831558786066882,1.4731371438619845,0.4690646534716028,0.832893122534953,,506,0,,0,False,0.2084,0.1344
C10-M,10.769934351879689,1.5671189114534412,0.32441526338040044,0.7527472527472527,,373,0,,0,False,0.201,0.137
C10-S,3.9679813550430554,1.4556435788968156,0.6829112386332447,0.8641975308641975,,2859,0,,0,False,0.268,0.1292
C11-L,10.128950776573637,1.4652918199285618,0.4433810900739104,0.8239545689210118,,443,0,,0,False,0.1861,0.1386
