sample_id,panel,n_cc,n_ws,parts_per_blob,solidity_mean,solidity_areawt,solid_frac
C03-L,P01,125,94,0.752,0.7005649269692595,0.4662539632575589,0.495311084692029
C24-L,P02,88,71,0.8068181818181818,0.7216594261056324,0.4844163105317785,0.4640441009963768
C03-M,P03,107,99,0.9252336448598132,0.7328835856750174,0.49845605591349,0.4633336163949275
C21-S,P04,72,88,1.2222222222222223,0.7415639827051062,0.4545194172315705,0.4621263586956521
C07-S,P05,97,55,0.5670103092783505,0.7162151302296678,0.6341755778317288,0.5051602128623188
C14-M,P06,93,103,1.10752688172043,0.724771565110882,0.4822565060415503,0.4878594882246377
C12-L,P07,88,58,0.6590909090909091,0.7565072616469302,0.513581901719426,0.4905457427536231
C16-M,P08,98,71,0.7244897959183674,0.7385207376147302,0.5148055126925526,0.471775928442029
C19-M,P09,94,58,0.6170212765957447,0.7245771683541111,0.4468240903592657,0.4528249547101449
C26-L,P10,135,76,0.562962962962963,0.7267886831077967,0.4721083933061381,0.4375367980072464
C12-M,P11,86,82,0.9534883720930232,0.7530415683922467,0.5167079059982309,0.4930267776268116
C01-M,P12,100,95,0.95,0.7442040357223914,0.4785951144176978,0.497368942481884
C01-S,P13,96,96,1.0,0.7425619408187861,0.5755109000121787,0.503709522192029
C18-S,P14,84,58,0.6904761904761905,0.7842467689777749,0.5078102707692778,0.47308367300724635
C09-L,P15,100,145,1.45,0.7297754998899422,0.4614703431264355,0.49130293251811596
C18-L,P16,75,83,1.1066666666666667,0.7665741096070975,0.505977047057887,0.4797780797101449
C26-S,P17,80,104,1.3,0.745157993782337,0.5328499109798058,0.467186084692029
C15-S,P18,71,79,1.1126760563380282,0.74792159074854,0.5434137958409803,0.49533656023550726
