sample_id,precursor,n_img_500x,D_sec_old,aspect_ratio_old,circularity_old,convexity_old,n_sec_old,img_h_old,D_sec_new,aspect_ratio_new,circularity_new,convexity_new,n_sec_new,img_h_new
C01-L,L,3,13.710806006839649,1.3781342734075164,0.3919057956860672,0.8263403263403264,89,766,9.178659175631722,1.5086303221939394,0.4659756095412234,0.8287671232876712,595,690
C01-M,M,3,14.114654503472698,1.4021618010465888,0.3220007633795957,0.797422547173295,65,766,9.89752762574621,1.604060247679699,0.3506532746063699,0.7602799292858876,462,690
C01-S,S,3,39.886474410104135,4.167146502873606,0.0805276439294234,0.7062852311161216,9,766,4.956775675920353,1.5928104680979998,0.526110336273809,0.8056737588652482,1869,690
C03-L,L,3,13.085309129289849,1.2867113540973212,0.5295613603666386,0.8904126994502923,146,766,8.836826700587649,1.463492468604901,0.5641893028391685,0.8710263396911899,637,690
C03-M,M,3,13.852307073387678,1.338052729541116,0.3905712600058565,0.8178246645231898,106,766,10.02656471679488,1.5075629126795769,0.4046016890730742,0.796018288705392,476,690
C03-S,S,3,39.35206148126065,3.916182109583788,0.0928962664757953,0.7255756067205974,9,766,5.2762882147993135,1.6323403154155856,0.4904264355408074,0.7921677098349029,1678,690
C04-L,L,3,13.33283040580207,1.338555779246974,0.4507345881903917,0.852239769930053,138,766,9.563113458431914,1.475878409835403,0.5180903480039776,0.8622386194463035,576,690
C04-M,M,3,15.172518729381702,1.4913070912883923,0.2499630202912175,0.7589720536450139,81,766,10.089655988532185,1.586744876394887,0.3537261730450184,0.7645023345249661,484,690
C04-S,S,3,39.276162324097,3.863872912810141,0.081161415262234,0.7513583355420091,9,766,5.345028672818396,1.6361223435200831,0.4885135432810638,0.7940121828991797,1602,690
C07-L,L,3,15.170425102286837,1.6470417418687804,0.2653049268136688,0.7497491102260248,86,766,9.390633805601237,1.5273741627752435,0.422560968849426,0.8063439065108514,607,690
C07-M,M,3,14.60104552199086,1.5717288347082468,0.2348306877069109,0.7254347172504654,78,766,10.339863986674134,1.643408292361506,0.3045816462179009,0.7438070404172099,437,690
C07-S,S,3,38.51122104110544,3.626233276733961,0.0718452571979303,0.7008442669688082,10,766,5.157637250622092,1.5942789330755411,0.5214755654545209,0.8010899182561307,1779,690
C09-L,L,3,13.479649417706492,1.2994164602483602,0.4514915192756735,0.8670325031658929,127,766,9.363551892524466,1.524299212548629,0.4973318068779228,0.8430899215449609,619,690
C09-M,M,3,13.491418955806274,1.3027395502549084,0.3944667479476035,0.8188929001203369,123,766,9.693366648224634,1.5318901880150275,0.4233596405355612,0.8150932050511124,509,690
C09-S,S,3,37.83854724631778,3.923681786158637,0.0828527621241063,0.7503820164994859,10,766,5.3062844292839735,1.662738407889583,0.5018670325596377,0.7940894220283534,1378,690
C12-L,L,3,14.767505901510503,1.4845273963082208,0.375136497892254,0.8030040439052571,119,766,9.13009629787066,1.4998612249742336,0.5026586698691,0.8396586213756365,608,690
