sample_id,n_sec,precursor
C01-L,501,L
C01-M,488,M
C01-S,2980,S
C02-L,468,L
C02-M,414,M
C02-S,2609,S
C03-L,492,L
C03-M,386,M
C03-S,2809,S
C04-L,447,L
C04-M,459,M
C04-S,2559,S
C05-L,539,L
C05-M,431,M
C05-S,3162,S
C06-L,469,L
C06-M,412,M
C06-S,1923,S
C07-L,494,L
C07-M,425,M
C07-S,2909,S
C08-L,491,L
C08-M,580,M
C08-S,2905,S
C09-L,496,L
C09-M,389,M
C09-S,2600,S
C10-L,506,L
C10-M,373,M
C10-S,2859,S
C11-L,443,L
C11-M,476,M
C11-S,2861,S
C12-L,464,L
C12-M,533,M
C12-S,2223,S
C13-L,425,L
C13-M,343,M
C13-S,2756,S
C14-L,526,L
C14-M,479,M
C14-S,3001,S
C15-L,482,L
C15-M,346,M
C15-S,2412,S
C16-L,439,L
C16-M,369,M
C16-S,2144,S
C17-L,414,L
C17-M,323,M
C17-S,2074,S
C18-L,363,L
C18-M,348,M
C18-S,1866,S
C19-L,316,L
C19-M,308,M
C19-S,1662,S
C20-L,362,L
C20-M,338,M
C20-S,1609,S
C21-L,300,L
C21-M,465,M
C21-S,1497,S
C22-L,265,L
C22-M,233,M
C22-S,1472,S
C23-L,264,L
C23-M,448,M
C23-S,962,S
C24-L,373,L
C24-M,364,M
C24-S,2188,S
C25-L,364,L
C25-M,409,M
C25-S,1813,S
C26-L,359,L
C26-M,303,M
C26-S,1501,S
C27-L,355,L
C27-M,335,M
C27-S,1816,S
