sample_id,delta_bic,separation,w_small,n_density_peaks,density_bimodal,condition_id,precursor
C01-L,0.294228768629921,2.2196193431117415,0.48443362898523257,1,False,C01,L
C01-M,33.17851226796779,2.7365217524661074,0.4709824701043025,2,True,C01,M
C01-S,-16.627529278149723,1.561605218973087,0.517507555357588,1,False,C01,S
C02-L,1.15798100201809,2.3728323179603095,0.38740055978557536,1,False,C02,L
C02-M,4.543666743197775,2.4669465170549305,0.5160344128484878,2,True,C02,M
C02-S,-14.162015996398623,1.837657922987379,0.5483909357433189,1,False,C02,S
C03-L,33.312952458816,2.755469029091104,0.5158076069392984,2,True,C03,L
C03-M,14.912898482191622,2.450679828444501,0.41679937789827104,1,False,C03,M
C03-S,-16.024739227853843,1.6613729444597085,0.4835139523243954,1,False,C03,S
C04-L,23.088552474722803,2.746938171249282,0.44040293681499815,2,True,C04,L
C04-M,14.766355923292167,2.4694720643387784,0.4284100747565552,2,True,C04,M
C04-S,-16.106496369950037,1.7019363410019144,0.5066458785131552,1,False,C04,S
C05-L,-3.148750243234474,2.101013299031485,0.4551606278089425,1,False,C05,L
C05-M,11.183741813728204,2.358170590185485,0.4050503762228213,1,False,C05,M
C05-S,0.509267612111671,1.382155384508839,0.4521460141079778,1,False,C05,S
C06-L,-11.008659714850069,2.02120738415932,0.45276092546780466,1,False,C06,L
C06-M,29.230642200760315,2.7771457947507767,0.4869693298496385,2,True,C06,M
C06-S,51.19042094724773,2.3143758369385807,0.4737867825446806,2,True,C06,S
C07-L,10.212166454875842,2.435423103572728,0.33782930931555183,1,False,C07,L
C07-M,19.818297898585968,2.40658484487787,0.407536640940612,1,False,C07,M
C07-S,-3.21904559831637,1.53225964285532,0.4564965257442729,1,False,C07,S
C08-L,11.103393967010675,2.4602167854385937,0.4091024263524597,2,True,C08,L
C08-M,12.785820180273276,2.262263602534338,0.4804035410525561,1,False,C08,M
C08-S,-8.0858592953291,1.7621108417937932,0.501236511571818,1,False,C08,S
C09-L,28.428331709638485,2.694800297712745,0.45024618887633716,2,True,C09,L
C09-M,9.131739425932125,2.188620055124838,0.4993076307821829,1,False,C09,M
C09-S,-17.789496505004536,1.7399452607519237,0.5387317245110061,1,False,C09,S
C10-L,21.75970471813679,2.4714285193212615,0.43358370281230424,2,True,C10,L
C10-M,12.70574144061851,2.2193986142386457,0.4133649231653166,1,False,C10,M
C10-S,-12.900115429442394,1.7727432705057542,0.512577270070576,1,False,C10,S
C11-L,0.2577856784623691,2.331365319398898,0.42520987297426305,1,False,C11,L
C11-M,19.051965966979765,2.5324700492001875,0.4810376052166358,2,True,C11,M
C11-S,-0.15826344226888978,1.522618902005032,0.4803347743347943,1,False,C11,S
C12-L,14.22023062591046,2.693263720134562,0.49703367789847397,2,True,C12,L
C12-M,-3.4334568940348618,2.061088619193025,0.4601275344089402,1,False,C12,M
C12-S,27.737393627258825,1.7635530473329188,0.45129872514585756,1,False,C12,S
C13-L,-1.4729018027200595,2.378658982979252,0.46226256605082044,2,False,C13,L
C13-M,-6.309752648943942,2.1576850182926575,0.43567004429821843,1,False,C13,M
C13-S,11.65887256416454,1.7249639960498517,0.4829388514478858,1,False,C13,S
C14-L,6.664028229405403,2.4385889286392417,0.45484748071564063,2,True,C14,L
C14-M,1.3293887778040698,2.180314223836399,0.4283747668449783,1,False,C14,M
C14-S,-8.057658088513108,1.6374103217043001,0.46111002273968343,1,False,C14,S
C15-L,-3.2926997093409227,2.242070744322172,0.4273509447815877,1,False,C15,L
C15-M,-4.009774917933612,2.307614149244049,0.5000071452451078,2,False,C15,M
C15-S,11.453445267935876,1.9661088353979115,0.4930498057499111,1,False,C15,S
C16-L,-3.354644989505914,2.2364899186445153,0.49828137395924127,2,False,C16,L
C16-M,-6.180086507409385,2.110616255305572,0.359184527237953,1,False,C16,M
C16-S,-3.2115367176156724,1.9625001438579524,0.49767062344841545,1,False,C16,S
C17-L,-4.780409175430009,2.3651492767922666,0.3756647384858925,2,False,C17,L
C17-M,4.790583244089532,2.2870164405356492,0.38805599780864003,1,False,C17,M
C17-S,33.19700151336974,2.108346109056143,0.4748764385459027,1,False,C17,S
C18-L,-1.9409737158595988,2.3452591032304384,0.3825439349595717,1,False,C18,L
C18-M,25.62144651997596,2.6918017687903766,0.36999963771918776,2,True,C18,M
C18-S,24.345990982687,1.9906234037707702,0.4162924113506919,1,False,C18,S
C19-L,-11.066566862584807,2.022785440264842,0.34941670219342086,1,False,C19,L
C19-M,0.7288448953379998,2.4994924718327165,0.46580753013105125,2,True,C19,M
C19-S,61.355312276167524,2.3263243142431387,0.38065106475952115,1,False,C19,S
C20-L,-9.317770135892545,1.8499745357588013,0.3889386378362352,1,False,C20,L
C20-M,24.241631810954743,2.79331689389341,0.31868863934600244,2,True,C20,M
C20-S,41.05686717034473,2.0652679050465865,0.3969568858394299,1,False,C20,S
