sample_id,precursor,combo,sec_hmaxima_rel,bin_method,sec_min_diam_um,n_sec,D_sec,circularity,convexity,aspect_ratio,solid_frac,area_weighted_solidity
C01-L,L,h0.12_otsu_d1.0,0.12,otsu,1.0,1013,6.329340528199906,0.585219062774084,0.8573643410852713,1.4785192555308655,0.5022418478260869,0.8287753702485765
C01-M,M,h0.12_otsu_d1.0,0.12,otsu,1.0,1336,4.959975661550068,0.601292704752837,0.848176178874432,1.4538418009552947,0.485321369263285,0.798998883456488
C01-S,S,h0.12_otsu_d1.0,0.12,otsu,1.0,3308,3.737275577183397,0.7598924313050208,0.8923416767634977,1.3910728372683256,0.4931385869565217,0.8329745590223897
C02-L,L,h0.12_otsu_d1.0,0.12,otsu,1.0,0,,,,,,
C02-M,M,h0.12_otsu_d1.0,0.12,otsu,1.0,0,,,,,,
C02-S,S,h0.12_otsu_d1.0,0.12,otsu,1.0,0,,,,,,
C03-L,L,h0.12_otsu_d1.0,0.12,otsu,1.0,977,6.399169881241846,0.6342474708874998,0.8832487309644671,1.4555747241254207,0.5106421724033816,0.8691341024746421
C03-M,M,h0.12_otsu_d1.0,0.12,otsu,1.0,1189,5.114372902464696,0.6088840213261386,0.8611024602927437,1.4396675638690324,0.4895842768719807,0.8225937593972558
C03-S,S,h0.12_otsu_d1.0,0.12,otsu,1.0,3109,3.8953163419296644,0.7176872052024923,0.875,1.4077571077716684,0.5150989772041062,0.8191936588802264
C04-L,L,h0.12_otsu_d1.0,0.12,otsu,1.0,856,6.881962759591493,0.6232690015101336,0.8751095338240449,1.4342040387962183,0.50851921044686,0.8559336403038357
C04-M,M,h0.12_otsu_d1.0,0.12,otsu,1.0,1277,5.297304247100458,0.5746212972938971,0.8437499999999999,1.4802580226971733,0.5012799101751207,0.7976354303172001
C04-S,S,h0.12_otsu_d1.0,0.12,otsu,1.0,2920,3.9679813550430554,0.7104128367489826,0.8760530973451327,1.4274978749284526,0.5045261548913044,0.8185959668246866
C05-L,L,h0.12_otsu_d1.0,0.12,otsu,1.0,0,,,,,,
C05-M,M,h0.12_otsu_d1.0,0.12,otsu,1.0,0,,,,,,
C05-S,S,h0.12_otsu_d1.0,0.12,otsu,1.0,0,,,,,,
C06-L,L,h0.12_otsu_d1.0,0.12,otsu,1.0,0,,,,,,
C06-M,M,h0.12_otsu_d1.0,0.12,otsu,1.0,0,,,,,,
C06-S,S,h0.12_otsu_d1.0,0.12,otsu,1.0,0,,,,,,
C07-L,L,h0.12_otsu_d1.0,0.12,otsu,1.0,983,6.364350975979666,0.5403057447631457,0.8389803162310423,1.4941758300053978,0.5108205012077295,0.8151307617404817
