sample_id,D_f,solidity,elongation,roughness,n_particles,precursor,Theta,T_C,compaction_density,circularity
C01-L,1.056449735789454,0.799118619170033,0.338525908914247,1.2325428423221154,423,L,4.174725607225732,850.0,3.41,0.4735943529558359
C01-M,1.059123329252159,0.7295476260373166,0.382320090569814,1.3021203993896178,396,M,4.174725607225732,850.0,3.42,0.3856150652261728
C01-S,1.0544824809585394,0.7709032984801283,0.4406598590389983,1.1612100952303597,674,S,4.174725607225732,850.0,3.11,0.718903736468451
C02-L,1.0571991757807329,0.7971204820334579,0.36921013414607545,1.2437900816158751,414,L,6.181622071984794,850.0,3.38,0.4398095588506672
C02-M,1.0631110022250057,0.7361079032947312,0.38520474971515395,1.3352637196100745,364,M,6.181622071984794,850.0,3.43,0.3462200452749027
C02-S,1.056786040562037,0.7634232466262343,0.4401607476247621,1.183664438554989,792,S,6.181622071984794,850.0,3.07,0.6600504103784588
C03-L,1.0497081083393578,0.85341748956696,0.31113194933070304,1.1515161579666104,422,L,8.188518536743857,850.0,3.46,0.5782163715153235
C03-M,1.0579692599098125,0.7785736530675802,0.3280978789202613,1.274919405097546,349,M,8.188518536743857,850.0,3.48,0.4050851886639898
C03-S,1.0570594417810772,0.7627906976744186,0.4407367202340452,1.1826783658696562,739,S,8.188518536743857,850.0,3.2,0.6846060850013922
C04-L,1.0518897974216648,0.8370654321245845,0.3045698132253659,1.1832824151408083,390,L,4.078166000601167,850.0,3.4,0.5309670970352959
C04-M,1.058761828441276,0.7468016397591246,0.3777580005783503,1.3279397290068329,386,M,4.078166000601167,850.0,3.455,0.3752497956842075
C04-S,1.0566068001516862,0.7633410672853829,0.4468708668875162,1.1806015780334682,741,S,4.078166000601167,850.0,3.11,0.6653953032174571
C05-L,1.0566678536671628,0.8050430842643559,0.35431855738186535,1.2201211595443286,456,L,6.085062465360228,850.0,3.36,0.4796625454940836
C05-M,1.0619464218792312,0.7276435902578354,0.3847205257994476,1.342248560603685,376,M,6.085062465360228,850.0,3.45,0.3413827270468627
C05-S,1.0570639687761472,0.769314435695538,0.4428211910629134,1.1639407413994907,666,S,6.085062465360228,850.0,3.35,0.7189860447394287
C06-L,1.0556982361470757,0.8109992905942742,0.3445106654339546,1.2199779270226783,410,L,8.091958930119292,850.0,3.47,0.4819705492755332
C06-M,1.0577262644712357,0.7350538187886311,0.3639783261853703,1.3330275778488687,368,M,8.091958930119292,850.0,3.51,0.3505673312117298
C06-S,1.0578972208202588,0.75192150030744,0.423529786754348,1.2048798170919763,808,S,8.091958930119292,850.0,3.2,0.5858451899641998
C07-L,1.059477786161032,0.7773148604856948,0.3558732280222987,1.2671561996793388,422,L,4.054026098945026,850.0,3.4,0.42299084584042
C07-M,1.064771366438745,0.7202805746923393,0.38215535396297085,1.3715916943338586,374,M,4.054026098945026,850.0,3.395,0.3315885899325831
C07-S,1.0554644759585774,0.7619760479041916,0.4281767273179816,1.1822933103132462,695,S,4.054026098945026,850.0,3.14,0.7035404000758467
C08-L,1.0595115381001796,0.7866493226021767,0.35261131478279817,1.275269367941623,406,L,6.060922563704088,850.0,3.49,0.4346442203478686
C08-M,1.0621796273818926,0.7243264349863334,0.390101661173259,1.3276160928392222,469,M,6.060922563704088,850.0,3.26,0.3716921096851193
C08-S,1.0563013257623144,0.7508532423208191,0.4555972013296449,1.1843795084592748,727,S,6.060922563704088,850.0,3.29,0.6939689557199944
C09-L,1.0526763063980686,0.8253546193769783,0.3388736335181217,1.2024853439569991,434,L,8.06781902846315,850.0,3.34,0.4860111914298262
C09-M,1.05547656108579,0.8025318472923577,0.34660812558052134,1.2614312381605246,356,M,8.06781902846315,850.0,3.4,0.4176427334040242
C09-S,1.0568817093673526,0.7490885157408023,0.45460879384608005,1.1949962425114737,706,S,8.06781902846315,850.0,3.14,0.6949377015008613
C10-L,1.0550220492240387,0.8160620850966023,0.3494963745698272,1.2087179747055443,446,L,10.435966857121558,900.0,3.38,0.4690646534716028
C10-M,1.0621244153276974,0.7375605740861321,0.3752471708846886,1.385054438056967,336,M,10.435966857121558,900.0,3.42,0.3244152633804004
C10-S,1.0575364696875702,0.7584745762711864,0.4387099925019626,1.1753789365521594,759,S,10.435966857121558,900.0,3.17,0.6829112386332447
C11-L,1.0570004457996722,0.7994167029893575,0.34055642797763463,1.2501467422838954,394,L,15.435966857121558,900.0,3.4,0.4433810900739104
C11-M,1.060323306953305,0.7359187442289935,0.4062967506315609,1.3149555879127457,393,M,15.435966857121558,900.0,3.42,0.3778060760492182
C11-S,1.056903377390955,0.7625160462130937,0.4288585479060511,1.1721713097170767,755,S,15.435966857121558,900.0,3.17,0.6762511885183883
C12-L,1.0540565026507318,0.8121290197463655,0.3320576789148332,1.2114343614691185,402,L,20.43596685712156,900.0,3.33,0.4909921450971725
C12-M,1.0602166467446932,0.7233106757297081,0.4060453511797771,1.334534766237892,447,M,20.43596685712156,900.0,3.36,0.3624917306542036
C12-S,1.057450832771852,0.7657004830917874,0.4272959823480741,1.1811006316511343,833,S,20.43596685712156,900.0,3.1,0.610513687492284
C13-L,1.0535966723839114,0.8180656775354955,0.33368682531266464,1.213789788206185,392,L,10.174386742848624,900.0,3.33,0.4771004551737191
