section,target,group,term,metric,value,ci_low,ci_high,se,n,note
anova_diagnostic,D_f,,,type_agreement,1.0,,,,81.0,Type I/II/III SS 是否一致(平衡正交设计下理论上必须一致)
anova_diagnostic,D_f,,,type_max_abs_diff,6.446018984427107e-14,,,,81.0,
anova_interaction,D_f,,precursor,SS,0.00029922747282284945,,,,81.0,
anova_interaction,D_f,,precursor,df,2.0,,,,81.0,
anova_interaction,D_f,,precursor,MS,0.00014961373641142472,,,,81.0,
anova_interaction,D_f,,precursor,F,38.978419328188096,,,,81.0,
anova_interaction,D_f,,precursor,p_parametric,8.799695656508172e-11,,,,81.0,
anova_interaction,D_f,,precursor,eta2,0.45940417038253967,,,,81.0,
anova_interaction,D_f,,precursor,omega2,0.44499566913585165,,,,81.0,
anova_interaction,D_f,,precursor,perm_p,0.0001999600079984003,,,,81.0,
anova_interaction,D_f,,T_C,SS,3.209249543090209e-05,,,,81.0,
anova_interaction,D_f,,T_C,df,2.0,,,,81.0,
anova_interaction,D_f,,T_C,MS,1.6046247715451045e-05,,,,81.0,
anova_interaction,D_f,,T_C,F,4.180480931088292,,,,81.0,
anova_interaction,D_f,,T_C,p_parametric,0.021198649354022953,,,,81.0,
anova_interaction,D_f,,T_C,eta2,0.04927163304843842,,,,81.0,
anova_interaction,D_f,,T_C,omega2,0.037265906931861055,,,,81.0,
anova_interaction,D_f,,T_C,perm_p,0.14377124575084982,,,,81.0,
anova_interaction,D_f,,beta,SS,2.6664788492780644e-06,,,,81.0,
anova_interaction,D_f,,beta,df,2.0,,,,81.0,
anova_interaction,D_f,,beta,MS,1.3332394246390322e-06,,,,81.0,
anova_interaction,D_f,,beta,F,0.34734488025582194,,,,81.0,
anova_interaction,D_f,,beta,p_parametric,0.7083227965305545,,,,81.0,
anova_interaction,D_f,,beta,eta2,0.004093847038972941,,,,81.0,
anova_interaction,D_f,,beta,omega2,0.0,,,,81.0,
anova_interaction,D_f,,beta,perm_p,0.854629074185163,,,,81.0,
anova_interaction,D_f,,t_hold,SS,5.039104473780753e-05,,,,81.0,
anova_interaction,D_f,,t_hold,df,2.0,,,,81.0,
anova_interaction,D_f,,t_hold,MS,2.5195522368903767e-05,,,,81.0,
anova_interaction,D_f,,t_hold,F,6.5641140956953,,,,81.0,
anova_interaction,D_f,,t_hold,p_parametric,0.003019856511532067,,,,81.0,
anova_interaction,D_f,,t_hold,eta2,0.07736540994745905,,,,81.0,
anova_interaction,D_f,,t_hold,omega2,0.06519509550320932,,,,81.0,
anova_interaction,D_f,,t_hold,perm_p,0.03979204159168166,,,,81.0,
anova_interaction,D_f,,precursor:T_C,SS,2.367362583299837e-05,,,,81.0,
anova_interaction,D_f,,precursor:T_C,df,4.0,,,,81.0,
anova_interaction,D_f,,precursor:T_C,MS,5.918406458249592e-06,,,,81.0,
anova_interaction,D_f,,precursor:T_C,F,1.5419047356048339,,,,81.0,
anova_interaction,D_f,,precursor:T_C,p_parametric,0.2051430204188936,,,,81.0,
anova_interaction,D_f,,precursor:T_C,eta2,0.03634613604544932,,,,81.0,
anova_interaction,D_f,,precursor:T_C,omega2,0.012699067770278608,,,,81.0,
anova_interaction,D_f,,precursor:T_C,perm_p,0.5840831833633273,,,,81.0,
anova_interaction,D_f,,precursor:beta,SS,8.661645452434641e-06,,,,81.0,
anova_interaction,D_f,,precursor:beta,df,4.0,,,,81.0,
anova_interaction,D_f,,precursor:beta,MS,2.1654113631086602e-06,,,,81.0,
anova_interaction,D_f,,precursor:beta,F,0.5641481467795727,,,,81.0,
anova_interaction,D_f,,precursor:beta,p_parametric,0.6898041778209189,,,,81.0,
anova_interaction,D_f,,precursor:beta,eta2,0.013298230960160608,,,,81.0,
anova_interaction,D_f,,precursor:beta,omega2,0.0,,,,81.0,
anova_interaction,D_f,,precursor:beta,perm_p,0.9080183963207359,,,,81.0,
anova_interaction,D_f,,precursor:t_hold,SS,1.5018614746509229e-05,,,,81.0,
anova_interaction,D_f,,precursor:t_hold,df,4.0,,,,81.0,
anova_interaction,D_f,,precursor:t_hold,MS,3.7546536866273073e-06,,,,81.0,
anova_interaction,D_f,,precursor:t_hold,F,0.9781886967051976,,,,81.0,
anova_interaction,D_f,,precursor:t_hold,p_parametric,0.4283034118780725,,,,81.0,
anova_interaction,D_f,,precursor:t_hold,eta2,0.023058090832454418,,,,81.0,
anova_interaction,D_f,,precursor:t_hold,omega2,0.0,,,,81.0,
anova_interaction,D_f,,precursor:t_hold,perm_p,0.7756448710257948,,,,81.0,
anova_interaction,D_f,,T_C:beta,SS,1.4129080312841324e-05,,,,81.0,
anova_interaction,D_f,,T_C:beta,df,4.0,,,,81.0,
