sample_id,condition_id,precursor,T_C,beta,t_hold,Theta,sieved,compaction_density,D_sec,circularity,convexity,residual_precursor_adj_full27,residual_precursor_adj_unsieved22
C01-S,C01,S,850.0,2.0,10.0,4.174725607225732,True,3.11,3.870791546133164,0.718903736468451,0.8789200509925332,-0.05833333333333357,
C01-M,C01,M,850.0,2.0,10.0,4.174725607225732,True,3.42,8.849368497770836,0.3856150652261728,0.7706615357311535,0.030740740740740513,
C01-L,C01,L,850.0,2.0,10.0,4.174725607225732,True,3.41,9.213178512111671,0.4735943529558359,0.8287671232876712,0.014629629629629992,
C02-S,C02,S,850.0,2.0,15.0,6.181622071984794,False,3.07,4.208679785659095,0.6600504103784588,0.8571428571428571,-0.0983333333333336,-0.10681818181818192
C02-M,C02,M,850.0,2.0,15.0,6.181622071984794,False,3.43,9.647374794205136,0.3462200452749027,0.7567397010168609,0.040740740740740744,0.03909090909090951
C02-L,C02,L,850.0,2.0,15.0,6.181622071984794,False,3.38,9.77164328274587,0.4398095588506672,0.8154944770741188,-0.015370370370370257,-0.018636363636363562
C03-S,C03,S,850.0,2.0,20.0,8.188518536743857,False,3.2,4.08621916744697,0.6846060850013922,0.8631578947368421,0.03166666666666673,0.023181818181818414
C03-M,C03,M,850.0,2.0,20.0,8.188518536743857,False,3.48,10.295226328041476,0.4050851886639898,0.7950938554963686,0.09074074074074057,0.08909090909090933
C03-L,C03,L,850.0,2.0,20.0,8.188518536743857,False,3.46,9.4697353194502,0.5782163715153235,0.8666440983976529,0.06462962962962981,0.06136363636363651
C04-S,C04,S,850.0,5.0,10.0,4.078166000601167,True,3.11,4.140241406965356,0.6653953032174571,0.8598130841121495,-0.05833333333333357,
C04-M,C04,M,850.0,5.0,10.0,4.078166000601167,True,3.455,9.387252839225006,0.3752497956842075,0.7689573459715641,0.06574074074074066,
C04-L,C04,L,850.0,5.0,10.0,4.078166000601167,True,3.4,10.238051716608435,0.5309670970352959,0.8574332909783989,0.004629629629629761,
