sample_id,condition_id,precursor,Theta,T_C,D_XRD,lattice_a,lattice_c,zero_shift,two_theta_offset_applied
C01-S,C01,S,4.174725607225732,850.0,46.93374761102706,2.981612802102768,16.00651927426297,-0.0646176396350504,0.0200000000000013
C01-M,C01,M,4.174725607225732,850.0,42.86950230591994,2.982037700668647,16.010872807425926,-0.0624761426992545,0.0200000000000013
C01-L,C01,L,4.174725607225732,850.0,42.42732360509935,2.981944182792096,16.00734556636044,-0.0639155990531829,0.0200000000000013
C03-S,C03,S,8.188518536743857,850.0,55.82958825986819,2.985062201702867,15.98447411146913,-0.0697670171074548,0.0100000000000013
C03-M,C03,M,8.188518536743857,850.0,47.37712878670997,2.98560910785683,15.98822036621851,-0.0758807410891335,0.0300000000000013
C03-L,C03,L,8.188518536743857,850.0,48.656997723471896,2.985411821234472,15.98558984864935,-0.0733624016774761,0.0300000000000013
C04-S,C04,S,4.078166000601167,850.0,54.74795312869979,2.982594840414987,16.003281471231386,-0.0700312587182603,0.0200000000000013
C04-M,C04,M,4.078166000601167,850.0,48.76822425576293,2.98268751680092,16.000195784749096,-0.072663179899443,0.0200000000000013
C04-L,C04,L,4.078166000601167,850.0,46.06812125681388,2.982479143476924,16.002060528217502,-0.076059444512745,0.0200000000000013
C07-S,C07,S,4.054026098945026,850.0,51.258439299854565,2.982580001681569,16.005652001454493,-0.0659223697226721,0.0200000000000013
C07-M,C07,M,4.054026098945026,850.0,44.62646785790687,2.9814085527399565,16.01256289315128,-0.0547798630711506,1.3322676295501878e-15
C07-L,C07,L,4.054026098945026,850.0,46.19371591044056,2.9827097515826027,16.008186158157077,-0.059348840751425,0.0200000000000013
C09-S,C09,S,8.06781902846315,850.0,55.50452587369766,2.9829503257112107,16.00162551179185,-0.0742958594651831,0.0600000000000013
C09-M,C09,M,8.06781902846315,850.0,50.93858789595886,2.9827698329833168,15.998969723125454,-0.0755647540990789,0.0200000000000013
C09-L,C09,L,8.06781902846315,850.0,47.56547522436375,2.983042413919766,16.00271905451127,-0.0715896620192466,0.0200000000000013
C12-S,C12,S,20.43596685712156,900.0,63.62196732812889,2.983182039534054,15.995109665586822,-0.078451069918538,0.0400000000000013
C12-M,C12,M,20.43596685712156,900.0,55.09086566414818,2.983097936748777,15.9977548499931,-0.0742076645329288,0.0200000000000013
C12-L,C12,L,20.43596685712156,900.0,54.969167356526086,2.9835375314204384,15.998748684169229,-0.0627328593629118,0.0200000000000013
C14-S,C14,S,15.174386742848624,900.0,65.35184172332542,2.9828573721059968,15.991314571488898,-0.0890005324346303,0.0300000000000013
C14-M,C14,M,15.174386742848624,900.0,58.39167015024934,2.9823662050857567,16.00070699071443,-0.0751316695388109,0.0200000000000013
C14-L,C14,L,15.174386742848624,900.0,61.14925233381459,2.983344727264889,15.99382497124368,-0.0827944574658168,0.0400000000000013
C15-S,C15,S,20.174386742848625,900.0,69.51335331914211,2.98236455123845,15.993600214151003,-0.0872956412153753,0.0200000000000013
C15-M,C15,M,20.174386742848625,900.0,60.91744638730755,2.98253237683394,15.99828887863141,-0.0834226254445457,0.0200000000000013
C15-L,C15,L,20.174386742848625,900.0,58.93161584589137,2.9827947483959,15.997413127083677,-0.0764154859075489,0.0200000000000013
C16-S,C16,S,10.108991714280393,900.0,61.33196148001568,2.9843192297534764,15.986217406351004,-0.0688919478169717,0.0100000000000013
C16-M,C16,M,10.108991714280393,900.0,53.7190570639476,2.984582902315495,15.989416592679923,-0.0766980748151827,0.0300000000000013
C16-L,C16,L,10.108991714280393,900.0,56.17777960810484,2.985113476446922,15.987075228006042,-0.0769258192187494,0.0300000000000013
C17-S,C17,S,15.10899171428039,900.0,71.74829598452918,2.9824967265290265,15.99327305740069,-0.0724701942771247,0.0300000000000013
C17-M,C17,M,15.10899171428039,900.0,73.33313393096773,2.982245134250375,15.992205725823435,-0.0896475739049818,0.0400000000000013
C17-L,C17,L,15.10899171428039,900.0,74.97308575012147,2.982831818532896,15.988216601630386,-0.0802363975939203,0.0400000000000013
C18-S,C18,S,20.10899171428039,900.0,81.0888618858873,2.98032191854368,16.002153405167395,-0.078729174304987,0.0200000000000013
C18-M,C18,M,20.10899171428039,900.0,76.23265690898472,2.981748011667554,15.994451850695732,-0.0776595456203786,0.0200000000000013
C18-L,C18,L,20.10899171428039,900.0,79.22248543008467,2.981302839291008,15.996027442783662,-0.0878611713909209,0.0200000000000013
C19-S,C19,S,24.21446407057823,950.0,86.12093455068668,2.9799984117690346,16.006014228146594,-0.0826567624390238,0.0400000000000013
C19-M,C19,M,24.21446407057823,950.0,86.16270960671758,2.980387013157676,16.00410040322267,-0.0929887216097996,0.0300000000000013
C19-L,C19,L,24.21446407057823,950.0,88.89151542137708,2.979351256885736,16.01019982286641,-0.1026681496392266,0.0700000000000014
C21-S,C21,S,47.33688099936123,950.0,86.15213448994812,2.9822651390200514,15.99316970348477,-0.0853999926203649,0.0200000000000013
C21-M,C21,M,47.33688099936123,950.0,89.77657726288247,2.9821352676401247,15.99582530208566,-0.0770240705310198,0.0200000000000013
C21-L,C21,L,47.33688099936123,950.0,96.1417883771721,2.981559745505768,15.99257128064115,-0.0846308491156847,0.0100000000000013
C24-S,C24,S,46.68165271428408,950.0,76.31454779911329,2.9834021559876667,15.979632969133071,-0.0839680307507208,0.0100000000000013
C24-M,C24,M,46.68165271428408,950.0,74.24289184572605,2.9845703651552,15.978375362373097,-0.0837558419552515,0.0300000000000013
C24-L,C24,L,46.68165271428408,950.0,78.398811865349,2.98472893846164,15.975845982086229,-0.0803386267241428,0.0300000000000013
C25-S,C25,S,23.39542871423181,950.0,66.52566013864217,2.9842464671775013,15.98554859642026,-0.0680549225516869,0.0300000000000013
C25-M,C25,M,23.39542871423181,950.0,63.618150662800616,2.984287727428112,15.98441804520543,-0.0864451561784666,0.0300000000000013
C25-L,C25,L,23.39542871423181,950.0,64.66440026483657,2.9847844218591786,15.983764336972486,-0.0700014092668819,0.0100000000000013
C26-S,C26,S,34.956637178623296,950.0,88.73256152812583,2.981257120922022,15.989460998890934,-0.0903964546655458,0.0200000000000013
C26-M,C26,M,34.956637178623296,950.0,94.8174700032029,2.982023022874905,15.984687377879965,-0.0965912232483582,0.0300000000000013
C26-L,C26,L,34.956637178623296,950.0,92.21019730274314,2.982032305078609,15.98618514044149,-0.09264263859556,0.0300000000000013
C27-S,C27,S,46.5178456430148,950.0,67.17278938574142,2.984208980142135,15.984711510071438,-0.0698498000845304,0.0100000000000013
C27-M,C27,M,46.5178456430148,950.0,62.79365392084625,2.9846362453511217,15.988059947072118,-0.0746429232274276,0.0300000000000013
C27-L,C27,L,46.5178456430148,950.0,67.33347971423304,2.9841181834764434,15.983113562532576,-0.0740053697996691,0.0100000000000013
