sample_id,precursor,T_C,Theta,with003_a,with003_c,with003_z,without003_a,without003_c,without003_z
C01-L,L,850.0,4.174725607225732,2.981944182261086,16.007345563006826,-0.06391561116079422,2.9821665750060777,16.00863596329176,-0.05926966861402894
C01-M,M,850.0,4.174725607225732,2.982037700668647,16.010872807425926,-0.06247614269925453,2.9822648467485817,16.01219140441892,-0.05773118506367397
C01-S,S,850.0,4.174725607225732,2.981612802102768,16.00651927426297,-0.06461763963505048,2.981842974499266,16.007855055545217,-0.05980789746549708
C03-L,L,850.0,8.188518536743857,2.9854118214787624,15.985589850795444,-0.07336239571213889,2.985518200734361,15.986203241795996,-0.0711460869637039
C03-M,M,850.0,8.188518536743857,2.9856091092187653,15.988220378589034,-0.07588070953915604,2.9857840103015914,15.989227988233713,-0.0722382284860131
C03-S,S,850.0,8.188518536743857,2.9850622006260465,15.984474106482658,-0.06976703715543925,2.9851537478627077,15.985002478823219,-0.06785891397893294
C04-L,L,850.0,4.078166000601167,2.9824791449704353,16.00206053807628,-0.07605941646570176,2.982637989535752,16.002980130531707,-0.07274297421479602
C04-M,M,850.0,4.078166000601167,2.9826875162039848,16.000195781316293,-0.07266319310311083,2.9828293927902427,16.001017323122685,-0.06970112144641541
C04-S,S,850.0,4.078166000601167,2.982594840414987,16.003281471231386,-0.07003125871826038,2.9827807215603728,16.004358491440993,-0.0661501848451409
C07-L,L,850.0,4.054026098945026,2.9827097517979526,16.008186159338585,-0.05934883744418654,2.982927207923709,16.009447612537386,-0.054808503708062235
C07-M,M,850.0,4.054026098945026,2.9814085527399565,16.01256289315128,-0.054779863071150646,2.9816525394987217,16.014042473745683,-0.04963753978445433
C07-S,S,850.0,4.054026098945026,2.982580001789525,16.005652002525252,-0.06592236664328731,2.9827801975076884,16.00681270149718,-0.061742163997778675
C09-L,L,850.0,8.06781902846315,2.9830424137783744,16.002719053855625,-0.07158966308471251,2.983261924548619,16.00398986516592,-0.06700845056169344
C09-M,M,850.0,8.06781902846315,2.9827698326320635,15.998969721784887,-0.07556475989944436,2.9829385208671497,15.999945793748031,-0.0720435151559802
C09-S,S,850.0,8.06781902846315,2.9829503257112107,16.00162551179185,-0.07429585946518316,2.983175105285977,16.00292633091212,-0.06960458654340948
C12-L,L,900.0,20.43596685712156,2.9835375314204384,15.998748684169229,-0.06273285936291187,2.983737753409247,15.999907934958946,-0.058554975982490834
C12-M,M,900.0,20.43596685712156,2.9830979367487775,15.9977548499931,-0.07420766453292883,2.9832569666328483,15.998674846439066,-0.07088871938356248
C12-S,S,900.0,20.43596685712156,2.983182039534054,15.995109665586822,-0.07845106991853801,2.9833177441511087,15.995893941391929,-0.07561935272341877
C14-L,L,900.0,15.174386742848624,2.983344727264889,15.99382497124368,-0.08279445746581685,2.983416259226497,15.994238041325982,-0.08130206042020786
C14-M,M,900.0,15.174386742848624,2.9823662050857567,16.00070699071443,-0.07513166953881094,2.982488689453651,16.001416313830017,-0.07257390079427012
C14-S,S,900.0,15.174386742848624,2.9828573721059968,15.991314571488898,-0.08900053243463034,2.98292111341581,15.991682135192937,-0.08767048067391732
C15-L,L,900.0,20.174386742848625,2.9827947483959,15.997413127083675,-0.07641548590754894,2.982901257226792,15.998029376250148,-0.07419209120848676
C15-M,M,900.0,20.174386742848625,2.9825323761303912,15.998288874109978,-0.0834226394047216,2.982631326625555,15.99886074237546,-0.08135712812954168
C15-S,S,900.0,20.174386742848625,2.9823645505251806,15.993600209887019,-0.08729565426002815,2.9824175233804975,15.99390619950747,-0.08618967664216612
C16-L,L,900.0,10.108991714280393,2.9851134771720753,15.987075229737647,-0.07692580928941245,2.9852381265611623,15.987793717457508,-0.07432864670609471
C16-M,M,900.0,10.108991714280393,2.984582902538774,15.989416596042016,-0.07669806826803269,2.9847584397466687,15.990429103105384,-0.0730392451767415
C16-S,S,900.0,10.108991714280393,2.9843192309330524,15.986217414231852,-0.06889192476799741,2.984457150511064,15.987014033820442,-0.06601569586507927
C17-L,L,900.0,15.10899171428039,2.98283181946191,15.988216608702153,-0.0802363771444276,2.98296509759778,15.98898642582324,-0.07745448168052388
C17-M,M,900.0,15.10899171428039,2.982245134250375,15.992205725823437,-0.08964757390498182,2.9822957078093566,15.992497638746382,-0.08859169919675877
C17-S,S,900.0,15.10899171428039,2.982496727305253,15.9932730630116,-0.07247017592654563,2.9826313247372824,15.994052134002066,-0.06965942401523391
C18-L,L,900.0,20.10899171428039,2.9813028392910073,15.996027442783662,-0.08786117139092096,2.981389157843743,15.996526413856335,-0.08605775227613571
C18-M,M,900.0,20.10899171428039,2.981748012023077,15.994451854595463,-0.0776595371420653,2.9818839124069276,15.995238542507478,-0.07482029689776717
C18-S,S,900.0,20.10899171428039,2.9803219185436802,16.002153405167395,-0.07872917430498702,2.9803977032907714,16.002593125324456,-0.07714402886017677
C19-L,L,950.0,24.21446407057823,2.979351255977182,16.01019981949016,-0.10266816142439925,2.979410845711062,16.010542414893038,-0.10142320702385471
C19-M,M,950.0,24.21446407057823,2.980387013157676,16.00410040322267,-0.09298872160979965,2.980501930627307,16.004764389360098,-0.09058715047932776
C19-S,S,950.0,24.21446407057823,2.9799984105797157,16.006014216951474,-0.08265679186545258,2.980076685247609,16.006468350280084,-0.08101941399240073
C21-L,L,950.0,47.33688099936123,2.9815597476531233,15.992571291587211,-0.08463080922171617,2.981613858646555,15.992884342881975,-0.08350017225593344
C21-M,M,950.0,47.33688099936123,2.982135267231423,15.995825300246509,-0.07702407795493613,2.9822552883956446,15.996519962267394,-0.07451735263600343
C21-S,S,950.0,47.33688099936123,2.9822651390200514,15.99316970348477,-0.0853999926203649,2.982383800582662,15.993854993199681,-0.08292266384888612
C24-L,L,950.0,46.68165271428408,2.9847289381620254,15.975845982812327,-0.08033863197730884,2.9847560901182093,15.97600280743379,-0.07977230896365693
C24-M,M,950.0,46.68165271428408,2.9845703652937865,15.978375362489132,-0.0837558403835066,2.9846088041347496,15.978597008184327,-0.082954334471947
C24-S,S,950.0,46.68165271428408,2.9834021559876667,15.979632969133071,-0.08396803075072085,2.983430483457043,15.979796697066401,-0.08337667521870165
C25-L,L,950.0,23.39542871423181,2.9847844218591786,15.983764336972486,-0.07000140926688196,2.9848092919720126,15.983908211803639,-0.06948267677652804
C25-M,M,950.0,23.39542871423181,2.984287727428112,15.98441804520543,-0.08644515617846664,2.984300229577482,15.984490583667842,-0.08618408012547187
C25-S,S,950.0,23.39542871423181,2.9842464664937007,15.985548592606314,-0.06805493614878817,2.9844053257579803,15.986466141702307,-0.06474187242870377
C26-L,L,950.0,34.956637178623296,2.9820323046937003,15.986185140861423,-0.09264264312030157,2.982040625157912,15.986233492363015,-0.0924685702198759
C26-M,M,950.0,34.956637178623296,2.982023022874905,15.984687377879965,-0.0965912232483582,2.9819778641139303,15.984428377434755,-0.09753307114003276
C26-S,S,950.0,34.956637178623296,2.981257121205446,15.98946099931602,-0.09039645105927699,2.981277898107425,15.989581245945587,-0.08996210845306418
