sample_id,condition_id,precursor,T_C,beta,t_hold,precursor_D50,bimodal,blend_ratio,D10,D50,D90,Span,D10_selfcalc,D50_selfcalc,D90_selfcalc,Span_selfcalc,D_value_source,B_bimodal,peak1_um,peak2_um,w_small,separation,bimodal_r2,note,n_modes,mode_positions_um,D_sec,aspect_ratio,circularity,convexity,D_pri_sem,n_sec,n_pri,D_pri_sem_classic,n_pri_classic,primary_segmentable,acf_scale_um,edge_density,xrd_instrument,two_theta_offset_applied,zero_offset_hits,hydrate_index,resolution_ratio,D_XRD_reliable,D_XRD,D_XRD_003,D_XRD_104,D_XRD_n_peaks,D_XRD_WH,microstrain_WH,wh_r2,wh_n_peaks,lattice_a,lattice_c,c_a_ratio,zero_shift,compaction_density,hier_size_ratio,T_K,inv_T_K,Theta,t_eff,M_D,M_D_agg,M_B,dRho_M,M_B_note
C01-S,C01,S,850.0,2.0,10.0,3.67,0,1.0,0.306,1.85,3.41,1.678,0.2690066225165563,1.6296875,3.0046153846153847,1.678609403397172,instrument,0.491275481831771,0.7574038724993647,1.8446436045444012,0.3682979392548196,0.6669538836217397,0.999053470187066,ok,2.0,"[0.276, 1.88]",3.870791546133164,1.418786393352632,0.718903736468451,0.8789200509925332,,2980,0,,0,False,0.2754,0.1341,1,0.0200000000000013,5,0.0,2.4678941987149843,True,46.93374761102706,43.797821402893966,50.06967381916016,2,51.84689957686875,0.0001521449945122,0.0526966645023645,7,2.981612802102768,16.00651927426297,5.368409762318719,-0.0646176396350504,3.11,,1123.15,0.0008903530249744023,4.174725607225732,10.394728092494002,0.1065292096219931,0.6119572698715358,,,
C01-M,C01,M,850.0,2.0,10.0,9.7,1,0.3,0.351,2.32,6.65,2.713,0.3091238938053097,2.0494373401534527,5.867211895910783,2.712006799724508,instrument,0.7190208445859952,0.2348746224370348,2.3571796981138124,0.1054531713776464,3.409194978172135,0.9993583353771122,ok,2.0,"[0.276, 1.88]",8.849368497770836,1.5789289469363923,0.3856150652261728,0.7706615357311535,,488,0,,0,False,0.1786,0.1498,1,0.0200000000000013,5,0.0,2.6710225503313136,True,42.86950230591994,40.12887982408729,45.6101247877526,2,49.81581210096181,0.0004462879572551,0.2983989515960615,7,2.982037700668647,16.010872807425926,5.369104758077301,-0.0624761426992545,3.42,,1123.15,0.0008903530249744023,4.174725607225732,10.394728092494002,0.1065292096219931,0.6119572698715358,0.4444353514188729,0.10000000000000009,computed
C01-L,C01,L,850.0,2.0,10.0,12.4,0,0.0,1.13,2.78,5.99,1.75,0.9961801242236024,2.4443571428571427,5.276685082872929,1.7511782069808175,instrument,0.7202276175266668,0.2295787433596152,2.64940284797638,0.0846127398165946,4.256023496507864,0.9998923778740632,ok,2.0,"[0.276, 2.42]",9.213178512111671,1.469620066497575,0.4735943529558359,0.8287671232876712,,501,0,,0,False,0.201,0.1409,1,0.0200000000000013,5,0.6670406471423571,2.707553312063746,True,42.42732360509935,39.95663392437353,44.898013285825165,2,54.88541111911412,0.0009385798878776,0.5413646730205512,7,2.981944182792096,16.00734556636044,5.3680902743699965,-0.0639155990531829,3.41,,1123.15,0.0008903530249744023,4.174725607225732,10.394728092494002,0.1065292096219931,0.6119572698715358,,,
C02-S,C02,S,850.0,2.0,15.0,3.67,0,1.0,,,,,,,,,,,,,,,,,,,4.208679785659095,1.437727583678147,0.6600504103784588,0.8571428571428571,,2609,0,,0,False,0.2456,0.1357,2,0.2700000000000015,5,1.3335217617633186,2.7627294385716725,True,34.395758798976914,30.347044448292696,38.444473149661135,2,30.371158284730296,0.0,0.3888892952466337,7,2.980643518968187,15.994942333157184,5.366271488478493,-0.0822755261952338,3.07,,1123.15,0.0008903530249744023,6.181622071984794,15.394728092494002,,0.637223768280272,,,
C02-M,C02,M,850.0,2.0,15.0,9.7,1,0.3,,,,,,,,,,,,,,,,,,,9.647374794205136,1.5767243068634595,0.3462200452749027,0.7567397010168609,,414,0,,0,False,0.1414,0.1534,2,0.1200000000000014,5,9.843853095454476,2.8005071363052063,True,33.84403450150018,30.66820678800344,37.01986221499692,2,30.563850055035456,0.0001710355023973,0.0216070611862843,7,2.9807505731744683,16.00984802450809,5.371079408183346,-0.0723450990352266,3.43,,1123.15,0.0008903530249744023,6.181622071984794,15.394728092494002,,0.637223768280272,,0.14300000000000068,no_data
C02-L,C02,L,850.0,2.0,15.0,12.4,0,0.0,,,,,,,,,,,,,,,,,,,9.77164328274587,1.5451075464132318,0.4398095588506672,0.8154944770741188,,468,0,,0,False,0.1563,0.1494,2,0.0500000000000013,5,0.0,2.079357824627938,True,42.14562865430021,44.02225471985553,40.26900258874489,2,54.72218693736336,0.0007141920051285,0.497166171899403,7,2.982030102088882,15.986408743947171,5.360914610737448,-0.0874072942244657,3.38,,1123.15,0.0008903530249744023,6.181622071984794,15.394728092494002,,0.637223768280272,,,
C03-S,C03,S,850.0,2.0,20.0,3.67,0,1.0,0.824,1.76,3.63,1.594,0.7266676217765043,1.5497690531177828,3.190597014925373,1.5898687537939946,instrument,,1.65,,,,,unimodal_by_modecount,1.0,[1.65],4.08621916744697,1.4325807484540871,0.6846060850013922,0.8631578947368421,,2809,0,,0,False,0.2605,0.1333,1,0.0100000000000013,5,0.1756928372444598,2.119580491591105,True,55.82958825986819,51.21793905023089,60.441237469505495,2,65.50239343880577,0.0002849418331416,0.1455755130922386,7,2.985062201702867,15.98447411146913,5.354821116407752,-0.0697670171074548,3.2,,1123.15,0.0008903530249744023,8.188518536743857,20.394728092494002,0.06987399770904926,0.6166685168388579,,,
C03-M,C03,M,850.0,2.0,20.0,9.7,1,0.3,1.05,2.68,5.8,1.773,0.9231661237785016,2.3597350069735006,5.107142857142856,1.773070586739547,instrument,,2.75,,,,,unimodal_by_modecount,1.0,[2.75],10.295226328041476,1.468115734489466,0.4050851886639898,0.7950938554963686,,386,0,,0,False,0.2307,0.1365,1,0.0300000000000013,5,0.0,2.400975088414886,True,47.37712878670997,43.00895406403072,51.74530350938922,2,48.37332533515748,1.601614590082534e-05,0.0005656786438755,7,2.98560910785683,15.98822036621851,5.355094986863632,-0.0758807410891335,3.48,,1123.15,0.0008903530249744023,8.188518536743857,20.394728092494002,0.06987399770904926,0.6166685168388579,0.0,0.09800000000000031,erased_endpoint
C03-L,C03,L,850.0,2.0,20.0,12.4,0,0.0,0.994,2.37,4.88,1.637,0.8750687679083096,2.0920051085568327,4.301590909090908,1.6379128937913443,instrument,,2.42,,,,,unimodal_by_modecount,1.0,[2.42],9.4697353194502,1.4274911287789949,0.5782163715153235,0.8666440983976529,,492,0,,0,False,0.1563,0.1507,1,0.0300000000000013,5,0.1100400176348875,2.417440522328299,True,48.656997723471896,46.10310376567544,51.21089168126836,2,60.31491368195304,0.0003223909826741,0.1876501034490214,7,2.985411821234472,15.98558984864935,5.354567746716863,-0.0733624016774761,3.46,,1123.15,0.0008903530249744023,8.188518536743857,20.394728092494002,0.06987399770904926,0.6166685168388579,,,
C04-S,C04,S,850.0,5.0,10.0,3.67,0,1.0,0.286,1.55,2.6,1.496,0.25191,1.3636141304347826,2.2927914110429453,1.4966707703389803,instrument,1.8513893298598296,0.2558369047642705,1.5451515470615085,0.2148996986205482,4.307566138398493,0.9999689204296378,ok,2.0,"[0.276, 1.65]",4.140241406965356,1.4563774520471566,0.6653953032174571,0.8598130841121495,,2559,0,,0,False,0.2977,0.1282,1,0.0200000000000013,5,0.0,2.169689460934754,True,54.74795312869979,50.83004256330493,58.66586369409466,2,68.36810574083444,0.0004346137791093,0.2631516466819151,7,2.982594840414987,16.003281471231386,5.365556613450303,-0.0700312587182603,3.11,,1123.15,0.0008903530249744023,4.078166000601167,10.157891236997601,0.16036655211912945,0.6984891534528155,,,
