sample_id,condition_id,precursor,furnace_run,T_C,beta,t_hold,precursor_D50,bimodal,blend_ratio
C01-S,C01,S,1,850.0,2.0,10.0,3.0,0,1.0
C01-M,C01,M,1,850.0,2.0,10.0,8.6,1,0.3
C01-L,C01,L,1,850.0,2.0,10.0,11.0,0,0.0
C02-S,C02,S,2,850.0,2.0,15.0,3.0,0,1.0
C02-M,C02,M,2,850.0,2.0,15.0,8.6,1,0.3
C02-L,C02,L,2,850.0,2.0,15.0,11.0,0,0.0
C03-S,C03,S,3,850.0,2.0,20.0,3.0,0,1.0
C03-M,C03,M,3,850.0,2.0,20.0,8.6,1,0.3
C03-L,C03,L,3,850.0,2.0,20.0,11.0,0,0.0
C04-S,C04,S,4,850.0,5.0,10.0,3.0,0,1.0
C04-M,C04,M,4,850.0,5.0,10.0,8.6,1,0.3
C04-L,C04,L,4,850.0,5.0,10.0,11.0,0,0.0
C05-S,C05,S,5,850.0,5.0,15.0,3.0,0,1.0
C05-M,C05,M,5,850.0,5.0,15.0,8.6,1,0.3
C05-L,C05,L,5,850.0,5.0,15.0,11.0,0,0.0
C06-S,C06,S,6,850.0,5.0,20.0,3.0,0,1.0
C06-M,C06,M,6,850.0,5.0,20.0,8.6,1,0.3
C06-L,C06,L,6,850.0,5.0,20.0,11.0,0,0.0
C07-S,C07,S,7,850.0,8.0,10.0,3.0,0,1.0
C07-M,C07,M,7,850.0,8.0,10.0,8.6,1,0.3
C07-L,C07,L,7,850.0,8.0,10.0,11.0,0,0.0
C08-S,C08,S,8,850.0,8.0,15.0,3.0,0,1.0
C08-M,C08,M,8,850.0,8.0,15.0,8.6,1,0.3
C08-L,C08,L,8,850.0,8.0,15.0,11.0,0,0.0
C09-S,C09,S,9,850.0,8.0,20.0,3.0,0,1.0
C09-M,C09,M,9,850.0,8.0,20.0,8.6,1,0.3
C09-L,C09,L,9,850.0,8.0,20.0,11.0,0,0.0
C10-S,C10,S,10,900.0,2.0,10.0,3.0,0,1.0
C10-M,C10,M,10,900.0,2.0,10.0,8.6,1,0.3
C10-L,C10,L,10,900.0,2.0,10.0,11.0,0,0.0
C11-S,C11,S,11,900.0,2.0,15.0,3.0,0,1.0
C11-M,C11,M,11,900.0,2.0,15.0,8.6,1,0.3
C11-L,C11,L,11,900.0,2.0,15.0,11.0,0,0.0
C12-S,C12,S,12,900.0,2.0,20.0,3.0,0,1.0
C12-M,C12,M,12,900.0,2.0,20.0,8.6,1,0.3
C12-L,C12,L,12,900.0,2.0,20.0,11.0,0,0.0
C13-S,C13,S,13,900.0,5.0,10.0,3.0,0,1.0
C13-M,C13,M,13,900.0,5.0,10.0,8.6,1,0.3
C13-L,C13,L,13,900.0,5.0,10.0,11.0,0,0.0
C14-S,C14,S,14,900.0,5.0,15.0,3.0,0,1.0
C14-M,C14,M,14,900.0,5.0,15.0,8.6,1,0.3
C14-L,C14,L,14,900.0,5.0,15.0,11.0,0,0.0
C15-S,C15,S,15,900.0,5.0,20.0,3.0,0,1.0
C15-M,C15,M,15,900.0,5.0,20.0,8.6,1,0.3
C15-L,C15,L,15,900.0,5.0,20.0,11.0,0,0.0
C16-S,C16,S,16,900.0,8.0,10.0,3.0,0,1.0
C16-M,C16,M,16,900.0,8.0,10.0,8.6,1,0.3
C16-L,C16,L,16,900.0,8.0,10.0,11.0,0,0.0
C17-S,C17,S,17,900.0,8.0,15.0,3.0,0,1.0
C17-M,C17,M,17,900.0,8.0,15.0,8.6,1,0.3
C17-L,C17,L,17,900.0,8.0,15.0,11.0,0,0.0
C18-S,C18,S,18,900.0,8.0,20.0,3.0,0,1.0
C18-M,C18,M,18,900.0,8.0,20.0,8.6,1,0.3
C18-L,C18,L,18,900.0,8.0,20.0,11.0,0,0.0
C19-S,C19,S,19,950.0,2.0,10.0,3.0,0,1.0
C19-M,C19,M,19,950.0,2.0,10.0,8.6,1,0.3
C19-L,C19,L,19,950.0,2.0,10.0,11.0,0,0.0
C20-S,C20,S,20,950.0,2.0,15.0,3.0,0,1.0
C20-M,C20,M,20,950.0,2.0,15.0,8.6,1,0.3
C20-L,C20,L,20,950.0,2.0,15.0,11.0,0,0.0
C21-S,C21,S,21,950.0,2.0,20.0,3.0,0,1.0
C21-M,C21,M,21,950.0,2.0,20.0,8.6,1,0.3
C21-L,C21,L,21,950.0,2.0,20.0,11.0,0,0.0
C22-S,C22,S,22,950.0,5.0,10.0,3.0,0,1.0
C22-M,C22,M,22,950.0,5.0,10.0,8.6,1,0.3
C22-L,C22,L,22,950.0,5.0,10.0,11.0,0,0.0
C23-S,C23,S,23,950.0,5.0,15.0,3.0,0,1.0
C23-M,C23,M,23,950.0,5.0,15.0,8.6,1,0.3
C23-L,C23,L,23,950.0,5.0,15.0,11.0,0,0.0
C24-S,C24,S,24,950.0,5.0,20.0,3.0,0,1.0
C24-M,C24,M,24,950.0,5.0,20.0,8.6,1,0.3
C24-L,C24,L,24,950.0,5.0,20.0,11.0,0,0.0
C25-S,C25,S,25,950.0,8.0,10.0,3.0,0,1.0
C25-M,C25,M,25,950.0,8.0,10.0,8.6,1,0.3
C25-L,C25,L,25,950.0,8.0,10.0,11.0,0,0.0
C26-S,C26,S,26,950.0,8.0,15.0,3.0,0,1.0
C26-M,C26,M,26,950.0,8.0,15.0,8.6,1,0.3
C26-L,C26,L,26,950.0,8.0,15.0,11.0,0,0.0
C27-S,C27,S,27,950.0,8.0,20.0,3.0,0,1.0
C27-M,C27,M,27,950.0,8.0,20.0,8.6,1,0.3
C27-L,C27,L,27,950.0,8.0,20.0,11.0,0,0.0
