Size (μm),Volume (%)
0.01,0
0.0114,0
0.0129,0
0.0147,0
0.0167,0
0.0189,0
0.0215,0
0.0244,0
0.0278,0
0.0315,0
0.0358,0
0.0407,0
0.0463,0
0.0526,0
0.0597,0
0.0679,0
0.0771,0
0.0876,0
0.0995,0
0.113,0
0.128,0
0.146,0
0.166,0
0.188,0
0.214,0
0.243,0
0.276,0
0.314,0.08
0.357,0.24
0.405,0.41
0.46,0.51
0.523,0.54
0.594,0.55
0.675,0.64
0.767,0.88
0.872,1.22
0.991,1.62
1.13,2.07
1.28,2.56
1.45,3.09
1.65,3.68
1.88,4.31
2.13,4.97
2.42,5.64
2.75,6.27
3.12,6.8
3.55,7.15
4.03,7.25
4.58,7.06
5.21,6.57
5.92,5.84
6.72,4.94
7.64,3.97
8.68,3.04
9.86,2.23
11.2,1.58
12.7,1.1
14.5,0.79
16.4,0.6
18.7,0.49
21.2,0.42
24.1,0.36
27.4,0.29
31.1,0.19
35.3,0.1
40.1,0
45.6,0
51.8,0
58.9,0
66.9,0
76,0
86.4,0
98.1,0
111,0
127,0
144,0
163,0
186,0
211,0
240,0
272,0
310,0
352,0
400,0
454,0
516,0
586,0
666,0
756,0
859,0
976,0
1110,0
1260,0
1430,0
1630,0
1850,0
2100,0
2390,0
2710,0
3080,0
3500,
