Size (μm),Volume (%)
0.01,0
0.0114,0
0.0129,0
0.0147,0
0.0167,0
0.0189,0
0.0215,0
0.0244,0
0.0278,0
0.0315,0
0.0358,0
0.0407,0
0.0463,0
0.0526,0
0.0597,0
0.0679,0
0.0771,0
0.0876,0
0.0995,0
0.113,0
0.128,0
0.146,0
0.166,0
0.188,0
0.214,0
0.243,0
0.276,0
0.314,0
0.357,0
0.405,0.08
0.46,0.1
0.523,0.12
0.594,0.22
0.675,0.52
0.767,1.07
0.872,1.84
0.991,2.78
1.13,3.82
1.28,4.92
1.45,5.98
1.65,6.92
1.88,7.67
2.13,8.17
2.42,8.37
2.75,8.25
3.12,7.84
3.55,7.15
4.03,6.26
4.58,5.22
5.21,4.13
5.92,3.07
6.72,2.11
7.64,1.32
8.68,0.72
9.86,0.33
11.2,0.1
12.7,0
14.5,0
16.4,0
18.7,0.08
21.2,0.13
24.1,0.17
27.4,0.18
31.1,0.17
35.3,0.13
40.1,0.08
45.6,0
51.8,0
58.9,0
66.9,0
76,0
86.4,0
98.1,0
111,0
127,0
144,0
163,0
186,0
211,0
240,0
272,0
310,0
352,0
400,0
454,0
516,0
586,0
666,0
756,0
859,0
976,0
1110,0
1260,0
1430,0
1630,0
1850,0
2100,0
2390,0
2710,0
3080,0
3500,
