Size (μm),Volume (%)
0.01,0
0.0114,0
0.0129,0
0.0147,0
0.0167,0
0.0189,0
0.0215,0
0.0244,0
0.0278,0
0.0315,0
0.0358,0
0.0407,0
0.0463,0
0.0526,0
0.0597,0
0.0679,0
0.0771,0
0.0876,0
0.0995,0
0.113,0
0.128,0
0.146,0
0.166,0
0.188,0
0.214,0
0.243,0
0.276,0
0.314,0
0.357,0
0.405,0
0.46,0
0.523,0
0.594,0
0.675,0
0.767,0
0.872,0
0.991,0
1.13,0.11
1.28,0.56
1.45,1.34
1.65,2.29
1.88,3.25
2.13,4.09
2.42,4.69
2.75,5.06
3.12,5.25
3.55,5.34
4.03,5.4
4.58,5.49
5.21,5.62
5.92,5.77
6.72,5.89
7.64,5.93
8.68,5.87
9.86,5.65
11.2,5.26
12.7,4.68
14.5,3.96
16.4,3.15
18.7,2.32
21.2,1.55
24.1,0.91
27.4,0.44
31.1,0.1
35.3,0
40.1,0
45.6,0
51.8,0
58.9,0
66.9,0
76,0
86.4,0
98.1,0
111,0
127,0
144,0
163,0
186,0
211,0
240,0
272,0
310,0
352,0
400,0
454,0
516,0
586,0
666,0
756,0
859,0
976,0
1110,0
1260,0
1430,0
1630,0
1850,0
2100,0
2390,0
2710,0
3080,0
3500,
