sample_id,D10,D50,D90,Span,Dv99,specific_surface_area,concentration,weighted_residual,obscuration
C01-L,1.13,2.78,5.99,1.75,9.92,3308,0.0022,1.5,13.22
C01-M,0.351,2.32,6.65,2.713,14.9,3965,0.0014,1.71,11.24
C01-S,0.306,1.85,3.41,1.678,12,4941,0.0012,2.33,11.78
C03-L,0.994,2.37,4.88,1.637,7.12,3105,0.0014,0.6,6.94
C03-M,1.05,2.68,5.8,1.773,8.86,2836,0.0014,0.6,6.27
C03-S,0.824,1.76,3.63,1.594,5.7,3878,0.001,0.94,6.41
C04-L,0.475,2.95,8.08,2.575,15.8,3257,0.0018,1.45,11.57
C04-M,0.352,2.33,6.48,2.631,14.7,3934,0.0014,1.8,10.65
C04-S,0.286,1.55,2.6,1.496,3.52,5947,0.0009,2.78,10.96
C07-L,0.385,2.74,8.48,2.95,18.7,3528,0.0016,1.52,10.92
C07-M,0.348,2.34,7.74,3.162,19.4,3974,0.0013,1.72,10.59
C07-S,0.295,1.71,2.82,1.475,3.69,5351,0.001,2.6,10.8
C09-L,1.22,3.76,8.55,1.95,16.1,2257,0.0021,0.41,7.48
C09-M,1.15,3.2,6.96,1.813,10.8,2503,0.0029,0.44,11.17
C09-S,0.886,1.93,4.27,1.751,7,3562,0.0013,0.67,7.4
C10-L,0.97,2.87,7.56,2.297,16.9,2825,0.0034,0.53,14.52
C10-M,0.923,2.24,5.21,1.907,8.7,3256,0.0048,0.59,22.6
C10-S,0.891,1.93,4.07,1.647,6.38,3582,0.003,0.73,16.19
C11-L,1.19,3,6.1,1.633,9.19,2559,0.0018,0.5,7.37
C11-M,0.988,2.46,5.64,1.888,9.05,3021,0.0014,0.61,6.79
C11-S,0.963,2.09,4.33,1.609,6.62,3322,0.0013,0.63,6.87
C12-L,1.36,3.81,9.12,2.036,23.7,2120,0.0029,0.56,9.41
C12-M,1.15,3.04,7.07,1.952,23.7,2545,0.002,0.55,7.86
C12-S,1.06,2.48,5.08,1.616,7.5,2930,0.0028,0.59,12.31
C13-L,1.22,3.04,6.25,1.654,9.51,2503,0.0022,0.47,8.45
C13-M,1.23,3.17,6.73,1.732,10.5,2424,0.002,0.45,7.45
C13-S,1.02,2.14,4.38,1.567,6.66,3183,0.0015,0.6,7.22
C14-L,0.345,2.34,6.12,2.467,11.5,4000,0.0017,1.87,12.78
C14-M,0.371,2.64,7.02,2.521,12.1,3665,0.0021,1.61,14.91
C14-S,0.297,1.77,2.95,1.495,3.99,5199,0.0011,2.65,11.02
C15-L,1.2,3.1,6.51,1.71,24.3,2500,0.0026,0.49,10.17
C15-M,1.16,3.35,7.84,1.993,14.7,2416,0.0027,0.61,9.95
C15-S,1.17,2.71,5.74,1.685,30.5,2664,0.0021,0.52,8.74
C16-L,1.36,3.45,6.76,1.565,9.76,2275,0.0026,0.45,9.02
C16-M,1.14,3.13,6.78,1.799,10.5,2536,0.0022,0.5,8.66
C16-S,0.888,1.87,3.86,1.587,5.95,3648,0.0015,0.82,8.35
C17-L,1.21,2.9,6.19,1.714,9.9,2557,0.0035,0.46,13.27
C17-M,1.47,3.8,8.13,1.754,13,1958,0.0032,0.51,9.54
C17-S,1.09,2.34,4.74,1.558,7.17,2948,0.0022,0.49,10.02
C18-L,1.25,4.21,11,2.325,18.5,2091,0.0031,0.58,10.01
C18-M,1.26,3.15,7.12,1.862,14.8,2391,0.0034,0.43,12.13
C18-S,1.37,3.28,7.15,1.763,19.8,2234,0.0024,0.56,8.06
C19-L,2.8,7.28,16.3,1.857,26.5,1049,0.0052,0.2,7.72
C19-M,1.51,4.5,12.9,2.537,22.3,1770,0.0028,0.27,7.29
C19-S,1.26,2.64,5.66,1.666,11.6,2530,0.0021,0.36,7.84
C21-L,2.53,6.45,14.8,1.895,23.7,945.6,0.0062,0.92,9.74
C21-M,2.3,6.12,15.6,2.183,25.7,1014,0.0056,1.02,9.55
C21-S,1.93,3.61,9.09,1.982,372,1422,0.0035,1.37,8.47
C24-L,0.848,2.05,5.21,2.124,15.4,3495,0.0016,0.72,8.74
C24-M,0.805,1.82,4.85,2.226,15.1,3769,0.0017,0.83,10.12
C24-S,0.881,1.73,3.35,1.429,5.03,3824,0.0024,0.74,13.98
C25-L,1.18,2.98,6.08,1.642,8.87,2574,0.0025,0.5,9.93
C25-M,1.22,2.89,5.79,1.585,8.49,2574,0.002,0.48,8.02
C25-S,1.17,2.55,4.97,1.494,7.14,2784,0.0023,0.48,9.84
C26-L,1.69,4.37,10,1.902,16.5,1752,0.0021,0.36,5.48
C26-M,1.45,4.45,12,2.375,19.7,1850,0.0025,0.38,7.01
C26-S,1.57,3.15,6.05,1.422,19.8,2139,0.0019,0.36,6.27
C27-L,1.06,2.71,5.7,1.712,8.49,2834,0.0045,0.52,18.86
C27-M,0.705,1.57,3.53,1.798,5.94,4351,0.0009,0.99,6.23
C27-S,0.858,1.67,3.21,1.409,4.95,3944,0.0013,0.87,7.98
