precursor,size_um,volume_pct,D50_um
S,0.01,0.0,3.67
S,0.0114,0.0,3.67
S,0.0129,0.0,3.67
S,0.0147,0.0,3.67
S,0.0167,0.0,3.67
S,0.0189,0.0,3.67
S,0.0215,0.0,3.67
S,0.0244,0.0,3.67
S,0.0278,0.0,3.67
S,0.0315,0.0,3.67
S,0.0358,0.0,3.67
S,0.0407,0.0,3.67
S,0.0463,0.0,3.67
S,0.0526,0.0,3.67
S,0.0597,0.0,3.67
S,0.0679,0.0,3.67
S,0.0771,0.0,3.67
S,0.0876,0.0,3.67
S,0.0995,0.0,3.67
S,0.113,0.0,3.67
S,0.128,0.0,3.67
S,0.146,0.0,3.67
S,0.166,0.0,3.67
S,0.188,0.0,3.67
S,0.214,0.0,3.67
S,0.243,0.0,3.67
S,0.276,0.0,3.67
S,0.314,0.0,3.67
S,0.357,0.0,3.67
S,0.405,0.0,3.67
S,0.46,0.0,3.67
S,0.523,0.0,3.67
S,0.594,0.0,3.67
S,0.675,0.0,3.67
S,0.767,0.0,3.67
S,0.872,0.0,3.67
S,0.991,0.0,3.67
S,1.13,0.0,3.67
S,1.28,0.0,3.67
S,1.45,0.0,3.67
S,1.65,0.02,3.67
S,1.88,0.4,3.67
S,2.13,2.35,3.67
S,2.42,7.18,3.67
S,2.75,14.23,3.67
S,3.12,20.23,3.67
S,3.55,21.58,3.67
S,4.03,17.45,3.67
S,4.58,10.56,3.67
S,5.21,4.56,3.67
S,5.92,1.26,3.67
S,6.72,0.18,3.67
S,7.64,0.01,3.67
S,8.68,0.0,3.67
S,9.86,0.0,3.67
S,11.2,0.0,3.67
S,12.7,0.0,3.67
S,14.5,0.0,3.67
S,16.4,0.0,3.67
S,18.7,0.0,3.67
S,21.2,0.0,3.67
S,24.1,0.0,3.67
S,27.4,0.0,3.67
S,31.1,0.0,3.67
S,35.3,0.0,3.67
S,40.1,0.0,3.67
S,45.6,0.0,3.67
S,51.8,0.0,3.67
S,58.9,0.0,3.67
S,66.9,0.0,3.67
S,76.0,0.0,3.67
S,86.4,0.0,3.67
S,98.1,0.0,3.67
S,111.0,0.0,3.67
S,127.0,0.0,3.67
S,144.0,0.0,3.67
S,163.0,0.0,3.67
S,186.0,0.0,3.67
S,211.0,0.0,3.67
S,240.0,0.0,3.67
S,272.0,0.0,3.67
S,310.0,0.0,3.67
S,352.0,0.0,3.67
S,400.0,0.0,3.67
S,454.0,0.0,3.67
S,516.0,0.0,3.67
S,586.0,0.0,3.67
S,666.0,0.0,3.67
S,756.0,0.0,3.67
S,859.0,0.0,3.67
S,976.0,0.0,3.67
S,1110.0,0.0,3.67
S,1260.0,0.0,3.67
S,1430.0,0.0,3.67
S,1630.0,0.0,3.67
S,1850.0,0.0,3.67
S,2100.0,0.0,3.67
S,2390.0,0.0,3.67
S,2710.0,0.0,3.67
S,3080.0,0.0,3.67
M,0.01,0.0,9.7
M,0.0114,0.0,9.7
M,0.0129,0.0,9.7
M,0.0147,0.0,9.7
M,0.0167,0.0,9.7
M,0.0189,0.0,9.7
M,0.0215,0.0,9.7
M,0.0244,0.0,9.7
M,0.0278,0.0,9.7
M,0.0315,0.0,9.7
M,0.0358,0.0,9.7
M,0.0407,0.0,9.7
M,0.0463,0.0,9.7
M,0.0526,0.0,9.7
M,0.0597,0.0,9.7
M,0.0679,0.0,9.7
M,0.0771,0.0,9.7
M,0.0876,0.0,9.7
M,0.0995,0.0,9.7
M,0.113,0.0,9.7
M,0.128,0.0,9.7
M,0.146,0.0,9.7
M,0.166,0.0,9.7
M,0.188,0.0,9.7
M,0.214,0.0,9.7
M,0.243,0.0,9.7
M,0.276,0.0,9.7
M,0.314,0.0,9.7
M,0.357,0.0,9.7
M,0.405,0.0,9.7
M,0.46,0.0,9.7
M,0.523,0.0,9.7
M,0.594,0.0,9.7
M,0.675,0.0,9.7
M,0.767,0.0,9.7
M,0.872,0.0,9.7
M,0.991,0.0,9.7
M,1.13,0.0,9.7
M,1.28,0.0,9.7
M,1.45,0.0,9.7
M,1.65,0.44,9.7
M,1.88,1.26,9.7
M,2.13,2.32,9.7
M,2.42,3.37,9.7
M,2.75,4.14,9.7
M,3.12,4.45,9.7
M,3.55,4.31,9.7
M,4.03,3.85,9.7
M,4.58,3.34,9.7
M,5.21,3.09,9.7
M,5.92,3.34,9.7
M,6.72,4.19,9.7
M,7.64,5.59,9.7
M,8.68,7.24,9.7
M,9.86,8.73,9.7
M,11.2,9.59,9.7
M,12.7,9.5,9.7
M,14.5,8.4,9.7
M,16.4,6.51,9.7
M,18.7,4.28,9.7
M,21.2,2.05,9.7
M,24.1,0.01,9.7
M,27.4,0.0,9.7
M,31.1,0.0,9.7
M,35.3,0.0,9.7
M,40.1,0.0,9.7
M,45.6,0.0,9.7
M,51.8,0.0,9.7
M,58.9,0.0,9.7
M,66.9,0.0,9.7
M,76.0,0.0,9.7
M,86.4,0.0,9.7
M,98.1,0.0,9.7
M,111.0,0.0,9.7
M,127.0,0.0,9.7
M,144.0,0.0,9.7
M,163.0,0.0,9.7
M,186.0,0.0,9.7
M,211.0,0.0,9.7
M,240.0,0.0,9.7
M,272.0,0.0,9.7
M,310.0,0.0,9.7
M,352.0,0.0,9.7
M,400.0,0.0,9.7
M,454.0,0.0,9.7
M,516.0,0.0,9.7
M,586.0,0.0,9.7
M,666.0,0.0,9.7
M,756.0,0.0,9.7
M,859.0,0.0,9.7
M,976.0,0.0,9.7
M,1110.0,0.0,9.7
M,1260.0,0.0,9.7
