condition_id,T_C,beta,t_hold,xrd_covered
C01,850.0,2.0,10.0,True
C02,850.0,2.0,15.0,False
C03,850.0,2.0,20.0,True
C04,850.0,5.0,10.0,True
C05,850.0,5.0,15.0,False
C06,850.0,5.0,20.0,False
C07,850.0,8.0,10.0,True
C08,850.0,8.0,15.0,False
C09,850.0,8.0,20.0,True
C10,900.0,2.0,10.0,False
C11,900.0,2.0,15.0,False
C12,900.0,2.0,20.0,True
C13,900.0,5.0,10.0,False
C14,900.0,5.0,15.0,True
C15,900.0,5.0,20.0,True
C16,900.0,8.0,10.0,True
C17,900.0,8.0,15.0,True
C18,900.0,8.0,20.0,True
C19,950.0,2.0,10.0,True
C20,950.0,2.0,15.0,False
C21,950.0,2.0,20.0,True
C22,950.0,5.0,10.0,False
C23,950.0,5.0,15.0,False
C24,950.0,5.0,20.0,True
C25,950.0,8.0,10.0,True
C26,950.0,8.0,15.0,True
C27,950.0,8.0,20.0,True
