target,term,eta2_pct,eta2_is_na
D_XRD,precursor,1.08450921520168,False
lattice_c,precursor,0.33860090555358,False
compaction_density,precursor,67.43189236383077,False
D_sec,precursor,88.7759157941011,False
circularity,precursor,77.10656443879151,False
D_f,precursor,45.94041703825396,False
solidity,precursor,65.94646462720215,False
elongation,precursor,83.49766208720926,False
roughness,precursor,68.78830711646721,False
D_XRD,T_C,54.18891981708285,False
lattice_c,T_C,20.76953970386922,False
compaction_density,T_C,7.6126681239604,False
D_sec,T_C,5.58273162308294,False
circularity,T_C,12.07542119773364,False
D_f,T_C,4.92716330484384,False
solidity,T_C,9.47776931468098,False
elongation,T_C,0.03608508231762,False
roughness,T_C,15.04665596239733,False
D_XRD,beta,1.6935749448149102,False
lattice_c,beta,6.868652002421061,False
compaction_density,beta,1.7058063386689402,False
D_sec,beta,0.18731975248742,False
circularity,beta,0.05380602125294,False
D_f,beta,0.40938470389729,False
solidity,beta,0.19334992565223,False
elongation,beta,0.45813300394225,False
roughness,beta,0.25140403738325,False
D_XRD,t_hold,5.9331540486606,False
lattice_c,t_hold,10.42764347123216,False
compaction_density,t_hold,1.01131230578937,False
D_sec,t_hold,0.03882960137612,False
circularity,t_hold,0.45870883477885,False
D_f,t_hold,7.7365409947459,False
solidity,t_hold,2.36647241122503,False
elongation,t_hold,0.64972312771487,False
roughness,t_hold,1.3652608599964,False
D_XRD,interactions,1.6823333691018003,False
lattice_c,interactions,1.03215732209819,False
compaction_density,interactions,10.11901992264626,False
D_sec,interactions,2.3614595743612297,False
circularity,interactions,4.63322415127821,False
D_f,interactions,12.699815639296268,False
solidity,interactions,7.99503163793166,False
elongation,interactions,6.17977395063609,False
roughness,interactions,5.01590629638894,False
D_XRD,residual_clean,24.118936919292462,False
lattice_c,residual_clean,53.315016887650216,False
compaction_density,residual_clean,12.11930094510422,False
D_sec,residual_clean,3.05374365459116,False
circularity,residual_clean,5.67227535616481,False
D_f,residual_clean,28.2866783189627,False
solidity,residual_clean,14.020912083307898,False
elongation,residual_clean,9.17862274817985,False
roughness,residual_clean,9.53246572736682,False
