theta_rank,condition_id,Theta,precursor,sample_id,compaction_density
1,C07,4.054026098945026,L,C07-L,3.4
1,C07,4.054026098945026,M,C07-M,3.395
1,C07,4.054026098945026,S,C07-S,3.14
2,C04,4.078166000601167,L,C04-L,3.4
2,C04,4.078166000601167,M,C04-M,3.455
2,C04,4.078166000601167,S,C04-S,3.11
3,C01,4.174725607225732,L,C01-L,3.41
3,C01,4.174725607225732,M,C01-M,3.42
3,C01,4.174725607225732,S,C01-S,3.11
4,C08,6.060922563704088,L,C08-L,3.49
4,C08,6.060922563704088,M,C08-M,3.26
4,C08,6.060922563704088,S,C08-S,3.29
5,C05,6.085062465360228,L,C05-L,3.36
5,C05,6.085062465360228,M,C05-M,3.45
5,C05,6.085062465360228,S,C05-S,3.35
6,C02,6.181622071984794,L,C02-L,3.38
6,C02,6.181622071984794,M,C02-M,3.43
6,C02,6.181622071984794,S,C02-S,3.07
7,C09,8.06781902846315,L,C09-L,3.34
7,C09,8.06781902846315,M,C09-M,3.4
7,C09,8.06781902846315,S,C09-S,3.14
8,C06,8.091958930119292,L,C06-L,3.47
8,C06,8.091958930119292,M,C06-M,3.51
8,C06,8.091958930119292,S,C06-S,3.2
9,C03,8.188518536743857,L,C03-L,3.46
9,C03,8.188518536743857,M,C03-M,3.48
9,C03,8.188518536743857,S,C03-S,3.2
10,C16,10.108991714280393,L,C16-L,3.37
10,C16,10.108991714280393,M,C16-M,3.4
10,C16,10.108991714280393,S,C16-S,3.13
11,C13,10.174386742848624,L,C13-L,3.33
11,C13,10.174386742848624,M,C13-M,3.34
11,C13,10.174386742848624,S,C13-S,3.12
12,C10,10.435966857121558,L,C10-L,3.38
12,C10,10.435966857121558,M,C10-M,3.42
12,C10,10.435966857121558,S,C10-S,3.17
13,C17,15.10899171428039,L,C17-L,3.3
13,C17,15.10899171428039,M,C17-M,3.29
13,C17,15.10899171428039,S,C17-S,3.06
14,C14,15.174386742848624,L,C14-L,3.37
14,C14,15.174386742848624,M,C14-M,3.285
14,C14,15.174386742848624,S,C14-S,3.055
15,C11,15.435966857121558,L,C11-L,3.4
15,C11,15.435966857121558,M,C11-M,3.42
15,C11,15.435966857121558,S,C11-S,3.17
16,C18,20.10899171428039,L,C18-L,3.32
16,C18,20.10899171428039,M,C18-M,3.3
16,C18,20.10899171428039,S,C18-S,3.04
17,C15,20.174386742848625,L,C15-L,3.33
17,C15,20.174386742848625,M,C15-M,3.36
17,C15,20.174386742848625,S,C15-S,3.08
18,C12,20.43596685712156,L,C12-L,3.33
18,C12,20.43596685712156,M,C12-M,3.36
18,C12,20.43596685712156,S,C12-S,3.1
19,C25,23.39542871423181,L,C25-L,3.41
19,C25,23.39542871423181,M,C25-M,3.38
19,C25,23.39542871423181,S,C25-S,3.13
20,C22,23.55923578550109,L,C22-L,3.51
20,C22,23.55923578550109,M,C22-M,3.5
20,C22,23.55923578550109,S,C22-S,3.37
21,C19,24.21446407057823,L,C19-L,3.37
21,C19,24.21446407057823,M,C19-M,3.34
21,C19,24.21446407057823,S,C19-S,3.16
22,C26,34.956637178623296,L,C26-L,3.43
22,C26,34.956637178623296,M,C26-M,3.44
22,C26,34.956637178623296,S,C26-S,3.28
23,C23,35.12044424989258,L,C23-L,3.56
23,C23,35.12044424989258,M,C23-M,3.43
23,C23,35.12044424989258,S,C23-S,3.33
24,C20,35.77567253496972,L,C20-L,3.45
24,C20,35.77567253496972,M,C20-M,3.34
24,C20,35.77567253496972,S,C20-S,3.26
25,C27,46.5178456430148,L,C27-L,3.38
25,C27,46.5178456430148,M,C27-M,3.38
25,C27,46.5178456430148,S,C27-S,3.14
26,C24,46.68165271428408,L,C24-L,3.4
26,C24,46.68165271428408,M,C24-M,3.37
26,C24,46.68165271428408,S,C24-S,3.1
27,C21,47.33688099936123,L,C21-L,3.325
27,C21,47.33688099936123,M,C21-M,3.355
27,C21,47.33688099936123,S,C21-S,3.24
