theta_rank,condition_id,Theta,precursor,sample_id,D_sec
1,C07,4.054026098945026,L,C07-L,9.422688717681089
1,C07,4.054026098945026,M,C07-M,9.887901758142648
1,C07,4.054026098945026,S,C07-S,4.0156942680121945
2,C04,4.078166000601167,L,C04-L,10.238051716608435
2,C04,4.078166000601167,M,C04-M,9.387252839225006
2,C04,4.078166000601167,S,C04-S,4.140241406965356
3,C01,4.174725607225732,L,C01-L,9.213178512111671
3,C01,4.174725607225732,M,C01-M,8.849368497770836
3,C01,4.174725607225732,S,C01-S,3.870791546133164
4,C08,6.060922563704088,L,C08-L,9.65398923433004
4,C08,6.060922563704088,M,C08-M,8.195652056556362
4,C08,6.060922563704088,S,C08-S,3.935851422566431
5,C05,6.085062465360228,L,C05-L,9.074313316252915
5,C05,6.085062465360228,M,C05-M,9.846078657768498
5,C05,6.085062465360228,S,C05-S,3.8912374721731418
6,C02,6.181622071984794,L,C02-L,9.77164328274587
6,C02,6.181622071984794,M,C02-M,9.647374794205136
6,C02,6.181622071984794,S,C02-S,4.208679785659095
7,C09,8.06781902846315,L,C09-L,9.594620100662157
7,C09,8.06781902846315,M,C09-M,10.040816527558595
7,C09,8.06781902846315,S,C09-S,3.9998532032338936
8,C06,8.091958930119292,L,C06-L,9.732584744931176
8,C06,8.091958930119292,M,C06-M,10.186763881077844
8,C06,8.091958930119292,S,C06-S,4.879321291024226
9,C03,8.188518536743857,L,C03-L,9.4697353194502
9,C03,8.188518536743857,M,C03-M,10.295226328041476
9,C03,8.188518536743857,S,C03-S,4.08621916744697
10,C16,10.108991714280393,L,C16-L,10.122680920957952
10,C16,10.108991714280393,M,C16-M,10.624528374427824
10,C16,10.108991714280393,S,C16-S,4.411221620440145
11,C13,10.174386742848624,L,C13-L,10.47710458162205
11,C13,10.174386742848624,M,C13-M,11.077957875901715
11,C13,10.174386742848624,S,C13-S,4.117175815757948
12,C10,10.435966857121558,L,C10-L,9.831558786066882
12,C10,10.435966857121558,M,C10-M,10.769934351879687
12,C10,10.435966857121558,S,C10-S,3.967981355043056
13,C17,15.10899171428039,L,C17-L,10.525241426110606
13,C17,15.10899171428039,M,C17-M,11.839771392430563
13,C17,15.10899171428039,S,C17-S,4.611754560525867
14,C14,15.174386742848624,L,C14-L,9.27838873842304
14,C14,15.174386742848624,M,C14-M,9.27841144592807
14,C14,15.174386742848624,S,C14-S,3.919687693400157
15,C11,15.435966857121558,L,C11-L,10.128950776573635
15,C11,15.435966857121558,M,C11-M,9.197559665162274
15,C11,15.435966857121558,S,C11-S,4.0550261985540725
16,C18,20.10899171428039,L,C18-L,11.273942590428806
16,C18,20.10899171428039,M,C18-M,11.127970279117552
16,C18,20.10899171428039,S,C18-S,4.991872966174892
17,C15,20.174386742848625,L,C15-L,9.758642039901568
17,C15,20.174386742848625,M,C15-M,10.21321710946393
17,C15,20.174386742848625,S,C15-S,4.227492158576884
18,C12,20.43596685712156,L,C12-L,9.634226087709996
18,C12,20.43596685712156,M,C12-M,8.603854503709423
18,C12,20.43596685712156,S,C12-S,4.646043170628641
19,C25,23.39542871423181,L,C25-L,11.271113901373727
19,C25,23.39542871423181,M,C25-M,10.07238157407282
19,C25,23.39542871423181,S,C25-S,5.05820358973422
20,C22,23.55923578550109,L,C22-L,12.522535138943129
20,C22,23.55923578550109,M,C22-M,12.992805914875769
20,C22,23.55923578550109,S,C22-S,5.56328149565903
21,C19,24.21446407057823,L,C19-L,11.819581827800263
21,C19,24.21446407057823,M,C19-M,11.765807984953714
21,C19,24.21446407057823,S,C19-S,5.3062844292839735
22,C26,34.956637178623296,L,C26-L,11.543832104568835
22,C26,34.956637178623296,M,C26-M,12.26383539380828
22,C26,34.956637178623296,S,C26-S,5.415826839329719
23,C23,35.12044424989258,L,C23-L,12.429594538251637
23,C23,35.12044424989258,M,C23-M,9.907145179054211
23,C23,35.12044424989258,S,C23-S,6.886587711776878
24,C20,35.77567253496972,L,C20-L,11.327312601950805
24,C20,35.77567253496972,M,C20-M,11.568542485201585
24,C20,35.77567253496972,S,C20-S,5.303293287167072
25,C27,46.5178456430148,L,C27-L,11.44163562319878
25,C27,46.5178456430148,M,C27-M,11.31609882347827
25,C27,46.5178456430148,S,C27-S,4.830280523803874
26,C24,46.68165271428408,L,C24-L,11.072225426422966
26,C24,46.68165271428408,M,C24-M,10.88717943418724
26,C24,46.68165271428408,S,C24-S,4.531904977172929
27,C21,47.33688099936123,L,C21-L,11.826358256378134
27,C21,47.33688099936123,M,C21-M,9.157885118422907
27,C21,47.33688099936123,S,C21-S,5.548999065682753
