peak,condition_id,Theta,FWHM_median,FWHM_min,FWHM_max,n_arch,err_lo,err_hi,FWHM_inst_deg
003,C07,4.054,0.2043,0.1911,0.2137,3,0.0132,0.0094,0.0791
003,C04,4.078,0.1944,0.1766,0.205,3,0.0178,0.0106,0.0791
003,C01,4.175,0.2151,0.1996,0.2159,3,0.0155,0.0008,0.0791
003,C09,8.068,0.191,0.1791,0.2007,3,0.0119,0.0097,0.0791
003,C03,8.189,0.1913,0.1756,0.2027,3,0.0157,0.0114,0.0791
003,C16,10.109,0.1799,0.1709,0.1924,3,0.009,0.0125,0.0791
003,C17,15.109,0.1486,0.1481,0.1518,3,0.0005,0.0032,0.0791
003,C14,15.174,0.1653,0.1592,0.1728,3,0.0061,0.0075,0.0791
003,C18,20.109,0.1423,0.1376,0.1472,3,0.0047,0.0049,0.0791
003,C15,20.174,0.1674,0.1498,0.1729,3,0.0176,0.0055,0.0791
003,C12,20.436,0.1793,0.1604,0.1812,3,0.0189,0.0019,0.0791
003,C25,23.395,0.1613,0.1587,0.1616,3,0.0026,0.0003,0.0791
003,C19,24.214,0.1343,0.1304,0.1353,3,0.0039,0.001,0.0791
003,C26,34.957,0.1281,0.1246,0.1326,3,0.0035,0.0045,0.0791
003,C27,46.518,0.1596,0.1556,0.1675,3,0.004,0.0079,0.0791
003,C24,46.682,0.1463,0.1404,0.1477,3,0.0059,0.0014,0.0791
003,C21,47.337,0.1302,0.1242,0.1347,3,0.006,0.0045,0.0791
104,C07,4.054,0.1865,0.1685,0.1896,3,0.018,0.0031,0.0752
104,C04,4.078,0.1789,0.1632,0.1868,3,0.0157,0.0079,0.0752
104,C01,4.175,0.2009,0.1856,0.2036,3,0.0153,0.0027,0.0752
104,C09,8.068,0.1701,0.1582,0.181,3,0.0119,0.0109,0.0752
104,C03,8.189,0.1806,0.1594,0.1821,3,0.0212,0.0015,0.0752
104,C16,10.109,0.155,0.1433,0.1569,3,0.0117,0.0019,0.0752
104,C17,15.109,0.1275,0.124,0.1285,3,0.0035,0.001,0.0752
104,C14,15.174,0.1474,0.1391,0.1516,3,0.0083,0.0042,0.0752
104,C18,20.109,0.1202,0.12,0.1226,3,0.0002,0.0024,0.0752
104,C15,20.174,0.1467,0.1348,0.1497,3,0.0119,0.003,0.0752
104,C12,20.436,0.1584,0.1432,0.1602,3,0.0152,0.0018,0.0752
104,C25,23.395,0.1414,0.1348,0.1424,3,0.0066,0.001,0.0752
104,C19,24.214,0.114,0.1133,0.1146,3,0.0007,0.0006,0.0752
104,C26,34.957,0.1106,0.1098,0.1122,3,0.0008,0.0016,0.0752
104,C27,46.518,0.1363,0.1342,0.141,3,0.0021,0.0047,0.0752
104,C24,46.682,0.1229,0.1227,0.1259,3,0.0002,0.003,0.0752
104,C21,47.337,0.1123,0.1086,0.1143,3,0.0037,0.002,0.0752
