sample_id,condition_id,precursor,Theta,peak,two_theta,FWHM_obs_deg,FWHM_inst_deg,ratio_obs_inst
C07-L,C07,L,4.054,003,16.52,0.2043,0.0791,2.583
C07-M,C07,M,4.054,003,16.523,0.2137,0.0791,2.702
C07-S,C07,S,4.054,003,16.518,0.1911,0.0791,2.416
C04-L,C04,L,4.078,003,16.515,0.205,0.0791,2.592
C04-M,C04,M,4.078,003,16.522,0.1944,0.0791,2.458
C04-S,C04,S,4.078,003,16.518,0.1766,0.0791,2.233
C01-L,C01,L,4.175,003,16.516,0.2159,0.0791,2.729
C01-M,C01,M,4.175,003,16.514,0.2151,0.0791,2.719
C01-S,C01,S,4.175,003,16.516,0.1996,0.0791,2.523
C09-L,C09,L,8.068,003,16.514,0.2007,0.0791,2.537
C09-M,C09,M,8.068,003,16.518,0.191,0.0791,2.415
C09-S,C09,S,8.068,003,16.512,0.1791,0.0791,2.264
C03-L,C03,L,8.189,003,16.54,0.1913,0.0791,2.418
C03-M,C03,M,8.189,003,16.529,0.2027,0.0791,2.563
C03-S,C03,S,8.189,003,16.547,0.1756,0.0791,2.22
C16-L,C16,L,10.109,003,16.534,0.1799,0.0791,2.274
C16-M,C16,M,10.109,003,16.527,0.1924,0.0791,2.432
C16-S,C16,S,10.109,003,16.541,0.1709,0.0791,2.161
C17-L,C17,L,15.109,003,16.528,0.1486,0.0791,1.879
C17-M,C17,M,15.109,003,16.522,0.1481,0.0791,1.872
C17-S,C17,S,15.109,003,16.531,0.1518,0.0791,1.919
C14-L,C14,L,15.174,003,16.526,0.1653,0.0791,2.09
C14-M,C14,M,15.174,003,16.521,0.1728,0.0791,2.185
C14-S,C14,S,15.174,003,16.523,0.1592,0.0791,2.013
C18-L,C18,L,20.109,003,16.517,0.1423,0.0791,1.799
C18-M,C18,M,20.109,003,16.524,0.1472,0.0791,1.861
C18-S,C18,S,20.109,003,16.521,0.1376,0.0791,1.74
C15-L,C15,L,20.174,003,16.525,0.1729,0.0791,2.186
C15-M,C15,M,20.174,003,16.518,0.1674,0.0791,2.116
C15-S,C15,S,20.174,003,16.523,0.1498,0.0791,1.894
C12-L,C12,L,20.436,003,16.529,0.1793,0.0791,2.267
C12-M,C12,M,20.436,003,16.522,0.1812,0.0791,2.291
C12-S,C12,S,20.436,003,16.523,0.1604,0.0791,2.028
C25-L,C25,L,23.395,003,16.553,0.1587,0.0791,2.006
C25-M,C25,M,23.395,003,16.537,0.1616,0.0791,2.043
C25-S,C25,S,23.395,003,16.541,0.1613,0.0791,2.039
C19-L,C19,L,24.214,003,16.489,0.1304,0.0791,1.649
C19-M,C19,M,24.214,003,16.5,0.1353,0.0791,1.71
C19-S,C19,S,24.214,003,16.512,0.1343,0.0791,1.698
C26-L,C26,L,34.957,003,16.53,0.1281,0.0791,1.619
C26-M,C26,M,34.957,003,16.532,0.1246,0.0791,1.575
C26-S,C26,S,34.957,003,16.527,0.1326,0.0791,1.676
C27-L,C27,L,46.518,003,16.552,0.1556,0.0791,1.967
C27-M,C27,M,46.518,003,16.531,0.1675,0.0791,2.118
C27-S,C27,S,46.518,003,16.543,0.1596,0.0791,2.018
C24-L,C24,L,46.682,003,16.551,0.1404,0.0791,1.775
C24-M,C24,M,46.682,003,16.544,0.1477,0.0791,1.867
C24-S,C24,S,46.682,003,16.543,0.1463,0.0791,1.85
C21-L,C21,L,47.337,003,16.527,0.1242,0.0791,1.57
C21-M,C21,M,47.337,003,16.525,0.1302,0.0791,1.646
C21-S,C21,S,47.337,003,16.519,0.1347,0.0791,1.703
C07-L,C07,L,4.054,104,41.521,0.1865,0.0752,2.48
C07-M,C07,M,4.054,104,41.534,0.1896,0.0752,2.521
C07-S,C07,S,4.054,104,41.513,0.1685,0.0752,2.241
C04-L,C04,L,4.078,104,41.512,0.1868,0.0752,2.484
C04-M,C04,M,4.078,104,41.513,0.1789,0.0752,2.379
C04-S,C04,S,4.078,104,41.511,0.1632,0.0752,2.17
C01-L,C01,L,4.175,104,41.528,0.2036,0.0752,2.707
C01-M,C01,M,4.175,104,41.521,0.2009,0.0752,2.672
C01-S,C01,S,4.175,104,41.526,0.1856,0.0752,2.468
C09-L,C09,L,8.068,104,41.511,0.181,0.0752,2.407
C09-M,C09,M,8.068,104,41.51,0.1701,0.0752,2.262
C09-S,C09,S,8.068,104,41.507,0.1582,0.0752,2.104
C03-L,C03,L,8.189,104,41.495,0.1821,0.0752,2.422
C03-M,C03,M,8.189,104,41.487,0.1806,0.0752,2.402
C03-S,C03,S,8.189,104,41.5,0.1594,0.0752,2.12
C16-L,C16,L,10.109,104,41.49,0.155,0.0752,2.061
C16-M,C16,M,10.109,104,41.489,0.1569,0.0752,2.086
C16-S,C16,S,10.109,104,41.5,0.1433,0.0752,1.906
C17-L,C17,L,15.109,104,41.511,0.124,0.0752,1.649
C17-M,C17,M,15.109,104,41.503,0.1275,0.0752,1.695
C17-S,C17,S,15.109,104,41.511,0.1285,0.0752,1.709
C14-L,C14,L,15.174,104,41.501,0.1474,0.0752,1.96
C14-M,C14,M,15.174,104,41.513,0.1516,0.0752,2.016
C14-S,C14,S,15.174,104,41.497,0.1391,0.0752,1.85
C18-L,C18,L,20.109,104,41.516,0.1202,0.0752,1.598
C18-M,C18,M,20.109,104,41.522,0.1226,0.0752,1.63
C18-S,C18,S,20.109,104,41.528,0.12,0.0752,1.596
C15-L,C15,L,20.174,104,41.511,0.1497,0.0752,1.991
C15-M,C15,M,20.174,104,41.506,0.1467,0.0752,1.951
C15-S,C15,S,20.174,104,41.504,0.1348,0.0752,1.793
C12-L,C12,L,20.436,104,41.514,0.1602,0.0752,2.13
C12-M,C12,M,20.436,104,41.507,0.1584,0.0752,2.106
C12-S,C12,S,20.436,104,41.501,0.1432,0.0752,1.904
C25-L,C25,L,23.395,104,41.505,0.1414,0.0752,1.88
C25-M,C25,M,23.395,104,41.494,0.1424,0.0752,1.894
C25-S,C25,S,23.395,104,41.505,0.1348,0.0752,1.793
C19-L,C19,L,24.214,104,41.51,0.1133,0.0752,1.507
C19-M,C19,M,24.214,104,41.515,0.114,0.0752,1.516
C19-S,C19,S,24.214,104,41.527,0.1146,0.0752,1.524
C26-L,C26,L,34.957,104,41.508,0.1106,0.0752,1.471
C26-M,C26,M,34.957,104,41.505,0.1098,0.0752,1.46
C26-S,C26,S,34.957,104,41.516,0.1122,0.0752,1.492
C27-L,C27,L,46.518,104,41.508,0.1363,0.0752,1.812
C27-M,C27,M,46.518,104,41.491,0.141,0.0752,1.875
C27-S,C27,S,46.518,104,41.501,0.1342,0.0752,1.785
C24-L,C24,L,46.682,104,41.5,0.1227,0.0752,1.632
C24-M,C24,M,46.682,104,41.495,0.1259,0.0752,1.674
C24-S,C24,S,46.682,104,41.505,0.1229,0.0752,1.634
C21-L,C21,L,47.337,104,41.519,0.1086,0.0752,1.444
C21-M,C21,M,47.337,104,41.517,0.1123,0.0752,1.493
C21-S,C21,S,47.337,104,41.508,0.1143,0.0752,1.52
