peak,theta_level,Theta_h,condition,precursor,delta_2theta,intensity_norm,instrumental_fwhm_deg
003,low,4.05,C07,S,-0.431,0.03274,0.0791
003,low,4.05,C07,S,-0.411,0.03586,0.0791
003,low,4.05,C07,S,-0.391,0.03941,0.0791
003,low,4.05,C07,S,-0.371,0.04361,0.0791
003,low,4.05,C07,S,-0.351,0.0499,0.0791
003,low,4.05,C07,S,-0.331,0.05718,0.0791
003,low,4.05,C07,S,-0.311,0.06729,0.0791
003,low,4.05,C07,S,-0.291,0.07768,0.0791
003,low,4.05,C07,S,-0.271,0.08862,0.0791
003,low,4.05,C07,S,-0.251,0.10547,0.0791
003,low,4.05,C07,S,-0.231,0.12396,0.0791
003,low,4.05,C07,S,-0.211,0.14412,0.0791
003,low,4.05,C07,S,-0.191,0.16986,0.0791
003,low,4.05,C07,S,-0.171,0.20314,0.0791
003,low,4.05,C07,S,-0.151,0.24354,0.0791
003,low,4.05,C07,S,-0.131,0.29508,0.0791
003,low,4.05,C07,S,-0.111,0.36074,0.0791
003,low,4.05,C07,S,-0.091,0.44251,0.0791
003,low,4.05,C07,S,-0.071,0.54201,0.0791
003,low,4.05,C07,S,-0.051,0.65869,0.0791
003,low,4.05,C07,S,-0.031,0.78128,0.0791
003,low,4.05,C07,S,-0.011,0.89194,0.0791
003,low,4.05,C07,S,0.009,0.97128,0.0791
003,low,4.05,C07,S,0.029,1.0,0.0791
003,low,4.05,C07,S,0.049,0.96691,0.0791
003,low,4.05,C07,S,0.069,0.87747,0.0791
003,low,4.05,C07,S,0.089,0.74506,0.0791
003,low,4.05,C07,S,0.109,0.59249,0.0791
003,low,4.05,C07,S,0.129,0.44359,0.0791
003,low,4.05,C07,S,0.149,0.31675,0.0791
003,low,4.05,C07,S,0.169,0.22205,0.0791
003,low,4.05,C07,S,0.189,0.15866,0.0791
003,low,4.05,C07,S,0.209,0.11926,0.0791
003,low,4.05,C07,S,0.229,0.09441,0.0791
003,low,4.05,C07,S,0.249,0.07671,0.0791
003,low,4.05,C07,S,0.269,0.06253,0.0791
003,low,4.05,C07,S,0.289,0.05211,0.0791
003,low,4.05,C07,S,0.309,0.04365,0.0791
003,low,4.05,C07,S,0.329,0.03816,0.0791
003,low,4.05,C07,S,0.349,0.03321,0.0791
003,low,4.05,C07,S,0.369,0.02878,0.0791
003,low,4.05,C07,S,0.389,0.02654,0.0791
003,low,4.05,C07,S,0.409,0.02489,0.0791
003,low,4.05,C07,S,0.429,0.02287,0.0791
003,low,4.05,C07,S,0.449,0.02069,0.0791
003,low,4.05,C07,M,-0.437,0.03427,0.0791
003,low,4.05,C07,M,-0.417,0.03817,0.0791
003,low,4.05,C07,M,-0.397,0.04328,0.0791
003,low,4.05,C07,M,-0.377,0.05065,0.0791
003,low,4.05,C07,M,-0.357,0.05713,0.0791
003,low,4.05,C07,M,-0.337,0.06339,0.0791
003,low,4.05,C07,M,-0.317,0.07244,0.0791
003,low,4.05,C07,M,-0.297,0.08625,0.0791
003,low,4.05,C07,M,-0.277,0.09804,0.0791
003,low,4.05,C07,M,-0.257,0.11242,0.0791
003,low,4.05,C07,M,-0.237,0.13168,0.0791
003,low,4.05,C07,M,-0.217,0.15503,0.0791
003,low,4.05,C07,M,-0.197,0.1852,0.0791
003,low,4.05,C07,M,-0.177,0.22378,0.0791
