sample_id,condition_id,precursor,T_C,Theta,D_XRD
C01-S,C01,S,850.0,4.174725607225732,46.93374761102706
C01-M,C01,M,850.0,4.174725607225732,42.86950230591994
C01-L,C01,L,850.0,4.174725607225732,42.42732360509935
C03-S,C03,S,850.0,8.188518536743857,55.82958825986819
C03-M,C03,M,850.0,8.188518536743857,47.37712878670997
C03-L,C03,L,850.0,8.188518536743857,48.656997723471896
C04-S,C04,S,850.0,4.078166000601167,54.74795312869979
C04-M,C04,M,850.0,4.078166000601167,48.76822425576293
C04-L,C04,L,850.0,4.078166000601167,46.06812125681388
C07-S,C07,S,850.0,4.054026098945026,51.258439299854565
C07-M,C07,M,850.0,4.054026098945026,44.62646785790687
C07-L,C07,L,850.0,4.054026098945026,46.19371591044056
C09-S,C09,S,850.0,8.06781902846315,55.50452587369766
C09-M,C09,M,850.0,8.06781902846315,50.93858789595886
C09-L,C09,L,850.0,8.06781902846315,47.56547522436375
C12-S,C12,S,900.0,20.43596685712156,63.62196732812889
C12-M,C12,M,900.0,20.43596685712156,55.09086566414818
C12-L,C12,L,900.0,20.43596685712156,54.969167356526086
C14-S,C14,S,900.0,15.174386742848624,65.35184172332542
C14-M,C14,M,900.0,15.174386742848624,58.39167015024934
C14-L,C14,L,900.0,15.174386742848624,61.14925233381459
C15-S,C15,S,900.0,20.174386742848625,69.51335331914211
C15-M,C15,M,900.0,20.174386742848625,60.91744638730755
C15-L,C15,L,900.0,20.174386742848625,58.93161584589137
C16-S,C16,S,900.0,10.108991714280393,61.33196148001568
C16-M,C16,M,900.0,10.108991714280393,53.7190570639476
C16-L,C16,L,900.0,10.108991714280393,56.17777960810484
C17-S,C17,S,900.0,15.10899171428039,71.74829598452918
C17-M,C17,M,900.0,15.10899171428039,73.33313393096773
C17-L,C17,L,900.0,15.10899171428039,74.97308575012147
C18-S,C18,S,900.0,20.10899171428039,81.0888618858873
C18-M,C18,M,900.0,20.10899171428039,76.23265690898472
C18-L,C18,L,900.0,20.10899171428039,79.22248543008467
C19-S,C19,S,950.0,24.21446407057823,86.12093455068668
C19-M,C19,M,950.0,24.21446407057823,86.16270960671758
C19-L,C19,L,950.0,24.21446407057823,88.89151542137708
C21-S,C21,S,950.0,47.33688099936123,86.15213448994812
C21-M,C21,M,950.0,47.33688099936123,89.77657726288247
C21-L,C21,L,950.0,47.33688099936123,96.1417883771721
C24-S,C24,S,950.0,46.68165271428408,76.31454779911329
C24-M,C24,M,950.0,46.68165271428408,74.24289184572605
C24-L,C24,L,950.0,46.68165271428408,78.398811865349
C25-S,C25,S,950.0,23.39542871423181,66.52566013864217
C25-M,C25,M,950.0,23.39542871423181,63.618150662800616
C25-L,C25,L,950.0,23.39542871423181,64.66440026483657
C26-S,C26,S,950.0,34.956637178623296,88.73256152812583
C26-M,C26,M,950.0,34.956637178623296,94.8174700032029
C26-L,C26,L,950.0,34.956637178623296,92.21019730274314
C27-S,C27,S,950.0,46.5178456430148,67.17278938574142
C27-M,C27,M,950.0,46.5178456430148,62.79365392084625
C27-L,C27,L,950.0,46.5178456430148,67.33347971423304
