condition_id,Theta,d_LS,d_MS,band_lo_um,band_hi_um,band_pos
C07,4.054,5.407,5.8722,3.7423,5.8175,0.802
C04,4.0782,6.0978,5.247,4.5213,6.1132,0.99
C01,4.1747,5.3424,4.9786,3.6583,5.8128,0.782
C08,6.0609,5.7181,4.2598,3.6671,5.8812,0.926
C05,6.0851,5.1831,5.9548,3.4675,5.5068,0.841
C02,6.1816,5.563,5.4387,3.5364,5.6062,0.979
C09,8.0678,5.5948,6.041,3.8071,5.5948,1.0
C06,8.092,4.8533,5.3074,3.5239,5.1182,0.834
C03,8.1885,5.3835,6.209,3.7572,5.3835,1.0
C16,10.109,5.7115,6.2133,4.0934,5.7367,0.985
C13,10.1744,6.3599,6.9608,5.055,6.3638,0.997
C10,10.436,5.8636,6.802,4.3355,5.8942,0.98
C17,15.109,5.9135,7.228,4.6122,6.1358,0.854
C14,15.1744,5.3587,5.3587,3.5718,5.8779,0.775
C11,15.436,6.0739,5.1425,4.2255,6.2787,0.9
C18,20.109,6.2821,6.1361,4.7563,6.3236,0.974
C15,20.1744,5.5311,5.9857,3.7982,5.5943,0.965
C12,20.436,4.9882,3.9578,3.2657,5.064,0.958
C25,23.3954,6.2129,5.0142,4.8939,6.2824,0.95
C22,23.5592,6.9593,7.4295,5.3451,7.2364,0.853
C19,24.2145,6.5133,6.4595,4.9735,6.6253,0.932
C26,34.9566,6.128,6.848,4.6598,6.4531,0.819
C23,35.1204,5.543,3.0206,3.9411,5.7769,0.873
C20,35.7757,6.024,6.2652,4.8054,6.164,0.897
C27,46.5178,6.6114,6.4858,4.3968,6.6875,0.967
C24,46.6817,6.5403,6.3553,4.8718,6.6145,0.957
C21,47.3369,6.2774,3.6089,4.8979,6.4798,0.872
