subset_id,subset_label,subset_group,term,eta2_pct
baseline_81,"Base
(81)",baseline,precursor,88.7759157941011
drop_T950,-T950,T_C,precursor,94.57215898602752
drop_T900,-T900,T_C,precursor,86.73676482165526
drop_T850,-T850,T_C,precursor,89.55883483084223
drop_beta8,-β8,beta,precursor,87.61259009724117
drop_beta5,-β5,beta,precursor,89.92222363547782
drop_beta2,-β2,beta,precursor,88.99134346793757
drop_thold20,-t20,t_hold,precursor,87.1357091201728
drop_thold15,-t15,t_hold,precursor,90.76352223374668
drop_thold10,-t10,t_hold,precursor,88.60488091627424
drop_precursor_S,-S,precursor,precursor,0.3511381445094
drop_precursor_M,-M,precursor,precursor,91.82105789208752
drop_precursor_L,-L,precursor,precursor,90.08741154155328
baseline_81,"Base
(81)",baseline,T_C,5.58273162308294
drop_T950,-T950,T_C,T_C,0.78651106466425
drop_T900,-T900,T_C,T_C,7.876392666548989
drop_T850,-T850,T_C,T_C,3.72997340209766
drop_beta8,-β8,beta,T_C,6.77334658541625
drop_beta5,-β5,beta,T_C,5.1353626485012
drop_beta2,-β2,beta,T_C,5.3992098921527
drop_thold20,-t20,t_hold,T_C,7.92322746097317
drop_thold15,-t15,t_hold,T_C,4.15613190958514
drop_thold10,-t10,t_hold,T_C,4.9726077364056005
drop_precursor_S,-S,precursor,T_C,48.65599220729851
drop_precursor_M,-M,precursor,T_C,5.657653165959021
drop_precursor_L,-L,precursor,T_C,3.6701880497457497
baseline_81,"Base
(81)",baseline,beta,0.18731975248742
drop_T950,-T950,T_C,beta,0.44059469376835
drop_T900,-T900,T_C,beta,0.2675683499883
drop_T850,-T850,T_C,beta,0.40383066493458
drop_beta8,-β8,beta,beta,0.18405711629322
drop_beta5,-β5,beta,beta,0.23980122081417
drop_beta2,-β2,beta,beta,0.0037517749944261
drop_thold20,-t20,t_hold,beta,0.1155595137776099
drop_thold15,-t15,t_hold,beta,0.3389331840213599
drop_thold10,-t10,t_hold,beta,0.4800147729947699
drop_precursor_S,-S,precursor,beta,2.5716019197761097
drop_precursor_M,-M,precursor,beta,0.04498614273973
drop_precursor_L,-L,precursor,beta,0.22577551340912
baseline_81,"Base
(81)",baseline,t_hold,0.03882960137612
drop_T950,-T950,T_C,t_hold,0.22336629152522
drop_T900,-T900,T_C,t_hold,0.0421988420694999
drop_T850,-T850,T_C,t_hold,0.26994739166324
drop_beta8,-β8,beta,t_hold,0.37681526436807
drop_beta5,-β5,beta,t_hold,0.05278664876947
drop_beta2,-β2,beta,t_hold,0.05047537928446
drop_thold20,-t20,t_hold,t_hold,0.03760090778759
drop_thold15,-t15,t_hold,t_hold,0.0474809870742
drop_thold10,-t10,t_hold,t_hold,0.0004687166225096
drop_precursor_S,-S,precursor,t_hold,1.35200336862214
drop_precursor_M,-M,precursor,t_hold,0.0020364035183866
drop_precursor_L,-L,precursor,t_hold,0.0343902672631599
baseline_81,"Base
(81)",baseline,coupling_total,0.63377843979136
drop_T950,-T950,T_C,coupling_total,0.3815050023316
drop_T900,-T900,T_C,coupling_total,0.51262758543803
drop_T850,-T850,T_C,coupling_total,1.06484916225395
drop_beta8,-β8,beta,coupling_total,1.01905316683335
drop_beta5,-β5,beta,coupling_total,0.59395639399416
drop_beta2,-β2,beta,coupling_total,0.73559160581547
drop_thold20,-t20,t_hold,coupling_total,0.67461261428682
drop_thold15,-t15,t_hold,coupling_total,0.91517646221574
drop_thold10,-t10,t_hold,coupling_total,0.8620163122667
drop_precursor_S,-S,precursor,coupling_total,3.38878976484211
drop_precursor_M,-M,precursor,coupling_total,0.39898987270173
drop_precursor_L,-L,precursor,coupling_total,0.47234292709595
