sample_id,precursor,T_C,D_XRD_gauss_reimpl,D_XRD_lorentz
C01-L,L,850.0,42.42732360509935,62.41882568104626
C01-M,M,850.0,42.86950230591994,63.31421861927348
C01-S,S,850.0,46.93374761102706,71.78525078335733
C03-L,L,850.0,48.656997723471896,75.51615322091881
C03-M,M,850.0,47.37712878670997,72.78345247302694
C03-S,S,850.0,55.82958825986819,92.05812801654324
C04-L,L,850.0,46.06812125681388,69.95591858609126
C04-M,M,850.0,48.76822425576293,75.77383968102397
C04-S,S,850.0,54.74795312869979,89.4456741826929
C07-L,L,850.0,46.19371591044056,70.21977916931345
C07-M,M,850.0,44.62646785790687,66.95959536751995
C07-S,S,850.0,51.258439299854565,81.4062286309366
C09-L,L,850.0,47.56547522436375,73.17311757200757
C09-M,M,850.0,50.93858789595886,80.66008922864387
C09-S,S,850.0,55.50452587369766,91.33830232027104
C12-L,L,900.0,54.969167356526086,90.02637620416719
C12-M,M,900.0,55.09086566414818,90.37687653202096
C12-S,S,900.0,63.62196732812889,111.84995944460825
C14-L,L,900.0,61.14925233381459,105.37895698408845
C14-M,M,900.0,58.39167015024934,98.43451198952376
C14-S,S,900.0,65.35184172332542,116.60017920592634
C15-L,L,900.0,58.93161584589137,99.83652661539284
C15-M,M,900.0,60.91744638730755,104.84473268665997
C15-S,S,900.0,69.51335331914211,128.0336860555543
C16-L,L,900.0,56.17777960810484,93.04760908941476
C16-M,M,900.0,53.7190570639476,87.39479636534125
C16-S,S,900.0,61.33196148001568,106.14571720925473
C17-L,L,900.0,74.97308575012147,144.75634026330837
C17-M,M,900.0,73.33313393096773,139.46252992985416
C17-S,S,900.0,71.74829598452918,134.92626640122268
C18-L,L,900.0,79.22248543008467,157.88847955859092
C18-M,M,900.0,76.23265690898472,148.66473230755898
C18-S,S,900.0,81.0888618858873,163.4988479445263
C19-L,L,950.0,88.89151542137708,189.9361134354211
C19-M,M,950.0,86.16270960671758,180.99431402511644
C19-S,S,950.0,86.12093455068668,180.613367635492
C21-L,L,950.0,96.1417883771721,216.2210689340829
C21-M,M,950.0,89.77657726288247,193.1983435399824
C21-S,S,950.0,86.15213448994812,180.810009446702
C24-L,L,950.0,78.398811865349,154.86291778572678
C24-M,M,950.0,74.24289184572605,142.28723257605566
C24-S,S,950.0,76.31454779911329,148.79647242427694
C25-L,L,950.0,64.66440026483657,114.64263331477528
C25-M,M,950.0,63.618150662800616,111.89312903399605
C25-S,S,950.0,66.52566013864217,120.11664849830446
C26-L,L,950.0,92.21019730274314,201.91034160668664
C26-M,M,950.0,94.8174700032029,211.11767126675664
C26-S,S,950.0,88.73256152812583,189.85127880218488
C27-L,L,950.0,67.33347971423304,122.03076919665304
C27-M,M,950.0,62.79365392084625,109.95670007331836
C27-S,S,950.0,67.17278938574142,121.86841253047032
