sample_id,condition_id,precursor,Theta,zero_shift
C01-S,C01,S,4.174725607225732,-0.0646176396350504
C01-M,C01,M,4.174725607225732,-0.0624761426992545
C01-L,C01,L,4.174725607225732,-0.0639155990531829
C03-S,C03,S,8.188518536743857,-0.0697670171074548
C03-M,C03,M,8.188518536743857,-0.0758807410891335
C03-L,C03,L,8.188518536743857,-0.0733624016774761
C04-S,C04,S,4.078166000601167,-0.0700312587182603
C04-M,C04,M,4.078166000601167,-0.072663179899443
C04-L,C04,L,4.078166000601167,-0.076059444512745
C07-S,C07,S,4.054026098945026,-0.0659223697226721
C07-M,C07,M,4.054026098945026,-0.0547798630711506
C07-L,C07,L,4.054026098945026,-0.059348840751425
C09-S,C09,S,8.06781902846315,-0.0742958594651831
C09-M,C09,M,8.06781902846315,-0.0755647540990789
C09-L,C09,L,8.06781902846315,-0.0715896620192466
C12-S,C12,S,20.43596685712156,-0.078451069918538
C12-M,C12,M,20.43596685712156,-0.0742076645329288
C12-L,C12,L,20.43596685712156,-0.0627328593629118
C14-S,C14,S,15.174386742848624,-0.0890005324346303
C14-M,C14,M,15.174386742848624,-0.0751316695388109
C14-L,C14,L,15.174386742848624,-0.0827944574658168
C15-S,C15,S,20.174386742848625,-0.0872956412153753
C15-M,C15,M,20.174386742848625,-0.0834226254445457
C15-L,C15,L,20.174386742848625,-0.0764154859075489
C16-S,C16,S,10.108991714280393,-0.0688919478169717
C16-M,C16,M,10.108991714280393,-0.0766980748151827
C16-L,C16,L,10.108991714280393,-0.0769258192187494
C17-S,C17,S,15.10899171428039,-0.0724701942771247
C17-M,C17,M,15.10899171428039,-0.0896475739049818
C17-L,C17,L,15.10899171428039,-0.0802363975939203
C18-S,C18,S,20.10899171428039,-0.078729174304987
C18-M,C18,M,20.10899171428039,-0.0776595456203786
C18-L,C18,L,20.10899171428039,-0.0878611713909209
C19-S,C19,S,24.21446407057823,-0.0826567624390238
C19-M,C19,M,24.21446407057823,-0.0929887216097996
C19-L,C19,L,24.21446407057823,-0.1026681496392266
C21-S,C21,S,47.33688099936123,-0.0853999926203649
C21-M,C21,M,47.33688099936123,-0.0770240705310198
C21-L,C21,L,47.33688099936123,-0.0846308491156847
C24-S,C24,S,46.68165271428408,-0.0839680307507208
C24-M,C24,M,46.68165271428408,-0.0837558419552515
C24-L,C24,L,46.68165271428408,-0.0803386267241428
C25-S,C25,S,23.39542871423181,-0.0680549225516869
C25-M,C25,M,23.39542871423181,-0.0864451561784666
C25-L,C25,L,23.39542871423181,-0.0700014092668819
C26-S,C26,S,34.956637178623296,-0.0903964546655458
C26-M,C26,M,34.956637178623296,-0.0965912232483582
C26-L,C26,L,34.956637178623296,-0.09264263859556
C27-S,C27,S,46.5178456430148,-0.0698498000845304
C27-M,C27,M,46.5178456430148,-0.0746429232274276
C27-L,C27,L,46.5178456430148,-0.0740053697996691
