sample_id,hkl,precursor,cos_theta,residual_deg,is_ool_family
C01-S,3,S,0.9896317706854574,-0.0215273427402564,True
C01-S,6,S,0.9575764588871528,-0.0029063008889309,True
C01-S,101,S,0.9534105466757196,0.0049371337155932,False
C01-S,12,S,0.9497755804839028,0.0011393848276952,False
C01-S,104,S,0.9350542308658796,0.0001453175348089,False
C01-S,15,S,0.9238496092872192,0.0017626034136242,False
C01-S,107,S,0.8932775737609987,0.0051746536080514,False
C01-S,18,S,0.8736617193361621,-0.0021341243275116,False
C01-S,110,S,0.8564640631831584,-0.0011173847837753,False
C01-S,113,S,0.8442173352973222,-0.0015628364672153,False
C01-M,3,M,0.9896344223064112,-0.0212384828267495,True
C01-M,6,M,0.9575956581797812,-0.0032860280566708,True
C01-M,101,M,0.9534251361478782,0.0025483241598749,False
C01-M,12,M,0.9497952115124542,-0.0023402625271202,False
C01-M,104,M,0.935070579629928,0.0005752453248817,False
C01-M,15,M,0.9238367026096406,0.0126856023227688,False
C01-M,107,M,0.8933446182468355,-0.0016462333189224,False
C01-M,18,M,0.8737084740342693,-0.001016181710753,False
C01-M,110,M,0.8565137409494892,-0.0044341011782407,False
C01-M,113,M,0.8442439725019325,0.0016629097549554,False
C01-L,3,L,0.9896310510481674,-0.0207922163304203,True
C01-L,6,L,0.9575930313896804,-0.0084149107673141,True
C01-L,101,L,0.9534104268671916,0.0082624539933604,False
C01-L,12,L,0.9497824040512456,0.0019298714511037,False
C01-L,104,L,0.935049023575733,0.0052012770515474,False
C01-L,15,L,0.9238756335986842,-0.0025626256949635,False
C01-L,107,L,0.8932988791117458,0.0035315724909352,False
C01-L,18,L,0.8736641354017486,0.0013199836741648,False
C01-L,110,L,0.8565047581080791,-0.0031686952639446,False
C01-L,113,L,0.8442484742384216,-0.0011409481822255,False
C03-S,3,S,0.9895929812575708,-0.0085175294715647,True
C03-S,6,S,0.9574476382881886,0.0057630593283661,True
C03-S,101,S,0.9535426508505308,-0.0004935188918722,False
C03-S,12,S,0.9498947645602032,-0.0027217714523715,False
C03-S,104,S,0.9351366041252632,-0.0035091826862867,False
C03-S,15,S,0.9238878560893888,0.002863884868141,False
C03-S,107,S,0.8932444040964763,0.0034278364514364,False
C03-S,18,S,0.8735748794003548,-0.0039500594321921,False
C03-S,110,S,0.85682610563696,0.003512944990895,False
C03-S,113,S,0.844576202957347,-0.0023978011780911,False
C03-M,3,M,0.9896154862574356,-0.016412468513959,True
C03-M,6,M,0.957491897381618,0.0024090916941048,True
