sample_id,condition_id,precursor,D_XRD_003,D_XRD_104
C01-S,C01,S,43.797821402893966,50.06967381916016
C01-M,C01,M,40.12887982408729,45.6101247877526
C01-L,C01,L,39.95663392437353,44.898013285825165
C03-S,C03,S,51.21793905023089,60.441237469505495
C03-M,C03,M,43.00895406403072,51.74530350938922
C03-L,C03,L,46.10310376567544,51.21089168126836
C04-S,C04,S,50.83004256330493,58.66586369409466
C04-M,C04,M,45.19514672287914,52.34130178864671
C04-L,C04,L,42.44797420302768,49.68826831060009
C07-S,C07,S,46.1537741734512,56.36310442625793
C07-M,C07,M,40.43006913391375,48.82286658189999
C07-L,C07,L,42.61238012861341,49.77505169226772
C09-S,C09,S,49.97695912503052,61.03209262236481
C09-M,C09,M,46.1771478987292,55.70002789318852
C09-L,C09,L,43.51806637110421,51.61288407762329
C12-S,C12,S,57.54754883910535,69.69638581715243
C12-M,C12,M,49.23184553665662,60.94988579163975
C12-L,C12,L,49.8805303874842,60.05780432556797
C14-S,C14,S,58.08641394546365,72.6172695011872
C14-M,C14,M,52.243365491605736,64.53997480889295
C14-L,C14,L,55.29442794943003,67.00407671819914
C15-S,C15,S,63.11888717923822,75.907819459046
C15-M,C15,M,54.400900094092286,67.43399268052282
C15-L,C15,L,52.22930903526538,65.63392265651736
C16-S,C16,S,52.99219598237514,69.6717269776562
C16-M,C16,M,45.76470023982183,61.67341388807336
C16-L,C16,L,49.68230532790251,62.67325388830717
C17-S,C17,S,61.94783428461686,81.5487576844415
C17-M,C17,M,64.14515436228423,82.52111349965124
C17-L,C17,L,63.80920105632072,86.13697044392224
C18-S,C18,S,71.27931407946151,90.8984096923131
C18-M,C18,M,64.68049554713151,87.78481827083792
C18-L,C18,L,67.86671847039621,90.57825238977316
C19-S,C19,S,73.94039146827258,98.3014776331008
C19-M,C19,M,73.11850387151665,99.20691534191852
C19-L,C19,L,77.47686940272547,100.30616144002867
C21-S,C21,S,73.63929061038466,98.6649783695116
C21-M,C21,M,77.5995490512265,101.95360547453843
C21-L,C21,L,83.88802784535,108.3955489089942
C24-S,C24,S,65.26159397548842,87.36750162273815
C24-M,C24,M,64.38934955927935,84.09643413217275
C24-L,C24,L,69.22490409451505,87.57271963618295
C25-S,C25,S,57.12885110048158,75.92246917680275
C25-M,C25,M,56.96897354497637,70.26732778062485
C25-L,C25,L,58.37585843262831,70.95294209704484
C26-S,C26,S,75.47422478339914,101.99089827285252
C26-M,C26,M,83.44843680411421,106.1865032022916
C26-L,C26,L,79.72216159654988,104.6982330089364
C27-S,C27,S,57.919953998223626,76.42562477325922
C27-M,C27,M,54.368269355265376,71.21903848642714
C27-L,C27,L,59.91447041518736,74.75248901327872
