sample_id,condition_id,precursor,T_C,ratio_104_003
C01-S,C01,S,850.0,1.1432001002646168
C01-M,C01,M,850.0,1.136591028398834
C01-L,C01,L,850.0,1.1236685595389304
C03-S,C03,S,850.0,1.1800794524400728
C03-M,C03,M,850.0,1.2031286190394683
C03-L,C03,L,850.0,1.1107905433342158
C04-S,C04,S,850.0,1.1541572805301277
C04-M,C04,M,850.0,1.158117753430148
C04-L,C04,L,850.0,1.170568660660748
C07-S,C07,S,850.0,1.2212025004594185
C07-M,C07,M,850.0,1.2075880063471411
C07-L,C07,L,850.0,1.168088981231178
C09-S,C09,S,850.0,1.221204604899569
C09-M,C09,M,850.0,1.206224949521436
C09-L,C09,L,850.0,1.1860105096924527
C12-S,C12,S,900.0,1.2111095472026705
C12-M,C12,M,900.0,1.2380174890307172
C12-L,C12,L,900.0,1.2040329936154288
C14-S,C14,S,900.0,1.2501592811249516
C14-M,C14,M,900.0,1.2353716917273063
C14-L,C14,L,900.0,1.2117690552740372
C15-S,C15,S,900.0,1.2026165677397185
C15-M,C15,M,900.0,1.239574943868362
C15-L,C15,L,900.0,1.2566492620494203
C16-S,C16,S,900.0,1.3147544782033296
C16-M,C16,M,900.0,1.347619749826498
C16-L,C16,L,900.0,1.261480389741671
C17-S,C17,S,900.0,1.3164101477667318
C17-M,C17,M,900.0,1.2864746264944935
C17-L,C17,L,900.0,1.349914573728859
C18-S,C18,S,900.0,1.275242486073595
C18-M,C18,M,900.0,1.357206952857538
C18-L,C18,L,900.0,1.3346490655693604
C19-S,C19,S,950.0,1.3294692614020232
C19-M,C19,M,950.0,1.3567962976409398
C19-L,C19,L,950.0,1.2946594540189322
C21-S,C21,S,950.0,1.339841510580736
C21-M,C21,M,950.0,1.3138427570917308
C21-L,C21,L,950.0,1.2921456338063464
C24-S,C24,S,950.0,1.3387276696850596
C24-M,C24,M,950.0,1.306061246274126
C24-L,C24,L,950.0,1.265046456642497
C25-S,C25,S,950.0,1.3289689485137002
C25-M,C25,M,950.0,1.2334315226015014
C25-L,C25,L,950.0,1.2154500850541112
C26-S,C26,S,950.0,1.3513341616366734
C26-M,C26,M,950.0,1.2724804354520438
C26-L,C26,L,950.0,1.3132889388873197
C27-S,C27,S,950.0,1.3195042381353264
C27-M,C27,M,950.0,1.309937567095463
C27-L,C27,L,950.0,1.247653338087925
