sample_id,condition_id,precursor,T_C,inv_T_K,lnD
C01-S,C01,S,850.0,0.0008903530249744,3.848736981956372
C01-M,C01,M,850.0,0.0008903530249744,3.758160671163442
C01-L,C01,L,850.0,0.0008903530249744,3.747792579334081
C03-S,C03,S,850.0,0.0008903530249744,4.022303984404661
C03-M,C03,M,850.0,0.0008903530249744,3.858139597204872
C03-L,C03,L,850.0,0.0008903530249744,3.884795636386393
C04-S,C04,S,850.0,0.0008903530249744,4.002739982220572
C04-M,C04,M,850.0,0.0008903530249744,3.887078958473944
C04-L,C04,L,850.0,0.0008903530249744,3.83012119792992
C07-S,C07,S,850.0,0.0008903530249744,3.936880273727477
C07-M,C07,M,850.0,0.0008903530249744,3.798327132733218
C07-L,C07,L,850.0,0.0008903530249744,3.832843769581702
C09-S,C09,S,850.0,0.0008903530249744,4.016464564701423
C09-M,C09,M,850.0,0.0008903530249744,3.930620748239691
C09-L,C09,L,850.0,0.0008903530249744,3.862107187659992
C12-S,C12,S,900.0,0.000852405915697,4.1529588089508565
C12-M,C12,M,900.0,0.000852405915697,4.008983924996096
C12-L,C12,L,900.0,0.000852405915697,4.006772434523468
C14-S,C14,S,900.0,0.000852405915697,4.179785622126448
C14-M,C14,M,900.0,0.000852405915697,4.067173245247387
C14-L,C14,L,900.0,0.000852405915697,4.113317635301518
C15-S,C15,S,900.0,0.000852405915697,4.241518868203732
C15-M,C15,M,900.0,0.000852405915697,4.109519609671504
C15-L,C15,L,900.0,0.000852405915697,4.076377718224313
C16-S,C16,S,900.0,0.000852405915697,4.116301101517069
C16-M,C16,M,900.0,0.000852405915697,3.9837678187077534
C16-L,C16,L,900.0,0.000852405915697,4.028521298077408
C17-S,C17,S,900.0,0.000852405915697,4.273164105013169
C17-M,C17,M,900.0,0.000852405915697,4.295012538557388
C17-L,C17,L,900.0,0.000852405915697,4.317129192466802
C18-S,C18,S,900.0,0.000852405915697,4.39554561366112
C18-M,C18,M,900.0,0.000852405915697,4.333789939242791
C18-L,C18,L,900.0,0.000852405915697,4.372260165471944
C19-S,C19,S,950.0,0.0008175612148959,4.455752524163788
C19-M,C19,M,950.0,0.0008175612148959,4.456237480899571
C19-L,C19,L,950.0,0.0008175612148959,4.487416698385652
C21-S,C21,S,950.0,0.0008175612148959,4.456114739102854
C21-M,C21,M,950.0,0.0008175612148959,4.497324109023616
C21-L,C21,L,950.0,0.0008175612148959,4.565824064094053
C24-S,C24,S,950.0,0.0008175612148959,4.334863585897303
C24-M,C24,M,950.0,0.0008175612148959,4.307342040382646
C24-L,C24,L,950.0,0.0008175612148959,4.361808772462815
C25-S,C25,S,950.0,0.0008175612148959,4.19758773998088
C25-M,C25,M,950.0,0.0008175612148959,4.152898817410614
C25-L,C25,L,950.0,0.0008175612148959,4.1692108223300615
C26-S,C26,S,950.0,0.0008175612148959,4.485626919224936
C26-M,C26,M,950.0,0.0008175612148959,4.551953675017207
C26-L,C26,L,950.0,0.0008175612148959,4.524070724259672
C27-S,C27,S,950.0,0.0008175612148959,4.207268245671884
C27-M,C27,M,950.0,0.0008175612148959,4.13985401615221
C27-L,C27,L,950.0,0.0008175612148959,4.20965758270449
