sample_id,condition_id,precursor,T_C,Theta,lattice_a
C01-S,C01,S,850.0,4.174725607225732,2.981612802102768
C01-M,C01,M,850.0,4.174725607225732,2.982037700668647
C01-L,C01,L,850.0,4.174725607225732,2.981944182792096
C03-S,C03,S,850.0,8.188518536743857,2.985062201702867
C03-M,C03,M,850.0,8.188518536743857,2.98560910785683
C03-L,C03,L,850.0,8.188518536743857,2.985411821234472
C04-S,C04,S,850.0,4.078166000601167,2.982594840414987
C04-M,C04,M,850.0,4.078166000601167,2.98268751680092
C04-L,C04,L,850.0,4.078166000601167,2.982479143476924
C07-S,C07,S,850.0,4.054026098945026,2.982580001681569
C07-M,C07,M,850.0,4.054026098945026,2.9814085527399565
C07-L,C07,L,850.0,4.054026098945026,2.9827097515826027
C09-S,C09,S,850.0,8.06781902846315,2.9829503257112107
C09-M,C09,M,850.0,8.06781902846315,2.9827698329833168
C09-L,C09,L,850.0,8.06781902846315,2.983042413919766
C12-S,C12,S,900.0,20.43596685712156,2.983182039534054
C12-M,C12,M,900.0,20.43596685712156,2.983097936748777
C12-L,C12,L,900.0,20.43596685712156,2.9835375314204384
C14-S,C14,S,900.0,15.174386742848624,2.9828573721059968
C14-M,C14,M,900.0,15.174386742848624,2.9823662050857567
C14-L,C14,L,900.0,15.174386742848624,2.983344727264889
C15-S,C15,S,900.0,20.174386742848625,2.98236455123845
C15-M,C15,M,900.0,20.174386742848625,2.98253237683394
C15-L,C15,L,900.0,20.174386742848625,2.9827947483959
C16-S,C16,S,900.0,10.108991714280393,2.9843192297534764
C16-M,C16,M,900.0,10.108991714280393,2.984582902315495
C16-L,C16,L,900.0,10.108991714280393,2.985113476446922
C17-S,C17,S,900.0,15.10899171428039,2.9824967265290265
C17-M,C17,M,900.0,15.10899171428039,2.982245134250375
C17-L,C17,L,900.0,15.10899171428039,2.982831818532896
C18-S,C18,S,900.0,20.10899171428039,2.98032191854368
C18-M,C18,M,900.0,20.10899171428039,2.981748011667554
C18-L,C18,L,900.0,20.10899171428039,2.981302839291008
C19-S,C19,S,950.0,24.21446407057823,2.9799984117690346
C19-M,C19,M,950.0,24.21446407057823,2.980387013157676
C19-L,C19,L,950.0,24.21446407057823,2.979351256885736
C21-S,C21,S,950.0,47.33688099936123,2.9822651390200514
C21-M,C21,M,950.0,47.33688099936123,2.9821352676401247
C21-L,C21,L,950.0,47.33688099936123,2.981559745505768
C24-S,C24,S,950.0,46.68165271428408,2.9834021559876667
C24-M,C24,M,950.0,46.68165271428408,2.9845703651552
C24-L,C24,L,950.0,46.68165271428408,2.98472893846164
C25-S,C25,S,950.0,23.39542871423181,2.9842464671775013
C25-M,C25,M,950.0,23.39542871423181,2.984287727428112
C25-L,C25,L,950.0,23.39542871423181,2.9847844218591786
C26-S,C26,S,950.0,34.956637178623296,2.981257120922022
C26-M,C26,M,950.0,34.956637178623296,2.982023022874905
C26-L,C26,L,950.0,34.956637178623296,2.982032305078609
C27-S,C27,S,950.0,46.5178456430148,2.984208980142135
C27-M,C27,M,950.0,46.5178456430148,2.9846362453511217
C27-L,C27,L,950.0,46.5178456430148,2.9841181834764434
