sample_id,condition_id,precursor,T_C,Theta,lattice_c
C01-S,C01,S,850.0,4.174725607225732,16.00651927426297
C01-M,C01,M,850.0,4.174725607225732,16.010872807425926
C01-L,C01,L,850.0,4.174725607225732,16.00734556636044
C03-S,C03,S,850.0,8.188518536743857,15.98447411146913
C03-M,C03,M,850.0,8.188518536743857,15.98822036621851
C03-L,C03,L,850.0,8.188518536743857,15.98558984864935
C04-S,C04,S,850.0,4.078166000601167,16.003281471231386
C04-M,C04,M,850.0,4.078166000601167,16.000195784749096
C04-L,C04,L,850.0,4.078166000601167,16.002060528217502
C07-S,C07,S,850.0,4.054026098945026,16.005652001454493
C07-M,C07,M,850.0,4.054026098945026,16.01256289315128
C07-L,C07,L,850.0,4.054026098945026,16.008186158157077
C09-S,C09,S,850.0,8.06781902846315,16.00162551179185
C09-M,C09,M,850.0,8.06781902846315,15.998969723125454
C09-L,C09,L,850.0,8.06781902846315,16.00271905451127
C12-S,C12,S,900.0,20.43596685712156,15.995109665586822
C12-M,C12,M,900.0,20.43596685712156,15.9977548499931
C12-L,C12,L,900.0,20.43596685712156,15.998748684169229
C14-S,C14,S,900.0,15.174386742848624,15.991314571488898
C14-M,C14,M,900.0,15.174386742848624,16.00070699071443
C14-L,C14,L,900.0,15.174386742848624,15.99382497124368
C15-S,C15,S,900.0,20.174386742848625,15.993600214151003
C15-M,C15,M,900.0,20.174386742848625,15.99828887863141
C15-L,C15,L,900.0,20.174386742848625,15.997413127083677
C16-S,C16,S,900.0,10.108991714280393,15.986217406351004
C16-M,C16,M,900.0,10.108991714280393,15.989416592679923
C16-L,C16,L,900.0,10.108991714280393,15.987075228006042
C17-S,C17,S,900.0,15.10899171428039,15.99327305740069
C17-M,C17,M,900.0,15.10899171428039,15.992205725823435
C17-L,C17,L,900.0,15.10899171428039,15.988216601630386
C18-S,C18,S,900.0,20.10899171428039,16.002153405167395
C18-M,C18,M,900.0,20.10899171428039,15.994451850695732
C18-L,C18,L,900.0,20.10899171428039,15.996027442783662
C19-S,C19,S,950.0,24.21446407057823,16.006014228146594
C19-M,C19,M,950.0,24.21446407057823,16.00410040322267
C19-L,C19,L,950.0,24.21446407057823,16.01019982286641
C21-S,C21,S,950.0,47.33688099936123,15.99316970348477
C21-M,C21,M,950.0,47.33688099936123,15.99582530208566
C21-L,C21,L,950.0,47.33688099936123,15.99257128064115
C24-S,C24,S,950.0,46.68165271428408,15.979632969133071
C24-M,C24,M,950.0,46.68165271428408,15.978375362373097
C24-L,C24,L,950.0,46.68165271428408,15.975845982086229
C25-S,C25,S,950.0,23.39542871423181,15.98554859642026
C25-M,C25,M,950.0,23.39542871423181,15.98441804520543
C25-L,C25,L,950.0,23.39542871423181,15.983764336972486
C26-S,C26,S,950.0,34.956637178623296,15.989460998890934
C26-M,C26,M,950.0,34.956637178623296,15.984687377879965
C26-L,C26,L,950.0,34.956637178623296,15.98618514044149
C27-S,C27,S,950.0,46.5178456430148,15.984711510071438
C27-M,C27,M,950.0,46.5178456430148,15.988059947072118
C27-L,C27,L,950.0,46.5178456430148,15.983113562532576
