sample_id,condition_id,precursor,T_C,Theta,c_a_ratio
C01-S,C01,S,850.0,4.174725607225732,5.368409762318719
C01-M,C01,M,850.0,4.174725607225732,5.369104758077301
C01-L,C01,L,850.0,4.174725607225732,5.3680902743699965
C03-S,C03,S,850.0,8.188518536743857,5.354821116407752
C03-M,C03,M,850.0,8.188518536743857,5.355094986863632
C03-L,C03,L,850.0,8.188518536743857,5.354567746716863
C04-S,C04,S,850.0,4.078166000601167,5.365556613450303
C04-M,C04,M,850.0,4.078166000601167,5.3643553656301535
C04-L,C04,L,850.0,4.078166000601167,5.365355383361564
C07-S,C07,S,850.0,4.054026098945026,5.366378099642108
C07-M,C07,M,850.0,4.054026098945026,5.370804641462342
C07-L,C07,L,850.0,4.054026098945026,5.36699427413722
C09-S,C09,S,850.0,8.06781902846315,5.364362045813371
C09-M,C09,M,850.0,8.06781902846315,5.363796276269682
C09-L,C09,L,850.0,8.06781902846315,5.364563031299122
C12-S,C12,S,900.0,20.43596685712156,5.361761184404661
C12-M,C12,M,900.0,20.43596685712156,5.362799073043091
C12-L,C12,L,900.0,20.43596685712156,5.362342023749355
C14-S,C14,S,900.0,15.174386742848624,5.361072480712847
C14-M,C14,M,900.0,15.174386742848624,5.365104715654574
C14-L,C14,L,900.0,15.174386742848624,5.361038174729044
C15-S,C15,S,900.0,20.174386742848625,5.362724757276751
C15-M,C15,M,900.0,20.174386742848625,5.363995040890098
C15-L,C15,L,900.0,20.174386742848625,5.363229614001041
C16-S,C16,S,900.0,10.108991714280393,5.356738396807357
C16-M,C16,M,900.0,10.108991714280393,5.3573370604901065
C16-L,C16,L,900.0,10.108991714280393,5.355600500331702
C17-S,C17,S,900.0,15.10899171428039,5.362377405192783
C17-M,C17,M,900.0,15.10899171428039,5.362471898153765
C17-L,C17,L,900.0,15.10899171428039,5.3600798081516325
C18-S,C18,S,900.0,20.10899171428039,5.369270113272451
C18-M,C18,M,900.0,20.10899171428039,5.364119230769864
C18-L,C18,L,900.0,20.10899171428039,5.3654486997998925
C19-S,C19,S,950.0,24.21446407057823,5.37114857676882
C19-M,C19,M,950.0,24.21446407057823,5.369806113289481
C19-L,C19,L,950.0,24.21446407057823,5.373720129798189
C21-S,C21,S,950.0,47.33688099936123,5.362759163908545
C21-M,C21,M,950.0,47.33688099936123,5.363883213367366
C21-L,C21,L,950.0,47.33688099936123,5.363827206463809
C24-S,C24,S,950.0,46.68165271428408,5.356177991982094
C24-M,C24,M,950.0,46.68165271428408,5.353660127742443
C24-L,C24,L,950.0,46.68165271428408,5.352528256827349
C25-S,C25,S,950.0,23.39542871423181,5.356644892517669
C25-M,C25,M,950.0,23.39542871423181,5.356191997941484
C25-L,C25,L,950.0,23.39542871423181,5.355081666841598
C26-S,C26,S,950.0,34.956637178623296,5.3633284048796925
C26-M,C26,M,950.0,34.956637178623296,5.360350089607782
C26-L,C26,L,950.0,34.956637178623296,5.36083566674174
C27-S,C27,S,950.0,46.5178456430148,5.3564316763466415
C27-M,C27,M,950.0,46.5178456430148,5.356786768228513
C27-L,C27,L,950.0,46.5178456430148,5.35605917052271
