sample_id,precursor,r2
C01-L,L,0.736630143505849
C01-L,L,0.8231010257024828
C01-L,L,0.7775358299107846
C01-L,L,0.9508786757623092
C01-L,L,0.9359837592720291
C01-L,L,0.793826757981033
C01-L,L,0.9490515239628527
C01-L,L,0.8409831265885804
C01-L,L,0.9383941772888182
C01-L,L,0.7170384681536375
C01-L,L,0.8179393324143177
C01-L,L,0.7827392421203118
C01-L,L,0.8717087243981706
C01-L,L,0.9109632606303432
C01-L,L,0.8637981802988682
C01-L,L,0.9082370017660316
C01-L,L,0.8828061651609962
C01-L,L,0.940451055637514
C01-L,L,0.9488231309919308
C01-L,L,0.9559957720734747
C01-L,L,0.8243895610771149
C01-L,L,0.9488648297139476
C01-L,L,0.8547861508561725
C01-L,L,0.860222548697029
C01-L,L,0.9282498545965208
C01-L,L,0.9296903044377536
C01-L,L,0.7625753948213518
C01-L,L,0.8931823272152736
C01-L,L,0.8369318036905107
C01-L,L,0.7052181046963251
C01-L,L,0.778243352691051
C01-L,L,0.8883073402289057
C01-L,L,0.8380718566029488
C01-L,L,0.963191865610684
C01-L,L,0.6820293986372206
C01-L,L,0.875425188699502
C01-L,L,0.6902512242456931
C01-L,L,0.8989217128215308
C01-L,L,0.7085344043935101
C01-L,L,0.8374584014784995
C01-L,L,0.914212668910665
C01-L,L,0.7263410289230667
C01-L,L,0.9338369865178818
C01-L,L,0.8055949231833917
C01-L,L,0.8512722699745292
C01-L,L,0.7725249638471794
C01-L,L,0.7716215869515212
C01-L,L,0.9315989740317684
C01-L,L,0.7870304855184317
C01-L,L,0.9566358860128776
C01-L,L,0.8616543966648906
C01-L,L,0.9228726142487862
C01-L,L,0.9088861212938464
C01-L,L,0.9333131256714092
C01-L,L,0.9476338244568722
C01-L,L,0.904263169791148
C01-L,L,0.7176139155512326
C01-L,L,0.7673406615000483
C01-L,L,0.8698484037491165
C01-L,L,0.8677020151820246
C01-L,L,0.8875159774793783
C01-L,L,0.951118910947495
C01-L,L,0.7936225322239382
C01-L,L,0.8765958209876108
C01-L,L,0.8594258533265189
C01-L,L,0.9503570212353224
C01-L,L,0.940776450173115
C01-L,L,0.8477706939964049
C01-L,L,0.8008939345543816
C01-L,L,0.953801526729252
C01-L,L,0.8861369954311301
C01-L,L,0.9290169456273276
C01-L,L,0.8131402559678538
C01-L,L,0.8181994043340212
C01-L,L,0.9316919067957944
C01-L,L,0.9159663319937296
C01-L,L,0.944780099100654
C01-L,L,0.8683298423739387
C01-L,L,0.7096705282767941
C01-L,L,0.9058194463460428
C01-L,L,0.7604073736355842
C01-L,L,0.9139200854780952
C01-L,L,0.9243288237207652
C01-L,L,0.926772364827571
C01-L,L,0.972505841112791
C01-L,L,0.8529603997667886
C01-L,L,0.8172825719124226
C01-L,L,0.8625318470022957
C01-L,L,0.8802790236904048
C01-L,L,0.8785924460436126
C01-L,L,0.7921777052113486
C01-L,L,0.8845921529217426
C01-L,L,0.9239076871488516
C01-L,L,0.7116337222377904
C01-L,L,0.9310949961167712
C01-L,L,0.7210563206143843
C01-L,L,0.8704625487528159
C01-L,L,0.8254289679900295
C01-L,L,0.8602630571900516
C01-L,L,0.9161566028270698
C01-L,L,0.7500357284469414
C01-L,L,0.8751142951974236
C01-L,L,0.8121768358427524
C01-L,L,0.9087508305607894
C01-L,L,0.7986719511053602
C01-L,L,0.8666242135493369
C01-L,L,0.7929917512794673
C01-L,L,0.9346353247869202
C01-L,L,0.8663908805435215
C01-L,L,0.8291436519187559
C01-L,L,0.8301710823713643
C01-L,L,0.8320313269157906
C01-L,L,0.8502333172478517
C01-L,L,0.9022159240046744
C01-L,L,0.7749625363730184
C01-L,L,0.8930753297251686
C01-L,L,0.9512239555799172
C01-L,L,0.9669047667342354
C01-L,L,0.8403781068700109
C01-L,L,0.9783664812221328
C01-L,L,0.6658352115534114
C01-L,L,0.542191110873451
C01-L,L,0.93622746906489
C01-L,L,0.6743942317559348
C01-L,L,0.8750648760999252
C01-L,L,0.7784657936815921
C01-L,L,0.6960951424264692
C01-L,L,0.91090946993401
C01-L,L,0.8951111358727666
C01-L,L,0.8582075138729426
C01-L,L,0.877571020487007
C01-L,L,0.8725566731074555
C01-L,L,0.6821609100842155
C01-L,L,0.9544857167800872
C01-L,L,0.6600671724510325
C01-L,L,0.7931195653050008
C01-L,L,0.8748262038076571
C01-L,L,0.7944510663705585
C01-L,L,0.5864871598209722
C01-L,L,0.928986257289247
C01-L,L,0.8678377045675943
C01-L,L,0.8580481516247553
C01-L,L,0.7940777057132076
C01-L,L,0.7732512789376926
C01-L,L,0.8645371416731518
C01-L,L,0.9706841174841316
C01-L,L,0.8981604137517551
C01-L,L,0.8467284876568936
C01-L,L,0.7201745633730436
C01-L,L,0.4056395338939492
C01-L,L,0.9054945745408152
C01-L,L,0.5971829994137052
C01-L,L,0.7858899693838828
C01-L,L,0.7686844066212822
C01-L,L,0.7974973225481774
C01-L,L,0.8863428258156206
C01-L,L,0.6424940585167803
C01-L,L,0.9022918609385076
C01-L,L,0.8751023790700339
C01-L,L,0.8826699488894657
C01-L,L,0.9003341710784907
C01-L,L,0.9530967169732828
C01-L,L,0.9645387260833396
C01-L,L,0.9484455396334652
C01-L,L,0.9515267999937004
C01-L,L,0.9252567578641426
C01-L,L,0.8933903044680903
C01-L,L,0.8900887185443915
C01-L,L,0.9091212324854376
C01-L,L,0.8725999556493091
C01-L,L,0.8387110536105001
C01-L,L,0.8633863128705535
C01-L,L,0.8577513829738267
C01-L,L,0.853608684942752
C01-L,L,0.9002354580740421
C01-L,L,0.8476169378393619
C01-L,L,0.8212424748535126
C01-L,L,0.693025209162148
C01-L,L,0.8007768030812557
C01-L,L,0.9443090392299626
C01-L,L,0.7947646440446361
C01-L,L,0.952580691706494
C01-L,L,0.7906977239758292
C01-L,L,0.7348353049509533
C01-L,L,0.7179273024649648
C01-L,L,0.8622990868232159
C01-L,L,0.8741808972820104
C01-L,L,0.8208945234166863
C01-L,L,0.939551412456552
C01-L,L,0.8755107410959071
C01-L,L,0.6342067848289317
C01-L,L,0.9612013373210598
C01-L,L,0.940317625623216
C01-L,L,0.9205291934207576
C01-L,L,0.7557777542988251
C01-L,L,0.8955158799748961
C01-L,L,0.9735436231049378
C01-L,L,0.8882110614263292
C01-L,L,0.9633651219295136
C01-L,L,0.7984162541820738
C01-L,L,0.8928421306532017
C01-L,L,0.5822655689365849
C01-L,L,0.7667952717411014
C01-L,L,0.8236389865269622
C01-L,L,0.8352994955322184
C01-L,L,0.7056354869509038
C01-L,L,0.8879023144474292
C01-L,L,0.8979718898732502
C01-L,L,0.7495839628867464
C01-L,L,0.9185977291971932
C01-L,L,0.9105487518205458
C01-L,L,0.9503831627201428
C01-L,L,0.8518567109741464
C01-L,L,0.8868880409343184
C01-L,L,0.743291283522848
C01-L,L,0.9447871241486407
C01-L,L,0.8883603706622129
C01-L,L,0.888621549167886
C01-L,L,0.8212831779011018
